"response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper","date"
3.3291,3.3291,2.46602973622304,-0.678369180314374,5.43694494360329,3.3291,3.3291,3.3291,0.863070263776964,-2.10784494360329,4.00746918031437,0,0,0,2023-06-14
1.6299,4.959,2.23312747467717,-0.992443707230534,5.36956136411395,4.959,4.959,4.959,-0.603227474677173,-3.73966136411395,2.62234370723053,0,0,0,2023-06-15
2.0457,7.0047,1.83812971141388,-1.33483750844704,4.98672492061584,7.0047,7.0047,7.0047,0.207570288586119,-2.94102492061584,3.38053750844704,0,0,0,2023-06-16
5.1514,12.1561,2.29670079000776,-0.9102279865283,5.37315331816962,12.1561,12.1561,12.1561,2.85469920999224,-0.221753318169621,6.0616279865283,0,0,0,2023-06-17
1.7119,13.868,1.5838668090665,-1.43806487156888,4.78111099932069,13.868,13.868,13.868,0.128033190933504,-3.06921099932069,3.14996487156888,0,0,0,2023-06-18
1.6345,15.5025,2.07213589769948,-1.02182986620607,5.21251966118387,15.5025,15.5025,15.5025,-0.437635897699482,-3.57801966118387,2.65632986620607,0,0,0,2023-06-19
1.2875,16.79,1.88620012592599,-1.21573125101614,5.15618729651312,16.79,16.79,16.79,-0.598700125925988,-3.86868729651312,2.50323125101614,0,0,0,2023-06-20
2.0677,18.8577,1.86124363399916,-1.2940844533824,5.14949780993328,18.8577,18.8577,18.8577,0.206456366000836,-3.08179780993328,3.3617844533824,0,0,0,2023-06-21
1.6372,20.4949,2.07318782009414,-1.01984478719791,5.09765753745687,20.4949,20.4949,20.4949,-0.435987820094137,-3.46045753745687,2.65704478719791,0,0,0,2023-06-22
0.6026,21.0975,2.12224742356649,-0.953772732929496,5.13462677296958,21.0975,21.0975,21.0975,-1.51964742356649,-4.53202677296958,1.5563727329295,0,0,0,2023-06-23
1.7916,22.8891,2.12369455833209,-1.04941989468207,5.15051265169414,22.8891,22.8891,22.8891,-0.332094558332094,-3.35891265169414,2.84101989468207,0,0,0,2023-06-24
2.6147,25.5038,1.25324855940761,-1.96415490815402,4.31750527041775,25.5038,25.5038,25.5038,1.36145144059239,-1.70280527041775,4.57885490815402,0,0,0,2023-06-25
2.6579,28.1617,2.65799254812114,-0.459073232118437,5.83890422895163,28.1617,28.1617,28.1617,-9.25481211355716e-05,-3.18100422895163,3.11697323211844,0,0,0,2023-06-26
2.7542,30.9159,2.66624860484992,-0.557921106537758,5.83270992689381,30.9159,30.9159,30.9159,0.0879513951500797,-3.07850992689381,3.31212110653776,0,0,0,2023-06-27
1.5344,32.4503,2.26352994391311,-0.68927431758476,5.47057606082312,32.4503,32.4503,32.4503,-0.729129943913111,-3.93617606082312,2.22367431758476,0,0,0,2023-06-28
0.9468,33.3971,2.96352513456126,-0.136060753762316,6.2160259078137,33.3971,33.3971,33.3971,-2.01672513456126,-5.2692259078137,1.08286075376232,0,0,0,2023-06-29
4.8586,38.2557,2.7156833547392,-0.522042446187358,5.74206201148107,38.2557,38.2557,38.2557,2.1429166452608,-0.883462011481075,5.38064244618736,0,0,0,2023-06-30
5.1833,43.439,2.50268711594188,-0.799815175654445,5.43562391476667,43.439,43.439,43.439,2.68061288405812,-0.252323914766671,5.98311517565444,0,0,0,2023-07-01
2.8636,46.3026,1.71875536690502,-1.20316731798623,4.8747474961297,46.3026,46.3026,46.3026,1.14484463309498,-2.0111474961297,4.06676731798623,0,0,0,2023-07-02
0.9584,47.261,2.07322817887011,-1.09948287316298,5.13355621432364,47.261,47.261,47.261,-1.11482817887011,-4.17515621432364,2.05788287316298,0,0,0,2023-07-03
0.907,48.168,2.0983111188407,-0.901769898844072,5.1804342380239,48.168,48.168,48.168,-1.1913111188407,-4.2734342380239,1.80876989884407,0,0,0,2023-07-04
2.6463,50.8143,1.97326914876305,-1.14591089128207,5.04278212811438,50.8143,50.8143,50.8143,0.673030851236949,-2.39648212811438,3.79221089128207,0,0,0,2023-07-05
0.051,50.8653,2.28634975370275,-0.84457790423565,5.27882268106021,50.8653,50.8653,50.8653,-2.23534975370275,-5.22782268106021,0.895577904235651,0,0,0,2023-07-06
0.31,51.1753,2.53500965606566,-0.427346991631806,5.38909273296321,51.1753,51.1753,51.1753,-2.22500965606566,-5.07909273296321,0.737346991631806,0,0,0,2023-07-07
2.6424,53.8177,2.22577845995543,-1.06182030979068,5.17428562510277,53.8177,53.8177,53.8177,0.41662154004457,-2.53188562510277,3.70422030979068,0,0,0,2023-07-08
0.9177,54.7354,1.12016775526706,-2.01614397425175,4.21454523644782,54.7354,54.7354,54.7354,-0.202467755267063,-3.29684523644782,2.93384397425175,0,0,0,2023-07-09
0.244,54.9794,1.89571505963822,-1.15594992906395,4.94371002838555,54.9794,54.9794,54.9794,-1.65171505963822,-4.69971002838555,1.39994992906395,0,0,0,2023-07-10
