tech,outcome,theta,se,t,n,reform,market
CCGT,sigma_p,0.8721301039637134,0.21223593405662516,4.1092480773356055,68156,ID15,da
CCGT,n_eff,0.6500231279143739,0.12281156512400744,5.292849474379886,68156,ID15,da
Hydro,sigma_p,0.9872064265036526,0.23791833335678192,4.149349957925435,56349,ID15,da
Hydro,n_eff,0.30447348189251605,0.06650557090073424,4.578165073524008,56349,ID15,da
Hydro_pump,sigma_p,0.13954467721011957,0.21056957431834886,0.6627010462544292,11118,ID15,da
Hydro_pump,n_eff,0.25405496083964263,0.059169771378815614,4.2936613564574495,11118,ID15,da
Wind,sigma_p,-0.075977606191339,0.05772798899018738,-1.316131178660211,6059,ID15,da
Wind,n_eff,-0.014684195479917887,0.025938767129648065,-0.5661100007769383,6059,ID15,da
CCGT,sigma_p,-0.5465177440892308,0.39706818344351663,-1.3763826135592996,40017,ID15,ida
CCGT,n_eff,-0.333592543827118,0.27034242364328215,-1.2339629841718613,40017,ID15,ida
Hydro,sigma_p,-0.005549126338526233,0.1984243591814175,-0.02796595317943156,69350,ID15,ida
Hydro,n_eff,-0.1622621607854891,0.05804390761183066,-2.795507185191929,69350,ID15,ida
Hydro_pump,sigma_p,0.19669554936235534,0.249920702030005,0.7870318375575803,14897,ID15,ida
Hydro_pump,n_eff,-0.025001633891518188,0.06717493890125249,-0.37218692417823734,14897,ID15,ida
Wind,sigma_p,-0.04723293205547198,0.0175366605475225,-2.6933823533548886,16130,ID15,ida
Wind,n_eff,-0.022528997022465382,0.008036894918751527,-2.803196663664367,16130,ID15,ida
CCGT,sigma_p,-0.6990833301225613,0.2370534291413708,-2.949053859523168,35905,DA15,da
CCGT,n_eff,0.5577175031509374,0.1104024602682464,5.051676401013559,35905,DA15,da
Hydro,sigma_p,-0.04859895464095631,0.21671679891719908,-0.22425098046748326,34286,DA15,da
Hydro,n_eff,-0.061083832395678855,0.05288697521880321,-1.1549882015933741,34286,DA15,da
Hydro_pump,sigma_p,1.1265975808560371,0.27285530976433564,4.128919396250988,7182,DA15,da
Hydro_pump,n_eff,0.06939871611335452,0.03840584830889162,1.8069830291259967,7182,DA15,da
Wind,sigma_p,0.08558483725392274,0.05302832853519966,1.6139455950815498,11325,DA15,da
Wind,n_eff,0.028673337230621113,0.01309730212521431,2.189255234131047,11325,DA15,da
CCGT,sigma_p,-0.9223939587491206,0.2734610525574438,-3.373035941033543,158820,DA15,ida
CCGT,n_eff,-1.7988244688295068,0.4425038832649261,-4.065104368253769,158820,DA15,ida
Hydro,sigma_p,-0.056906069083942405,0.1910436462975545,-0.29786946693484906,148265,DA15,ida
Hydro,n_eff,-0.031711599128265336,0.044454430950291265,-0.7133506930664594,148265,DA15,ida
Hydro_pump,sigma_p,-0.2405184906669466,0.17586486655141548,-1.3676324065365786,28218,DA15,ida
Hydro_pump,n_eff,-0.00604573573377817,0.09030222008522129,-0.0669500232449723,28218,DA15,ida
Wind,sigma_p,-0.02286242975759204,0.004618789516300205,-4.9498747836220005,124480,DA15,ida
Wind,n_eff,-0.02446697042963346,0.004468123828371972,-5.475893544908393,124480,DA15,ida
