reform,market,tech,firm,outcome,n,DiD,se,t,pre_crit,post_crit,pre_flat,post_flat
ID15,IDA,All,All,sigma_p,150350,1.711774426046345,0.33803697072068706,5.063867488804202,8.780195680265164,7.524410747768914,11.528725391029349,8.840870744509704
ID15,IDA,All,All,n_eff,150350,0.09628941249172351,0.11545207369415852,0.8340206408661105,3.9783381658060013,5.074492855460845,5.974490795010622,7.308523352256338
ID15,IDA,CCGT,All,sigma_p,50824,2.454840728713764,0.5836704697217792,4.2058676189047635,10.030498374573263,7.635849280359031,15.46625318722969,10.642669341709924
ID15,IDA,CCGT,All,n_eff,50824,0.7881880296805361,0.30214980537034986,2.6086001568475,7.749706338017969,10.666089582056896,10.974775838955676,13.520724239981735
ID15,IDA,Hydro,All,sigma_p,81567,1.171116012287336,0.440003223586796,2.6616078008263027,8.948140921857497,8.59063800496397,10.134170161105695,8.608694373403472
ID15,IDA,Hydro,All,n_eff,81567,0.20573181720566847,0.06338944114350385,3.2455218644367534,2.5380242572615224,2.4029637712572396,2.9173145267609204,2.5879228791651534
ID15,IDA,Hydro_pump,All,sigma_p,17959,0.2462208393961265,0.28403191260747673,0.8668773770375445,4.990867027961759,2.4310508785657685,4.712118044275965,2.58604922999673
ID15,IDA,Hydro_pump,All,n_eff,17959,0.18487067393565515,0.0754774505062904,2.449349742149117,2.307184461890076,1.8102759755910205,2.4262222035465872,1.9662739122229356
ID15,IDA,CCGT,IB,sigma_p,5373,6.4636241709748035,1.722113533281675,3.753308969506594,9.581526569912866,3.745636367799393,16.433352305253738,3.1942840412213585
ID15,IDA,CCGT,IB,n_eff,5373,0.14823545178975628,0.06254537164665877,2.370046701891732,1.371594437032901,1.492484505614823,1.4988018226902764,1.4888087616604198
ID15,IDA,CCGT,GE,sigma_p,12507,2.103917909721643,0.8746650774718169,2.40539832206738,6.826361258987183,3.9204288116501633,12.125598147896737,6.934505898746199
ID15,IDA,CCGT,GE,n_eff,12507,0.15180356110825965,0.043401656781622805,3.497644384223981,1.1547420601515475,1.6782375144052712,1.2608482253938282,1.629123219436801
ID15,IDA,CCGT,GN,sigma_p,28571,2.8751241763435935,0.6744899467321885,4.262664240250246,10.9211325652433,9.386112769354986,16.004384177951728,11.450504008038632
ID15,IDA,CCGT,GN,n_eff,28571,1.84231831866156,0.49722591454080367,3.7051936851742155,13.32304236459193,17.600879247957966,18.135038210635063,20.4860291251869
ID15,IDA,CCGT,HC,sigma_p,4373,-1.033318159017905,1.6024226866769977,-0.6448474348305281,13.574499109581328,14.227181819639839,18.570863656215398,18.503214395021693
ID15,IDA,CCGT,HC,n_eff,4373,-0.1509155835880226,0.14393334843202776,-1.0485101974772175,3.148988549044354,3.20687649742073,3.8022621011870363,3.765395596603063
DA15,DA,All,All,sigma_p,317698,1.3620411126163496,0.3350159756203747,4.065600483959471,19.131945314395253,21.0603795102016,16.3416977151578,16.88871478830345
DA15,DA,All,All,n_eff,317698,0.1395521628777162,0.03520581403568044,3.963895359337031,3.2164234977749726,3.5756147377578427,3.064786372342938,3.2792157642513775
DA15,DA,CCGT,All,sigma_p,159669,1.2963723498627715,0.7477712606749677,1.7336482665736779,23.524438082875793,25.427648002076353,19.211244026620026,18.846121635436347
DA15,DA,CCGT,All,n_eff,159669,0.4405112732875889,0.06273983222677126,7.021237667569367,3.0812548774731154,3.3920914580395394,2.583024023671236,2.2612847218644117
DA15,DA,Hydro,All,sigma_p,132822,1.68639811451468,0.2871883634587541,5.872097651188016,16.20097485734853,18.53594476675963,17.068182220456205,17.32240677783944
DA15,DA,Hydro,All,n_eff,132822,-0.03672120230399692,0.03544418947067816,-1.0360288344123427,3.4154742385846317,3.838545514828063,3.4935844448123268,3.908053425447793
DA15,DA,Hydro_pump,All,sigma_p,25207,-0.6338151950507847,0.36497403541746765,-1.7366035211951691,5.48645225358594,4.4580172155397895,3.407030723113012,2.9547719640487347
DA15,DA,Hydro_pump,All,n_eff,25207,-0.049956834302698594,0.03444131860115062,-1.4504913380705937,3.077320255323977,3.495656510117833,2.7224860106367363,4.1324957129305995
DA15,DA,CCGT,IB,sigma_p,45957,3.0057759398473465,1.1150343101617155,2.6956802247739025,11.062001730400102,15.262313984951989,3.497094992403336,3.7392169484380644
DA15,DA,CCGT,IB,n_eff,45957,0.3224738189978291,0.10439047961920328,3.0891113842387985,4.4127712107360955,4.855282557470725,3.660579320035282,3.6561489384989536
DA15,DA,CCGT,GE,sigma_p,30667,-1.4662391895040185,0.32484112597537107,-4.513711695529545,3.511584889397833,7.493982974302616,3.063924444996068e-07,5.466283056213186
DA15,DA,CCGT,GE,n_eff,30667,-0.033672912470979366,0.009102250989736514,-3.6994049613604543,1.083495483842362,1.164539991145191,1.0,1.115476440067384
DA15,DA,CCGT,GN,sigma_p,44464,34.99574466089493,2.2595828637268234,15.487701390678367,23.38292358575398,26.620332242913218,40.67497597340433,7.552847357767811
DA15,DA,CCGT,GN,n_eff,44464,3.133400155619464,0.2265725679942526,13.829565438385057,3.364079113071729,3.9416583835342602,4.542296524374582,1.6941250877961744
DA15,DA,CCGT,HC,sigma_p,38581,-12.96294544263821,1.4044249389220853,-9.230073522182995,54.26419563366507,50.312093784907134,39.54458776885623,48.29522404630207
DA15,DA,CCGT,HC,n_eff,38581,-0.26864373266345465,0.04950723185976034,-5.426353334083485,2.312757966372479,2.574442064400469,1.9672375533114566,2.3898041613326346
