cell,outcome,spec,DiD,se,t,n,n_crit,n_flat,n_units
DA15_DA CCGT,sigma_p,(1) tight headline,1.2478316676549923,0.5657599574097192,2.2055849858446623,213401.0,,,
DA15_DA CCGT,hhi,(1) tight headline,-0.05893166718089243,0.006533215935795089,-9.020315226075637,213401.0,,,
DA15_DA CCGT,sigma_p,(2) long-pre + year + month + renew,5.4700908355303035,0.6347959218372242,8.617085660693574,768866.0,,,
DA15_DA CCGT,hhi,(2) long-pre + year + month + renew,-0.02807995840232748,0.005288312342355816,-5.309814660043044,768866.0,,,
DA15_DA CCGT,sigma_p,(3) RA-DiD (HIT 1997),1.718989490044812,4.276115655442162,0.4019978944809583,,53.0,48.0,53.0
DA15_DA CCGT,hhi,(3) RA-DiD (HIT 1997),0.09856526083332397,0.04595597518250618,2.144775743347609,,53.0,48.0,53.0
DA15_DA Hydro,sigma_p,(1) tight headline,0.9384844846217812,0.1625363278176027,5.773998325315575,261191.0,,,
DA15_DA Hydro,hhi,(1) tight headline,0.0032733906000807986,0.0021681355897637095,1.509772089686302,261191.0,,,
DA15_DA Hydro,sigma_p,(2) long-pre + year + month + renew,0.61958156108915,0.1215898333477608,5.095669136391329,828435.0,,,
DA15_DA Hydro,hhi,(2) long-pre + year + month + renew,0.0022723771962248358,0.0016780276319441872,1.3541953380064584,828435.0,,,
DA15_DA Hydro,sigma_p,(3) RA-DiD (HIT 1997),0.6764732175853256,0.7239568494020537,0.9344109640568401,,58.0,58.0,58.0
DA15_DA Hydro,hhi,(3) RA-DiD (HIT 1997),-0.00042191773502697256,0.010334918842101314,-0.04082448459181006,,58.0,58.0,58.0
DA15_DA Hydro_pump,sigma_p,(1) tight headline,1.3306000528173758,0.4431621029796438,3.0025131749103906,31642.0,,,
DA15_DA Hydro_pump,hhi,(1) tight headline,0.015167183297376763,0.010054017944890112,1.508569348146567,31642.0,,,
DA15_DA Hydro_pump,sigma_p,(2) long-pre + year + month + renew,0.8548308839330399,0.32060385804878977,2.6663150254509755,121101.0,,,
DA15_DA Hydro_pump,hhi,(2) long-pre + year + month + renew,-0.04744481429062962,0.007605584299780382,-6.238155074028912,121101.0,,,
DA15_DA Hydro_pump,sigma_p,(3) RA-DiD (HIT 1997),0.32000513046153267,1.110896147447515,0.28806034767228456,,8.0,8.0,8.0
DA15_DA Hydro_pump,hhi,(3) RA-DiD (HIT 1997),-0.041242182515221854,0.08928281301635047,-0.46192745414136005,,8.0,8.0,8.0
ID15_DA CCGT,sigma_p,(1) tight headline,19.414954047969786,1.777825794777487,10.92061669090574,52228.0,,,
ID15_DA CCGT,hhi,(1) tight headline,-0.07635930961250417,0.012650242952497334,-6.036193130775389,52228.0,,,
ID15_DA CCGT,sigma_p,(2) long-pre + year + month + renew,10.77928019247778,0.9230387703805748,11.678036219468238,532538.0,,,
ID15_DA CCGT,hhi,(2) long-pre + year + month + renew,-0.09760114250025054,0.011367800948633414,-8.585754003018826,532538.0,,,
ID15_DA CCGT,sigma_p,(3) RA-DiD (HIT 1997),12.704628467249782,5.519462976523021,2.301787061764666,,52.0,24.0,52.0
ID15_DA CCGT,hhi,(3) RA-DiD (HIT 1997),-0.0001133810215640433,0.05852098288544399,-0.0019374421954940324,,52.0,24.0,52.0
ID15_IDA Hydro,sigma_p,(1) tight headline,1.1711160097701157,0.44000322341488907,2.6616077961452653,81567.0,,,
ID15_IDA Hydro,hhi,(1) tight headline,-0.04874771649979137,0.010931509937224705,-4.459376314866843,81567.0,,,
ID15_IDA Hydro,sigma_p,(2) long-pre + year + month + renew,-0.3280479254999942,0.3649941592996793,-0.8987758218636306,827899.0,,,
ID15_IDA Hydro,hhi,(2) long-pre + year + month + renew,0.0061869876974979116,0.007648414723710173,0.8089241916129599,827899.0,,,
ID15_IDA Hydro,sigma_p,(3) RA-DiD (HIT 1997),-0.44560729323696235,1.6984327243226327,-0.262363817450985,,27.0,23.0,27.0
ID15_IDA Hydro,hhi,(3) RA-DiD (HIT 1997),0.01273806063934273,0.05393817507003779,0.23616039331702599,,27.0,23.0,27.0
ID15_IDA Hydro_pump,sigma_p,(1) tight headline,0.246220839396319,0.2840319126074739,0.8668773770382309,17959.0,,,
ID15_IDA Hydro_pump,hhi,(1) tight headline,-0.040358390953539464,0.01862870081826514,-2.1664629942399802,17959.0,,,
ID15_IDA Hydro_pump,sigma_p,(2) long-pre + year + month + renew,-0.5570362671709145,0.2143810330688861,-2.598346780948315,129849.0,,,
ID15_IDA Hydro_pump,hhi,(2) long-pre + year + month + renew,0.00494068222714369,0.014718779332701739,0.33567200889863413,129849.0,,,
ID15_IDA Hydro_pump,sigma_p,(3) RA-DiD (HIT 1997),0.058703915414306515,0.502203711762075,0.11689263547721088,,27.0,19.0,27.0
ID15_IDA Hydro_pump,hhi,(3) RA-DiD (HIT 1997),-0.05236796440887532,0.042998846224977724,-1.2178923158746324,,27.0,19.0,27.0
