tech,outcome,spec,theta,se,t,n
CCGT,sigma_p,no_xb,0.09961920728153141,0.5286215409504118,0.18845090402942236,59979
CCGT,sigma_p,with_xb,0.11283780045390462,0.5280612542991266,0.21368316560863657,59979
CCGT,n_eff,no_xb,0.7860373540889858,0.7251701426794457,1.083935076511342,59979
CCGT,n_eff,with_xb,0.8703306587892593,0.7249542583637617,1.200531824936949,59979
Hydro,sigma_p,no_xb,0.428746122924005,0.25250042018164853,1.6980016216035025,106009
Hydro,sigma_p,with_xb,0.38089456032112806,0.25181096815205034,1.5126210074024,106009
Hydro,n_eff,no_xb,0.1749466715918237,0.0489151546882427,3.5765331359337207,106009
Hydro,n_eff,with_xb,0.15184553251518035,0.04871507551061199,3.1170131817224145,106009
Hydro_pump,sigma_p,no_xb,-0.013342060048045154,0.1803369238120876,-0.0739840725127799,24638
Hydro_pump,sigma_p,with_xb,-0.00727625642067783,0.18073035238664129,-0.04026029012056337,24638
Hydro_pump,n_eff,no_xb,0.1226376460698557,0.07003150291201261,1.751178269355968,24638
Hydro_pump,n_eff,with_xb,0.11501094676540485,0.07001303666360652,1.6427075905591837,24638
Wind,sigma_p,no_xb,0.04378125923018954,0.02063110280460836,2.1220998045926143,48068
Wind,sigma_p,with_xb,0.03843258778801544,0.01988343978964084,1.9328943178150997,48068
Wind,n_eff,no_xb,0.031214138505712807,0.00850810647415626,3.668752689041574,48068
Wind,n_eff,with_xb,0.02910421444534223,0.008393977426170469,3.467273375623106,48068
