firm_class,hour,n_obs,n_unique_units,mean_n_tranches,mean_p_min,mean_p_med,mean_p_max,mean_qty_mw,mech_strict_rate
Fringe,0,1634,19,2.8206854345165238,253.57204406364747,311.82332619339047,465.06349296205633,327.780629553535,0.7294981640146879
Fringe,1,1631,19,2.8038013488657265,253.31852237890865,311.64068056407115,464.70175045984064,327.0786966073983,0.7473942366646229
Fringe,2,1631,19,2.8795217657878602,254.31432250153279,308.1930533415083,464.7212277743716,324.1636231788853,0.7449417535254446
Fringe,3,1631,19,3.0369405272838748,237.32894236664623,294.56545984058863,464.7417182709994,311.81176133543545,0.6842427958307786
Fringe,4,1631,19,3.1715205395462904,224.0206667688535,282.93308782955245,464.7417489270386,291.59137506934104,0.6866952789699571
Fringe,5,1631,19,3.343960760269773,218.2053586756591,272.0239875843041,464.7417581238504,280.6097158842078,0.6456161863887185
Fringe,6,1629,19,3.59085328422345,163.8224616329036,245.65084254143645,464.86795273173726,260.8948597956678,0.5948434622467772
Fringe,7,1629,19,3.756292203806016,150.02562308164516,232.2804350828729,464.8173281154082,255.1559660834868,0.5813382443216697
Fringe,8,1629,19,3.8155310006138734,149.54366022099447,221.62273787599756,445.3976120319214,266.968414415797,0.5733578882750153
Fringe,9,1629,19,3.728974831184776,153.1574140577041,224.35026243093924,445.49060466543887,272.23183990324185,0.6249232658072437
Fringe,10,1629,19,3.6332105586249233,158.40889809699203,227.77873158379376,445.1242925107428,272.6626614341255,0.5850214855739717
Fringe,11,1629,19,3.5546347452424802,159.37316451810926,228.52938228974833,445.1243063228975,265.71033616884444,0.5972989564149785
Fringe,12,1633,19,3.507042253521127,160.450171463564,229.33485609308022,445.2587369871402,267.2923555098708,0.6521739130434783
Fringe,13,1633,19,3.515003061849357,160.4335884874464,229.25538885486833,445.25872627066747,266.4426065815181,0.647887323943662
Fringe,14,1634,19,3.557374541003672,160.33701346389228,228.80024632802937,445.1392395960832,262.57609871335313,0.6481028151774786
Fringe,15,1633,19,3.643447642375995,159.49085884874464,227.97305496019598,445.3479654011023,256.24682989239784,0.6068585425597061
Fringe,16,1634,19,3.7319461444308444,154.75538555691554,225.3073538861689,445.19521725826195,248.47382515154163,0.5636474908200735
Fringe,17,1635,19,3.8938837920489298,139.27591743119265,217.28113226299695,444.9750458715596,237.82146883646425,0.5162079510703363
Fringe,18,1635,19,3.9908256880733943,120.77221865443424,207.49640214067279,444.47931192660553,227.73262785787097,0.5963302752293578
Fringe,19,1637,19,4.06261453879047,104.36335827733659,198.96451893708002,443.9932941356139,222.05304258661315,0.5644471594379963
Fringe,20,1637,19,4.074679291386683,101.95451282834453,197.65051313378132,443.8395601710446,224.7077872923757,0.5742211362248014
Fringe,21,1637,19,4.045204642638974,111.45604001221747,202.4426504276115,443.9218738546121,232.73487062570902,0.5992669517409897
Fringe,22,1637,19,3.9598350641417226,129.75741295051924,211.8588927916921,444.38273518631644,249.90927680571312,0.6041539401343922
Fringe,23,1640,19,3.8746951219512193,146.3397286585366,220.84874390243903,445.3645472560976,264.0544237078978,0.6042682926829268
GE,0,471,7,1.8195329087048833,284.4298089171975,1179.4154777070062,2341.1949681528663,280.7786978060863,1.0
GE,1,471,7,1.8195329087048833,284.4290233545648,1179.4148513800426,2341.1946496815285,280.8181882519462,0.9978768577494692
GE,2,471,7,1.8195329087048833,284.4289171974522,1179.4149363057327,2341.194543524416,280.87593772116065,1.0
GE,3,471,7,1.8195329087048833,284.42832271762205,1179.4147346072186,2341.194458598726,280.90481245576785,1.0
GE,4,471,7,1.8195329087048833,284.428067940552,1179.4147876857749,2341.1944373673036,280.8912243453645,1.0
GE,5,471,7,1.821656050955414,284.4319108280255,1182.5240552016985,2347.4088322717625,280.50895258315643,1.0
GE,6,471,7,1.821656050955414,284.6064437367304,1182.6101539278131,2347.4060721868364,280.5280608634112,0.9915074309978769
GE,7,471,7,1.821656050955414,284.16356687898093,1182.1887898089174,2347.0059660297243,280.5641542816702,0.9851380042462845
GE,8,471,7,1.821656050955414,284.5084394904459,1182.4786464968154,2347.2448832271766,280.5573602264685,0.9915074309978769
GE,9,471,7,1.821656050955414,285.04062632696395,1182.7399309978769,2347.242653927813,280.50852795470627,0.9320594479830149
GE,10,471,7,1.821656050955414,285.76873673036096,1183.131958598726,2347.306687898089,280.3331564048124,0.9575371549893843
GE,11,473,7,1.839323467230444,278.4131183932347,1178.527764270613,2356.2567441860465,278.4996124031008,0.9915433403805497
GE,12,473,7,1.8456659619450317,278.4381183932347,1187.731088794926,2374.646575052854,276.9477096546864,1.0
GE,13,473,7,1.8456659619450317,278.4459196617336,1187.7320718816068,2374.6474630021144,276.59422128259337,1.0
GE,14,473,7,1.8456659619450317,278.44964059196616,1187.7328118393234,2374.6477801268497,276.5014094432699,1.0
GE,15,473,7,1.8456659619450317,278.951310782241,1188.2353488372091,2375.1500422832983,276.4233967582805,1.0
GE,16,473,7,1.9413319238900635,183.27150634249472,1094.6270216701903,2365.891437632135,263.2590380549683,0.9809725158562368
GE,17,473,7,1.9466173361522199,190.9503752642706,1093.5970295983086,2363.541834038055,263.29694326990835,0.9112050739957717
GE,18,473,7,1.9577167019027484,164.17838266384777,1078.1286945031713,2363.815856236786,260.97064834390414,0.9492600422832981
GE,19,473,7,2.0126849894291756,89.21433403805496,1002.4283298097251,2357.7302536997886,254.22054263565892,1.0
GE,20,473,7,2.0126849894291756,89.26109936575052,1002.4543868921776,2357.7301902748413,254.31842847075404,1.0
GE,21,473,7,2.0063424947145876,89.2637843551797,993.2725898520084,2339.36088794926,255.63523608174773,1.0
GE,22,473,7,1.9994714587737843,102.92244186046513,996.9980179704017,2333.1511839323466,257.45244009866104,0.9873150105708245
GE,23,473,7,1.9529598308668077,208.88414376321353,1055.4476955602538,2332.3612896405916,267.5296511627907,0.9619450317124736
GN,0,1355,17,1.3239852398523986,906.3601402214022,945.5791033210332,1000.0,385.5818982604112,1.0
GN,1,1355,17,1.322509225092251,906.3601402214022,945.577701107011,1000.0,385.5852637497804,1.0
GN,2,1355,17,1.3239852398523986,906.3601402214022,945.5788782287822,1000.0,385.58273097873837,1.0
GN,3,1355,17,1.3239852398523986,905.6762841328414,945.2363597785978,1000.0,385.42922403795467,0.9985239852398524
GN,4,1355,17,1.3267527675276753,902.9649372693727,943.8806863468635,1000.0,384.85161333684766,0.9948339483394834
GN,5,1355,17,1.3416974169741698,896.5613911439115,940.0607813653136,1000.0,383.3061171387039,0.9830258302583026
GN,6,1355,17,1.4228782287822879,880.5461900369003,928.4561798892989,1000.0,378.72461521750085,0.974169741697417
GN,7,1357,17,1.6304347826086956,878.1660132645542,921.6203629329403,1000.0,375.55645442864676,0.9859985261606485
GN,8,1357,17,1.6628592483419307,878.1660132645542,921.0874539425203,1000.0,375.2420291075399,0.9904200442151806
GN,9,1358,17,1.54860088365243,898.5978074374079,934.1201261045657,1000.0,381.0552415663926,0.9366715758468336
GN,10,1358,17,1.421759941089838,948.6210051546392,961.6370563328425,1000.0,393.3028086073843,0.9536082474226805
GN,11,1358,17,1.385861561119293,968.5273784977908,972.4451159793815,1000.0,398.0724542551623,0.9970544918998527
GN,12,1358,17,1.374079528718704,967.791737849779,972.541557437408,1000.0,398.11360428905897,0.9933726067746687
GN,13,1358,17,1.3994845360824741,940.2052135493373,958.7473932253314,1000.0,392.4842568593655,0.9447717231222386
GN,14,1358,17,1.4799337260677468,880.9861413843888,927.4261947717231,1000.0,379.9689687399003,0.8807069219440353
GN,15,1358,17,1.686119293078056,758.8189764359353,864.3643924889543,1000.0,353.4133203780755,0.6708394698085419
