hour,EDP-PT,Engie,GE,GN,HC,IB,Moeve,TotalEnergies
0,0.2240566037735849,1.0,1.0,1.0,0.994535519125683,0.9845505617977528,1.0,0.8235294117647058
1,0.25829383886255924,1.0,1.0,1.0,0.994535519125683,0.9901823281907434,1.0,0.863905325443787
2,0.22274881516587677,1.0,1.0,1.0,0.994535519125683,0.9761570827489481,1.0,0.8757396449704142
3,0.16113744075829384,0.5706521739130435,1.0,0.9985239852398524,0.994535519125683,0.9158485273492286,1.0,0.8875739644970414
4,0.16587677725118483,0.5706521739130435,1.0,0.9948339483394834,1.0,0.45582047685834504,1.0,0.9053254437869822
5,0.13744075829383887,0.2826086956521739,1.0,0.9830258302583026,1.0,0.41374474053295934,1.0,0.9053254437869822
6,0.05687203791469194,0.1358695652173913,0.9915074309978769,0.974169741697417,0.994535519125683,0.9691444600280504,1.0,0.8698224852071006
7,0.05687203791469194,0.02717391304347826,0.9830148619957537,0.9859985261606485,1.0,1.0,1.0,0.8224852071005917
8,0.052132701421800945,0.0,0.9915074309978769,0.9904200442151806,1.0,0.9943899018232819,1.0,0.7928994082840237
9,0.052132701421800945,0.5652173913043478,0.9320594479830149,0.9366715758468336,1.0,0.9943899018232819,1.0,0.8284023668639053
10,0.057007125890736345,0.02717391304347826,0.9575371549893843,0.9536082474226805,1.0,0.9929873772791024,1.0,0.9230769230769231
11,0.05463182897862233,0.02717391304347826,0.9957716701902748,0.9970544918998527,1.0,1.0,1.0,0.9408284023668639
12,0.047505938242280284,0.5,1.0,0.9933726067746687,1.0,1.0,1.0,0.953757225433526
13,0.0498812351543943,0.5054347826086957,1.0,0.9447717231222386,1.0,1.0,1.0,0.953757225433526
14,0.06175771971496437,0.5597826086956522,1.0,0.8807069219440353,1.0,0.9985974754558204,1.0,0.953757225433526
15,0.0498812351543943,0.32608695652173914,1.0,0.6708394698085419,1.0,0.9985974754558204,0.9945652173913043,0.976878612716763
16,0.047505938242280284,0.1956521739130435,0.9809725158562368,0.3438880706921944,1.0,0.9985974754558204,1.0,0.9421965317919075
17,0.052256532066508314,0.03804347826086957,0.9112050739957717,0.19072164948453607,1.0,1.0,1.0,0.7341040462427746
18,0.052256532066508314,0.7934782608695652,0.9492600422832981,0.6273932253313697,1.0,0.9929676511954993,1.0,0.5375722543352601
19,0.054502369668246446,0.5217391304347826,1.0,0.8181148748159057,1.0,0.9985935302390999,1.0,0.24277456647398843
20,0.061611374407582936,0.5,1.0,0.9786450662739322,1.0,0.9985935302390999,1.0,0.23121387283236994
21,0.05687203791469194,0.5760869565217391,1.0,0.8652430044182622,1.0,1.0,1.0,0.42196531791907516
22,0.061611374407582936,0.592391304347826,0.9873150105708245,0.5441826215022091,1.0,0.9985935302390999,1.0,0.6184971098265896
23,0.0611764705882353,0.5978260869565217,0.9619450317124736,0.7260677466863034,1.0,0.9985955056179775,1.0,0.8034682080924855
