hour,EDP-PT,Engie,GE,GN,HC,IB,Moeve,TotalEnergies
0,644.4437676886791,500.0,2341.1949681528663,1000.0,698.9945355191256,355.01754213483144,600.0,500.0
1,644.4174052132702,500.0,2341.1946496815285,1000.0,698.9945355191256,352.06282959326785,600.0,500.0
2,644.4173755924171,500.0,2341.194543524416,1000.0,698.9945355191256,352.4278541374474,600.0,500.0
3,644.4173045023696,500.0,2341.194458598726,1000.0,698.9945355191256,350.5069004207574,600.0,500.0
4,644.4174229857821,500.0,2341.1944373673036,1000.0,698.9945355191256,349.3594530154278,600.0,500.0
5,644.4174585308057,500.0,2347.4088322717625,1000.0,698.9945355191256,348.5764446002805,600.0,500.0
6,644.4173933649289,500.0,2347.4060721868364,1000.0,698.9945355191256,326.7298036465638,600.0,500.0
7,644.4173400473934,500.0,2347.0059660297243,1000.0,698.9945355191256,320.96753155680227,600.0,500.0
8,612.1844549763033,500.0,2347.2448832271766,1000.0,698.9945355191256,321.33806451612907,502.17391304347825,500.0
9,612.184798578199,500.0,2347.242653927813,1000.0,698.9945355191256,326.59068723702666,502.17391304347825,500.0
10,612.0944239904989,500.0,2347.306687898089,1000.0,698.9945355191256,333.7497335203366,502.17391304347825,500.0
11,612.0944774346793,500.0,2356.2567441860465,1000.0,698.9945355191256,346.5629453015428,502.17391304347825,500.0
12,612.0945308788598,500.0,2374.646575052854,1000.0,698.9945355191256,351.14431977559605,502.17391304347825,500.0
13,612.0944893111639,500.0,2374.6474630021144,1000.0,698.9945355191256,351.7032538569425,502.17391304347825,500.0
14,612.0945308788598,500.0,2374.6477801268497,1000.0,698.9945355191256,352.4399018232819,502.17391304347825,500.0
15,612.0943764845606,500.0,2375.1500422832983,1000.0,698.9945355191256,352.501079943899,502.17391304347825,500.0
16,612.094596199525,500.0,2365.891437632135,1000.0,698.9945355191256,353.1210238429173,502.17391304347825,500.0
17,612.0943586698337,500.0,2363.541834038055,1000.0,698.9945355191256,351.3665541490858,502.17391304347825,500.0
18,612.0948396674584,500.0,2363.815856236786,1000.0,698.9945355191256,350.49517580872015,502.17391304347825,500.0
19,612.1844016587678,500.0,2357.7302536997886,1000.0,698.9945355191256,346.1679184247539,502.17391304347825,500.0
20,612.1847097156399,500.0,2357.7301902748413,1000.0,698.9945355191256,344.92706047819973,502.17391304347825,500.0
21,612.1846030805688,500.0,2339.36088794926,1000.0,698.9945355191256,341.9285091420535,502.17391304347825,500.0
22,612.1845260663507,500.0,2333.1511839323466,1000.0,698.9945355191256,340.430253164557,502.17391304347825,500.0
23,612.4514647058824,500.0,2332.3612896405916,1000.0,698.9945355191256,339.7437640449438,502.17391304347825,500.0
