hour,EDP-PT,Engie,GE,GN,HC,IB,Moeve,TotalEnergies
0,262.65306014150946,498.9788315217391,1179.4154777070062,945.5791033210332,382.37704918032784,246.75054950842696,500.0271739130435,461.01138235294115
1,258.1753791469194,498.9788315217391,1179.4148513800426,945.577701107011,382.37704918032784,246.60997194950912,500.0271739130435,468.4464201183432
2,242.6630568720379,498.9788315217391,1179.4149363057327,945.5788782287822,381.8868852459017,246.6619074333801,500.0271739130435,473.14183431952665
3,198.11358412322275,478.0181793478261,1179.4147346072186,945.2363597785978,363.45792349726776,243.9776612903226,500.0271739130435,475.522899408284
4,194.31779028436017,383.75283967391306,1179.4147876857749,943.8806863468635,342.5863387978142,196.11000701262273,500.0271739130435,475.522899408284
5,187.42866113744077,303.75056385869567,1182.5240552016985,940.0607813653136,205.11639344262298,173.6114516129032,500.0271739130435,475.522899408284
6,165.09516587677726,229.68866168478263,1182.6101539278131,928.4561798892989,163.91120218579235,134.67094319775597,400.76630434782606,468.1977292899408
7,156.7125355450237,148.78349864130433,1182.1887898089174,921.6203629329403,111.33306010928962,133.6140252454418,400.76630434782606,447.9588165680473
8,146.17200236966823,146.6325,1182.4786464968154,921.0874539425203,106.40459016393443,133.82143057503507,333.4236413043478,446.4987352071006
9,146.1732049763033,146.62534646739132,1182.7399309978769,934.1201261045657,106.3972131147541,133.2802559607293,333.4236413043478,462.2676109467456
10,146.11790380047506,146.62714673913044,1183.131958598726,961.6370563328425,106.3972131147541,133.19481591865357,333.4236413043478,485.60821005917165
11,146.1180106888361,148.17749320652175,1178.527764270613,972.4451159793815,106.3972131147541,131.50860448807853,333.4236413043478,489.40726331360946
12,146.1176603325416,148.4320108695652,1187.731088794926,972.541557437408,106.3972131147541,129.82820476858345,333.4236413043478,490.79739884393064
13,146.11685866983373,148.4585461956522,1187.7320718816068,958.7473932253314,106.3972131147541,129.22948807854138,333.4236413043478,490.79739884393064
14,146.11681710213776,148.48508152173915,1187.7328118393234,927.4261947717231,106.40459016393443,129.02925140252455,333.4236413043478,490.79739884393064
15,146.11790973871734,147.78701766304349,1188.2353488372091,864.3643924889543,106.40459016393443,128.83206872370266,333.4236413043478,490.79739884393064
16,146.1177672209026,147.27313858695652,1094.6270216701903,689.1932142857142,106.40459016393443,128.93703366058907,333.4236413043478,487.476098265896
17,146.11743467933493,146.92080842391303,1093.5970295983086,410.17678387334314,106.40459016393443,129.00887482419128,333.4236413043478,438.7678684971098
18,146.11795130641332,146.8094293478261,1078.1286945031713,241.413095544919,106.40459016393443,128.53643811533053,333.4236413043478,381.21582369942195
19,147.31174763033175,146.8094293478261,1002.4283298097251,161.922617820324,106.3972131147541,128.808129395218,333.4236413043478,324.83703757225436
20,147.31196682464454,146.8094293478261,1002.4543868921776,139.24750552282768,106.3972131147541,129.6873224331927,333.4236413043478,319.6224132947977
21,147.3127547393365,146.8094293478261,993.2725898520084,198.5060622238586,106.3972131147541,130.5475105485232,333.4236413043478,351.7902239884393
22,147.3103317535545,146.8094293478261,996.9980179704017,370.20384296759937,106.3972131147541,131.23961673699014,333.4236413043478,406.7205563583815
23,150.86101764705882,146.8094293478261,1055.4476955602538,667.3307023195877,106.40459016393443,131.8813588483146,333.4236413043478,446.2361849710983
