firm_class,hour_class,window,n_obs,mean_n_tranches,mean_p_min,mean_p_med,mean_p_max
Fringe,critical_h18_22,POST_2025_MTU15,8183,4.026640596358304,113.65897042649395,203.68166335695955,444.1232680557253
Fringe,critical_h18_22,PRE_2024_MTU60,8111,4.7758599432868944,51.59079151769202,171.71774750339046,456.57312908396005
Fringe,flat_h3_5,POST_2025_MTU15,4893,3.184140609033313,226.5183226037196,283.17417841814836,464.74174177396276
Fringe,flat_h3_5,PRE_2024_MTU60,4845,2.499484004127967,262.2801259029928,333.0699721362229,467.5976676986584
Fringe,other,POST_2025_MTU15,26112,3.519244025735294,173.53467610677086,243.1621629901961,451.36100739123776
Fringe,other,PRE_2024_MTU60,25870,3.6631619636644763,139.30797603401624,240.73478256667957,466.9110201005025
GE,critical_h18_22,POST_2025_MTU15,2365,1.9977801268498943,106.96800845665962,1014.6564038054969,2350.357674418605
GE,critical_h18_22,PRE_2024_MTU60,2718,2.940765268579838,134.19090875643857,585.1180573951435,2955.435172921266
GE,flat_h3_5,POST_2025_MTU15,1413,1.8202406227883934,284.4294338287332,1180.4511924982307,2343.2659094125975
GE,flat_h3_5,PRE_2024_MTU60,1629,1.467157765500307,2064.8432044198894,2329.141144874156,2961.752590546347
GE,other,POST_2025_MTU15,7552,1.8519266419491525,265.7837983315678,1164.0273184255825,2354.829185315148
GE,other,PRE_2024_MTU60,8689,1.9886062838071124,1259.6998791575556,1642.4405161698699,2976.7220163425022
GN,critical_h18_22,POST_2025_MTU15,6790,11.064285714285715,84.47754160530191,222.25862481590573,1000.0
GN,critical_h18_22,PRE_2024_MTU60,6770,12.048301329394388,36.562629246676515,176.63804948301328,1000.0
GN,flat_h3_5,POST_2025_MTU15,4065,1.330811808118081,901.7342041820418,943.0592758302582,1000.0
GN,flat_h3_5,PRE_2024_MTU60,4063,1.6384444991385676,940.0059069652966,951.7544289933547,1000.0
GN,other,POST_2025_MTU15,21714,1.977813852813853,806.9759968223267,872.8253553582941,1000.0
GN,other,PRE_2024_MTU60,21656,2.435121906169191,732.3771425932767,823.4647545714814,999.8616087920207
HC,critical_h18_22,POST_2025_MTU15,915,6.0,-4.644808743169399,106.39868852459017,698.9945355191256
HC,critical_h18_22,PRE_2024_MTU60,880,5.9602272727272725,8.630681818181818,114.24578409090908,645.9986818181818
HC,flat_h3_5,POST_2025_MTU15,549,3.987249544626594,179.4398907103825,303.72021857923494,698.9945355191256
HC,flat_h3_5,PRE_2024_MTU60,525,5.977142857142857,81.79047619047618,144.87809523809523,649.0
HC,other,POST_2025_MTU15,2928,5.497267759562842,56.91888661202186,162.01867827868853,698.9945355191256
HC,other,PRE_2024_MTU60,2802,5.97180585296217,25.82155603140614,121.49394004282657,648.6459743040685
IB,critical_h18_22,POST_2025_MTU15,3555,10.176300984528833,113.68083755274262,129.7638034458509,344.7897834036568
IB,critical_h18_22,PRE_2024_MTU60,2850,10.15578947368421,48.4252350877193,159.07981578947368,385.81967368421056
IB,flat_h3_5,POST_2025_MTU15,2139,4.851332398316971,173.90160472183263,204.56637330528284,349.4809326788219
IB,flat_h3_5,PRE_2024_MTU60,1704,5.84037558685446,118.34038732394366,220.4344894366197,384.87400234741784
IB,other,POST_2025_MTU15,11404,9.052415819010873,137.6230504647492,152.92648752630657,342.9644333128727
IB,other,PRE_2024_MTU60,9093,9.102826349939514,84.29320026393928,181.45502749367645,387.0767337512372
