firm_class,window,n_obs,n_units,mean_n_tranches,mean_p_min,mean_p_med,mean_p_max,mean_qty_mw
EDP-PT,POST_2025_MTU15,10124,5,6.407645199525879,59.58229948636902,167.22736196167523,622.9180622777559,86.74493424394649
EDP-PT,PRE_2024_MTU60,9230,5,5.930227518959914,69.32377573131093,211.83934940411703,650.0,103.16105092091007
Engie,POST_2025_MTU15,4416,2,4.566293025362318,202.9384765625,224.8835793138587,500.0,323.17478197517687
Engie,PRE_2024_MTU60,8400,4,5.298571428571429,124.71792857142857,202.92724404761907,500.0,149.42671031746033
GE,POST_2025_MTU15,11330,7,1.8784201235657547,234.95828552515445,1134.8962258384818,2352.4537191085615,272.8564732274198
GE,PRE_2024_MTU60,13036,6,2.1219699294262044,1125.6438109849648,1507.8005101258054,2970.4131152193922,351.56219315741026
GN,POST_2025_MTU15,32569,17,3.7914120789708003,668.1761442629495,745.9609378550155,1000.0,303.7703968239207
GN,PRE_2024_MTU60,32489,16,4.338668472406045,613.3501308135061,704.7237700452462,999.9077533934562,287.15560457848346
HC,POST_2025_MTU15,4392,2,5.413251366120218,59.408242258652095,168.14387295081968,698.9945355191256,107.2714647844566
HC,PRE_2024_MTU60,4207,2,5.9700499168053245,29.210125980508675,122.89596149275017,648.1364059900166,72.96467791775612
IB,POST_2025_MTU15,17098,9,8.76052754708153,137.18354061878583,154.57079526845246,344.1591877704995,127.95950213807974
IB,PRE_2024_MTU60,13647,9,8.915366014508683,81.05385872352898,181.64933025573387,386.53917417747493,99.57834105972434
Moeve,POST_2025_MTU15,4416,2,2.404891304347826,197.46263586956522,380.68641304347824,534.7826086956521,174.1407608695652
Moeve,PRE_2024_MTU60,4251,2,2.0,88.87085391672548,344.4354269583627,600.0,199.82660550458715
TotalEnergies,POST_2025_MTU15,4105,2,1.2697320341047502,395.2570511571255,447.6285255785627,500.0,364.57899817295976
TotalEnergies,PRE_2024_MTU60,4085,2,1.8479804161566709,202.0467099143207,210.85946389228886,221.34703794369645,280.0081354549164
