parent,hour_class,n_obs,mech_full,mech_price,mech_qty
EDP-PT,critical_h18_22,2020,0.015841584158415842,0.015841584158415842,1.0
EDP-PT,flat_h3_5,1116,0.04121863799283154,0.04838709677419355,0.992831541218638
EDP-PT,other,6267,0.01771182383915749,0.044678474549226105,0.9723950853677996
GE,critical_h18_22,2350,0.9885106382978723,0.9885106382978723,1.0
GE,flat_h3_5,1284,1.0,1.0,1.0
GE,other,6926,0.9841178169217442,0.9844065838868034,0.9997112330349408
GN,critical_h18_22,5984,0.8258689839572193,0.8562834224598931,0.8258689839572193
GN,flat_h3_5,426,0.9788732394366197,0.9906103286384976,0.9788732394366197
GN,other,3616,0.490320796460177,0.7533185840707964,0.490320796460177
HC,critical_h18_22,915,1.0,1.0,1.0
HC,flat_h3_5,410,0.9975609756097561,0.9975609756097561,1.0
HC,other,2679,0.9985069055617768,0.9985069055617768,0.9996267263904441
IB,critical_h18_22,3555,0.9980309423347398,0.9980309423347398,0.9980309423347398
IB,flat_h3_5,1555,0.5903536977491961,0.9421221864951769,0.5993569131832798
IB,other,10345,0.9931367810536491,0.9948767520541324,0.996906718221363
Other-fringe-CCGT,critical_h18_22,5588,0.76932712956335,0.9889047959914101,0.76932712956335
Other-fringe-CCGT,flat_h3_5,1774,0.7767756482525366,0.9509582863585119,0.7773393461104848
Other-fringe-CCGT,other,13482,0.7443999406616228,0.9626168224299065,0.7446224595757306
