parent,hour,n_obs,mech_full,mech_price,mech_qty
EDP-PT,0,335,0.01791044776119403,0.1880597014925373,0.8298507462686567
EDP-PT,1,340,0.07941176470588235,0.19117647058823528,0.888235294117647
EDP-PT,2,340,0.03529411764705882,0.10294117647058823,0.9323529411764706
EDP-PT,3,372,0.04838709677419355,0.06989247311827956,0.978494623655914
EDP-PT,4,372,0.053763440860215055,0.053763440860215055,1.0
EDP-PT,5,372,0.021505376344086023,0.021505376344086023,1.0
EDP-PT,6,401,0.007481296758104738,0.0798004987531172,0.9276807980049875
EDP-PT,7,405,0.01728395061728395,0.07160493827160494,0.945679012345679
EDP-PT,8,405,0.012345679012345678,0.012345679012345678,0.9901234567901235
EDP-PT,9,405,0.012345679012345678,0.012345679012345678,1.0
EDP-PT,10,404,0.017326732673267328,0.017326732673267328,1.0
EDP-PT,11,404,0.01485148514851485,0.01485148514851485,1.0
EDP-PT,12,404,0.007425742574257425,0.007425742574257425,1.0
EDP-PT,13,404,0.009900990099009901,0.009900990099009901,1.0
EDP-PT,14,404,0.022277227722772276,0.022277227722772276,1.0
EDP-PT,15,404,0.009900990099009901,0.009900990099009901,1.0
EDP-PT,16,404,0.007425742574257425,0.007425742574257425,1.0
EDP-PT,17,404,0.012376237623762377,0.012376237623762377,1.0
EDP-PT,18,404,0.012376237623762377,0.012376237623762377,1.0
EDP-PT,19,404,0.012376237623762377,0.012376237623762377,1.0
EDP-PT,20,404,0.019801980198019802,0.019801980198019802,1.0
EDP-PT,21,404,0.01485148514851485,0.01485148514851485,1.0
EDP-PT,22,404,0.019801980198019802,0.019801980198019802,1.0
EDP-PT,23,404,0.012376237623762377,0.012376237623762377,1.0
GE,0,428,1.0,1.0,1.0
GE,1,428,1.0,1.0,1.0
GE,2,428,1.0,1.0,1.0
GE,3,428,1.0,1.0,1.0
GE,4,428,1.0,1.0,1.0
GE,5,428,1.0,1.0,1.0
GE,6,428,0.9906542056074766,0.9906542056074766,1.0
GE,7,428,0.9836448598130841,0.9836448598130841,1.0
GE,8,428,0.9906542056074766,0.9906542056074766,1.0
GE,9,428,0.9252336448598131,0.9252336448598131,1.0
GE,10,428,0.955607476635514,0.955607476635514,1.0
GE,11,431,0.9953596287703016,0.9953596287703016,1.0
GE,12,431,1.0,1.0,1.0
GE,13,431,1.0,1.0,1.0
GE,14,431,1.0,1.0,1.0
GE,15,431,1.0,1.0,1.0
GE,16,455,0.9824175824175824,0.9824175824175824,1.0
GE,17,451,0.9290465631929047,0.9290465631929047,1.0
GE,18,461,0.9479392624728851,0.9479392624728851,1.0
GE,19,473,1.0,1.0,1.0
GE,20,473,1.0,1.0,1.0
GE,21,473,1.0,1.0,1.0
GE,22,470,0.9936170212765958,0.9936170212765958,1.0
GE,23,441,0.9954648526077098,1.0,0.9954648526077098
GN,0,139,1.0,1.0,1.0
GN,1,139,1.0,1.0,1.0
GN,2,139,1.0,1.0,1.0
GN,3,139,1.0,1.0,1.0
GN,4,141,0.9858156028368794,1.0,0.9858156028368794
GN,5,146,0.952054794520548,0.9726027397260274,0.952054794520548
GN,6,171,0.8362573099415205,0.8538011695906432,0.8362573099415205
GN,7,178,0.8932584269662921,0.898876404494382,0.8932584269662921
GN,8,178,0.9269662921348315,0.9719101123595506,0.9269662921348315
GN,9,112,0.7857142857142857,0.9732142857142857,0.7857142857142857
GN,10,41,0.975609756097561,0.975609756097561,0.975609756097561
GN,11,43,0.9069767441860465,0.9534883720930233,0.9069767441860465
GN,12,42,0.9285714285714286,1.0,0.9285714285714286
GN,13,54,0.7222222222222222,1.0,0.7222222222222222
GN,14,126,0.30952380952380953,0.9047619047619048,0.30952380952380953
GN,15,228,0.2149122807017544,0.9912280701754386,0.2149122807017544
GN,16,576,0.07465277777777778,0.9027777777777778,0.07465277777777778
GN,17,988,0.09008097165991903,0.25708502024291496,0.09008097165991903
GN,18,1221,0.6773136773136773,0.7698607698607699,0.6773136773136773
GN,19,1338,0.8176382660687593,0.8565022421524664,0.8176382660687593
GN,20,1341,0.9783743475018642,0.9798657718120806,0.9783743475018642
GN,21,1192,0.9714765100671141,0.9731543624161074,0.9714765100671141
GN,22,892,0.6177130044843049,0.6322869955156951,0.6177130044843049
GN,23,462,0.9177489177489178,0.9264069264069265,0.9177489177489178
HC,0,100,0.99,0.99,1.0
HC,1,100,0.99,0.99,1.0
HC,2,100,0.99,0.99,1.0
HC,3,109,0.9908256880733946,0.9908256880733946,1.0
HC,4,118,1.0,1.0,1.0
HC,5,183,1.0,1.0,1.0
HC,6,183,0.994535519125683,0.994535519125683,0.994535519125683
HC,7,183,1.0,1.0,1.0
HC,8,183,1.0,1.0,1.0
HC,9,183,1.0,1.0,1.0
HC,10,183,1.0,1.0,1.0
HC,11,183,1.0,1.0,1.0
HC,12,183,1.0,1.0,1.0
HC,13,183,1.0,1.0,1.0
HC,14,183,1.0,1.0,1.0
HC,15,183,1.0,1.0,1.0
HC,16,183,1.0,1.0,1.0
HC,17,183,1.0,1.0,1.0
HC,18,183,1.0,1.0,1.0
HC,19,183,1.0,1.0,1.0
HC,20,183,1.0,1.0,1.0
HC,21,183,1.0,1.0,1.0
HC,22,183,1.0,1.0,1.0
HC,23,183,1.0,1.0,1.0
IB,0,363,0.9696969696969697,0.9696969696969697,0.9917355371900827
IB,1,364,0.9807692307692307,0.9807692307692307,1.0
IB,2,364,0.9532967032967034,0.9532967032967034,1.0
IB,3,364,0.9835164835164835,0.9835164835164835,1.0
IB,4,534,0.49625468164794007,0.8595505617977528,0.5
IB,5,657,0.4490106544901065,0.9863013698630136,0.4581430745814307
IB,6,709,0.9732016925246827,0.9943582510578279,0.9732016925246827
IB,7,712,1.0,1.0,1.0
IB,8,712,0.9929775280898876,0.9943820224719101,0.9971910112359551
