tech,firm,n_crit,n_flat,flat_p95,frac_crit_gt0,frac_crit_above_floor,frac_flat_gt0
CCGT,IB,436,129,2.5,9.63302752293578,8.944954128440367,6.976744186046512
CCGT,GE,1038,270,105.82854756904116,14.065510597302506,11.175337186897881,10.0
CCGT,GN,1441,751,230.51403789637533,30.53435114503817,20.749479528105482,9.187749667110518
CCGT,HC,190,135,1230.756016020234,27.89473684210526,4.2105263157894735,20.74074074074074
Hydro,IB,978,301,0.0,15.132924335378323,15.132924335378323,4.318936877076411
Hydro,GE,1189,290,0.0,20.016820857863753,20.016820857863753,4.482758620689655
Hydro,GN,1087,285,0.0,5.703771849126035,5.703771849126035,2.456140350877193
Hydro,HC,249,68,0.0,16.06425702811245,16.06425702811245,4.411764705882353
Hydro_pump,IB,201,74,173.889992379072,22.885572139303484,9.950248756218906,12.162162162162163
Hydro_pump,GE,198,62,7.8999999999999915,22.727272727272727,16.161616161616163,16.129032258064516
Hydro_pump,GN,386,114,0.0,10.103626943005182,10.103626943005182,0.0
Nuclear,IB,126,24,838.0882739727458,40.476190476190474,11.904761904761903,45.83333333333333
Nuclear,GE,317,109,0.0,2.2082018927444795,2.2082018927444795,0.0
