tech_group,firm,hour_class,n_cells,frac_flagged,median_d,median_dw,median_ratio
CCGT,IB,critical,7831,0.057719320648703866,0.0,0.0,0.0
CCGT,IB,flat,2139,0.03927068723702665,0.0,0.0,0.0
CCGT,GE,critical,5195,0.018479307025986526,0.0,91.42114735051395,0.004252626131213966
CCGT,GE,flat,1413,0.0,0.0,,
CCGT,GN,critical,14930,0.24541192230408573,0.0,1890.6666666666672,0.02469249176838321
CCGT,GN,flat,4065,0.0004920049200492004,0.0,457.33333333333337,0.013346680013346683
CCGT,HC,critical,2013,0.0004967709885742673,0.0,1504.8104380252003,0.011460847615692603
CCGT,HC,flat,549,0.00546448087431694,0.0,0.0,0.0
Hydro,IB,critical,6072,0.020750988142292492,0.0,0.0,0.0
Hydro,IB,flat,1656,0.0030193236714975845,0.0,2815.9999999999995,0.07079207482722309
Hydro,GE,critical,5552,0.5641210374639769,0.8000000000000114,1.5,1.0
Hydro,GE,flat,1488,0.4731182795698925,0.0,1.3000000000000007,1.0
Hydro,GN,critical,2993,0.0003341129301703976,0.0,2.6666666666666674,0.16561089719703562
Hydro,GN,flat,810,0.0012345679012345679,0.0,2.6666666666666594,0.1666562506510044
Hydro,HC,critical,847,0.0,0.0,,
Hydro,HC,flat,231,0.0,0.0,,
Hydro_pump,IB,critical,1001,0.003996003996003996,0.0,2.666666666666586,0.07030538874272192
Hydro_pump,IB,flat,273,0.0,0.0,,
Hydro_pump,GE,critical,2670,0.0003745318352059925,0.0,206.7953372333338,0.10569656899224833
Hydro_pump,GE,flat,372,0.0,0.0,,
Hydro_pump,GN,critical,1006,0.0,0.0,,
Hydro_pump,GN,flat,276,0.0,0.0,,
Nuclear,IB,critical,2907,0.3188854489164087,0.0,205.70000000000005,1.0
Nuclear,IB,flat,800,0.31625,0.0,119.80000000000007,1.0
Nuclear,GE,critical,2473,0.040436716538617065,0.0,600.0000000000001,0.008847600088476003
Nuclear,GE,flat,672,0.019345238095238096,0.0,194.66666666666663,0.46494772160493825
Wind,IB,critical,4539,0.9715796430931923,1.0,0.8000000000000043,1.0
Wind,IB,flat,1283,0.9727201870615745,1.0,0.8000000000000043,1.0
Wind,GN,critical,4152,0.9265414258188824,0.13000000000000012,0.0,0.0
Wind,GN,flat,1159,0.9257981018119068,0.1,0.0,0.0
Wind,HC,critical,3990,0.937092731829574,2.6,0.0,0.0
Wind,HC,flat,1081,0.9380203515263644,2.6,0.0,0.0
Solar PV,IB,critical,960,0.9947916666666666,7.799999999999999,7.9,1.0
Solar PV,GE,critical,64,0.03125,0.0,0.1,1.0
Solar PV,GN,critical,1594,0.1587202007528231,0.0,12.400000000000006,1.0
Solar PV,GN,flat,411,0.0,0.0,,
Solar PV,HC,critical,325,1.0,42.11999999999997,0.0,0.0
Pump_load,IB,critical,2558,0.03244722439405786,0.0,153.05975338333621,0.5120358963110038
Pump_load,IB,flat,866,0.05542725173210162,0.0,95.41099468620385,0.786460236666664
Pump_load,GE,critical,1370,0.0,0.0,,
Pump_load,GE,flat,617,0.0,0.0,,
Pump_load,GN,critical,1010,0.0,0.0,,
Pump_load,GN,flat,276,0.0,0.0,,
Pump_load,HC,critical,946,0.0,0.0,,
Pump_load,HC,flat,261,0.0,0.0,,
Retailer,IB,critical,3423,0.40870581361378905,0.0,33.60000000000002,1.0
Retailer,IB,flat,923,0.4019501625135428,0.0,22.40000000000009,1.0
Retailer,GE,critical,3971,0.7645429362880887,11.200000000000045,26.39999999999992,1.0
Retailer,GE,flat,1083,0.76269621421976,8.899999999999636,22.650000000000034,1.0
Retailer,GN,critical,4048,0.21961462450592886,0.0,0.20000000000000018,1.0
Retailer,GN,flat,1104,0.15760869565217392,0.0,0.10000000000000053,1.0
Retailer,HC,critical,1100,0.004545454545454545,0.0,0.0,0.0
Retailer,HC,flat,300,0.0,0.0,,
Direct_consumer,IB,critical,1012,0.9594861660079052,0.2999999999999998,0.3000000000000007,1.0
Direct_consumer,IB,flat,276,0.9528985507246377,0.3000000000000007,0.3000000000000007,1.0
Direct_consumer,HC,critical,1612,0.15570719602977667,0.0,0.10000000000000009,1.0
Direct_consumer,HC,flat,441,0.12244897959183673,0.0,0.10000000000000009,1.0
