market,tech_group,n_offers,pct_at_cap,mean_tr,max_tr,cap,n_over_cap
DA,Unmapped,20531077,0.0,1.36,25,25,0.0
DA,Solar PV,15839800,0.0,1.18,11,25,0.0
DA,Wind,15447999,0.0,1.28,20,25,0.0
DA,Cogen,12532294,0.0,1.07,16,25,0.0
DA,Hydro_RES,8441805,0.0,1.19,20,25,0.0
DA,Biomass,3995271,0.0,1.46,16,25,0.0
DA,CCGT,3671860,0.0,4.99,16,25,0.0
DA,Hydro,3242177,0.0,4.11,25,25,0.0
DA,Nuclear,1091916,0.0,1.23,3,25,0.0
DA,Hydro_pump,425162,0.0,4.35,16,25,0.0
DA,Coal,137559,0.0,5.73,6,25,0.0
IDA,Unmapped,75557904,10.14,1.7,5,5,0.0
IDA,Wind,54576935,3.86,1.31,5,5,0.0
IDA,Solar PV,31697017,7.61,1.47,5,5,0.0
IDA,Hydro,12129725,6.46,1.63,5,5,0.0
IDA,Hydro_RES,9955232,6.75,1.4,5,5,0.0
IDA,CCGT,9400918,47.6,3.44,5,5,0.0
IDA,Cogen,5761337,1.29,1.2,5,5,0.0
IDA,Biomass,1921199,0.78,1.19,5,5,0.0
IDA,Hydro_pump,1516615,0.43,1.59,5,5,0.0
IDA,Nuclear,259912,0.01,1.03,5,5,0.0
IDA,Coal,130745,15.84,2.84,5,5,0.0
