firm,unit_code,date,hour,hour_class,dp_med_eur_mwh,dq_med_mwh,dp_max_eur_mwh,dq_max_mwh,p_clear
GN,BES4,2025-10-01,0,other,0.0,0.0,0.0,0.0,103.87333333333333
GN,BES4,2025-10-01,1,flat,0.0,0.0,0.0,0.0,104.77
GN,BES4,2025-10-01,2,flat,0.0,0.0,0.0,0.0,103.282
GN,BES4,2025-10-01,3,flat,0.0,0.0,0.0,0.0,98.36
GN,BES4,2025-10-01,4,other,0.0,0.0,0.0,0.0,99.24000000000001
GN,BES4,2025-10-01,5,critical,0.0,0.0,0.0,0.0,102.45333333333333
GN,BES4,2025-10-01,6,critical,0.0,0.0,0.0,0.0,102.44800000000001
GN,BES4,2025-10-01,7,critical,0.0,0.0,0.0,0.0,107.54666666666667
GN,BES4,2025-10-01,8,critical,0.0,0.0,0.0,0.0,124.648
GN,BES4,2025-10-01,9,other,0.0,0.0,0.0,0.0,112.38
GN,BES4,2025-10-01,10,other,0.0,30.0,0.0,60.0,75.25800000000001
GN,BES4,2025-10-01,11,midday,0.0,0.0,0.0,0.0,49.423333333333325
GN,BES4,2025-10-01,12,midday,0.0,0.0,0.0,0.0,26.803999999999995
GN,BES4,2025-10-01,13,midday,0.0,0.0,0.0,0.0,18.723333333333333
GN,BES4,2025-10-01,14,midday,0.0,0.0,0.0,0.0,13.952000000000002
GN,BES4,2025-10-01,15,other,0.0,0.0,0.0,0.0,17.793333333333333
GN,BES4,2025-10-01,16,critical,0.0,0.0,0.0,0.0,26.139999999999997
GN,BES4,2025-10-01,17,critical,0.0,0.0,0.0,0.0,44.550000000000004
GN,BES4,2025-10-01,18,critical,0.0,0.0,0.0,0.0,74.654
GN,BES4,2025-10-01,19,critical,0.0,121.05000000000001,0.0,242.10000000000002,109.52666666666666
GN,BES4,2025-10-01,20,critical,0.0,0.0,0.0,0.0,184.786
GN,BES4,2025-10-01,21,critical,0.0,0.0,0.0,0.0,170.0
GN,BES4,2025-10-01,22,critical,0.0,0.0,0.0,0.0,113.458
GN,BES4,2025-10-01,23,other,0.0,0.0,0.0,0.0,104.71
GN,CTGN1,2025-10-01,0,other,0.0,0.0,0.0,0.0,103.87333333333333
GN,CTGN1,2025-10-01,1,flat,0.0,0.0,0.0,0.0,104.77
GN,CTGN1,2025-10-01,2,flat,0.0,0.0,0.0,0.0,103.282
GN,CTGN1,2025-10-01,3,flat,0.0,0.0,0.0,0.0,98.36
GN,CTGN1,2025-10-01,4,other,0.0,0.0,0.0,0.0,99.24000000000001
GN,CTGN1,2025-10-01,5,critical,0.0,0.0,0.0,0.0,102.45333333333333
GN,CTGN1,2025-10-01,6,critical,0.0,0.0,0.0,0.0,102.44800000000001
