unit,year,nameplate_MW,actual_TWh,cap_TWh,cf_%,planned_outage_TWh,forced_outage_TWh,unaccounted_TWh,unaccounted_pct_of_cap
ACE3,2018,403.0,0.16,3.53,4.6,0.21,0.22,2.93,83.0
ACE3,2019,403.0,0.25,3.53,7.2,0.21,0.2,2.86,81.1
ACE3,2020,403.0,0.72,3.54,20.3,0.59,0.06,2.17,61.2
ACE3,2021,403.0,0.27,3.53,7.6,0.44,0.57,2.25,63.6
ACE3,2022,403.0,0.16,3.53,4.6,0.16,0.0,3.21,91.0
ACE3,2023,403.0,0.87,3.53,24.6,1.05,0.59,1.02,29.0
ACE3,2024,403.0,0.62,3.54,17.6,0.29,0.0,2.63,74.3
ACE3,2025,403.0,0.56,3.53,15.9,1.24,0.0,1.73,48.9
ACE3,2026,403.0,0.0,1.13,0.0,0.29,0.0,0.85,74.7
ACE4,2018,396.0,1.22,3.47,35.2,0.36,0.02,1.87,53.9
ACE4,2019,396.0,1.21,3.47,34.8,0.1,0.0,2.16,62.3
ACE4,2020,396.0,1.18,3.48,33.9,0.0,0.0,2.3,66.1
ACE4,2021,396.0,0.83,3.47,23.9,0.27,0.0,2.37,68.3
ACE4,2022,396.0,1.3,3.47,37.5,0.3,0.0,1.87,54.0
ACE4,2023,396.0,0.31,3.47,8.8,2.29,2.3,-1.42,-41.0
ACE4,2024,396.0,0.81,3.48,23.3,0.12,0.0,2.54,73.1
ACE4,2025,396.0,1.12,3.47,32.3,0.12,0.0,2.23,64.3
ACE4,2026,396.0,0.0,1.11,0.0,0.0,0.0,1.11,100.0
ALG3,2018,300.0,0.37,2.62,14.0,0.41,0.02,1.82,69.3
ALG3,2019,300.0,1.32,2.62,50.4,0.92,0.03,0.35,13.3
ALG3,2020,300.0,1.24,2.63,47.2,0.42,0.14,0.83,31.5
ALG3,2021,300.0,1.12,2.62,42.6,0.67,0.63,0.21,7.9
ALG3,2022,300.0,1.39,2.62,52.8,1.38,0.13,-0.27,-10.3
ALG3,2023,300.0,1.16,2.62,44.0,0.63,0.47,0.36,13.9
ALG3,2024,300.0,0.48,2.63,18.1,2.25,0.0,-0.09,-3.5
ALG3,2025,300.0,0.83,2.62,31.5,1.06,0.0,0.73,28.0
ALG3,2026,300.0,0.0,0.84,0.0,0.33,0.0,0.52,61.2
AMBIETA,2018,288.0,0.36,2.52,14.2,0.02,0.0,2.14,85.0
