unit,base_2018_21,mean_2024_25,delta_pp
SROQ1,33.9,1.6,-32.3
ARCOS3,33.2,2.9,-30.3
CTN4,28.8,5.4,-23.4
BES4,44.8,25.0,-19.8
TAPOWER,19.5,4.6,-14.9
ALG3,38.6,24.8,-13.8
MALA1,27.5,14.4,-13.1
CTGN2,16.0,3.8,-12.2
PVENT2,15.0,3.0,-12.0
SBO3,35.5,23.6,-11.9
CTJON1R,23.0,12.4,-10.6
ESCCC3,11.8,1.4,-10.4
SRI5R,26.1,16.8,-9.3
PBCN1,20.6,11.6,-9.0
ARRU1R,19.7,11.5,-8.2
BES3,31.6,24.8,-6.8
CTJON2,13.5,7.6,-5.9
AMBIETA,29.2,24.6,-4.6
ESCCC2,7.1,2.8,-4.3
ACE4,32.0,27.8,-4.2
CTJON3R,22.7,19.2,-3.5
COL4,5.8,2.8,-3.0
CTGN3,28.8,26.2,-2.6
SAGU2,27.0,24.6,-2.4
BAHIAB,26.3,24.4,-1.9
SAGU1,17.6,15.8,-1.8
PVENT1,1.7,0.0,-1.7
CAMG20R,20.8,19.3,-1.5
ESCCC1,7.8,6.4,-1.4
ESC6,15.1,14.2,-0.9
CTNU,1.9,1.5,-0.4
SRI4R,22.4,22.6,0.2
STC4,6.5,8.1,1.6
SAGU3,14.7,16.8,2.1
PBCN2,12.4,16.3,3.9
ARRU2R,7.2,11.6,4.4
PGR5,21.8,26.9,5.1
PALOS3,0.0,6.5,6.5
CTN3,5.4,12.2,6.8
ACE3,9.9,16.8,6.9
CTGN1,28.0,34.9,6.9
PALOS2,12.3,20.6,8.3
ARCOS2,7.8,16.6,8.8
ECT3,15.2,24.2,9.0
BES5,19.6,28.8,9.2
ARCOS1,8.0,17.8,9.8
PALOS1,5.0,19.0,14.0
CAMGI10,0.2,20.4,20.2
SROQ2,6.6,32.2,25.6
