zone,firm,plant,n_sit1,n_sit2,DA_bid_sit1_eur_mwh,DA_bid_sit2_eur_mwh,delta_DA_bid_eur_mwh,delta_DA_bid_pct,redisp_sit1_MW,redisp_sit2_MW
Andalucía,GE,SROQ2,2843,78,608.46,2246.8,1638.34,269.3,139.12,196.56
Cataluña,GE,BES5,3423,617,1842.7,2106.53,263.83,14.3,95.74,82.3
Valencia,GN,SAGU3,1498,121,733.4,986.13,252.73,34.5,188.44,193.69
Valencia,GN,SAGU2,2107,176,744.46,951.04,206.58,27.7,199.91,173.48
Galicia,GN,SBO3,2815,1380,836.91,951.75,114.84,13.7,181.72,198.12
Valencia,GN,SAGU1,1774,271,791.35,894.26,102.91,13.0,198.23,165.63
Murcia,GN,CTGN1,2546,627,789.44,887.68,98.24,12.4,230.81,193.38
Murcia,GN,CTGN3,2307,828,813.39,911.14,97.75,12.0,224.21,185.23
CLM,GN,ACE4,2419,2960,847.58,944.5,96.92,11.4,179.82,195.89
Galicia,GE,PGR5,2815,2507,1865.82,1896.72,30.9,1.7,57.39,76.06
Asturias,HC,SRI5R,2160,2128,196.53,209.09,12.56,6.4,170.8,152.41
CLM,IB,ACE3,1670,741,151.22,147.23,-3.99,-2.6,156.68,162.14
Cataluña,GN,BES4,4765,274,847.24,833.03,-14.21,-1.7,208.05,193.29
Murcia,IB,ESC6,2115,256,216.74,198.77,-17.97,-8.3,69.69,89.8
Vasconia,IB,STC4,930,78,185.53,160.08,-25.45,-13.7,177.36,201.29
Asturias,HC,SRI4R,2160,680,251.06,190.57,-60.49,-24.1,237.51,216.16
Cataluña,GE,BES3,2966,563,874.35,505.22,-369.13,-42.2,164.32,156.73
