outcome,baseline,n_months,delta,se,pval,n_pre,n_post
q_1 (PDBCE auction),full,78.53333333333333,64.84317143845692,21.43908750345091,0.0024901946200750606,225599,10752
q_1 (PDBCE auction),excl_crisis,54.2,44.53743729756041,21.688327220585464,0.040022066715746735,155543,10752
q_1 (PDBCE auction),recent_2y,24.366666666666667,148.05526389145027,22.036949377122646,1.8360362871989914e-11,69624,10752
q_1 (PDBCE auction),recent_1y,12.2,173.57434274496546,23.05883672515631,5.1739054810615463e-14,34599,10752
q_1 (PDBCE auction),recent_6m,6.1,192.3563398824038,25.334837960653953,3.13640187925689e-14,17031,10752
q_2 (PIBCIE IDA),full,78.53333333333333,79.35681450708618,6.711947281523023,2.9612069240010585e-32,224061,10591
q_2 (PIBCIE IDA),excl_crisis,54.2,74.67945171132261,6.785130499402232,3.561817722092834e-28,154320,10591
q_2 (PIBCIE IDA),recent_2y,24.366666666666667,85.89650607048931,6.982191305820825,8.811025454537412e-35,69694,10591
q_2 (PIBCIE IDA),recent_1y,12.2,79.21376858053186,7.358782504755066,5.0624137827167204e-27,34794,10591
q_2 (PIBCIE IDA),recent_6m,6.1,75.84083651236996,8.179011111009391,1.8163386600472177e-20,17313,10591
