tech,regime,delta_did,se,p,n,n_clusters
Hydro,3-sess,0.16318401222035966,3.3139880953766903,0.9607272557794962,249593,2924
Hydro,ISP15-win,17.24301422279385,2.9722282665979565,6.577286228212227e-09,249593,2924
Hydro,DA60/ID15,-3.538725972456917,2.3367368002589357,0.12992748236373933,249593,2924
Hydro,DA15/ID15,17.628817856549702,3.6252517430135396,1.1574586176912876e-06,249593,2924
CCGT,3-sess,-6.734953821825882,4.237583744920264,0.11198405348696955,207184,2924
CCGT,ISP15-win,-16.81424474033596,7.0638310332973555,0.01729716788840357,207184,2924
CCGT,DA60/ID15,-17.01660579028041,2.421562671176728,2.108435789079424e-12,207184,2924
CCGT,DA15/ID15,30.226804065792322,4.099899097620002,1.6736629825893376e-13,207184,2924
Nuclear,3-sess,140.5095587375543,,,44095,1619
Nuclear,ISP15-win,-56.45808811284846,,,44095,1619
Nuclear,DA60/ID15,-20.746123431186057,,,44095,1619
Nuclear,DA15/ID15,-0.17276220724180424,6060.25503123669,0.9999772543734349,44095,1619
