firm,regime,tercile,n,lift,mean_abs_sys_imb
IB,pre-IDA,low,18089,1.0204953612258447,7.9582204654762565
IB,pre-IDA,med,18276,1.0831771711531581,33.09817246662289
IB,pre-IDA,high,19292,1.0203936252974446,485.94926912709934
IB,3-sess,low,1352,1.01647784071976,5.392622041420118
IB,3-sess,med,1360,1.0430307713250901,19.31137867647059
IB,3-sess,high,1341,1.0654928171359526,58.293176733780754
IB,ISP15-win,low,862,0.9878701430212489,8.766502320185616
IB,ISP15-win,med,861,0.9753163144528656,29.999709639953544
IB,ISP15-win,high,869,1.0239749858506761,191.0546892980437
IB,DA60/ID15,low,1526,1.0069186617351553,10.35183486238532
IB,DA60/ID15,med,1530,0.9941871916206677,33.08624183006536
IB,DA60/ID15,high,1552,1.0051758878575736,99.71565721649485
IB,DA15/ID15,low,727,1.0054964975494036,7.855364511691885
IB,DA15/ID15,med,724,0.995869185149635,28.819371546961328
IB,DA15/ID15,high,733,0.9897347299915292,83.57104365620737
GE,pre-IDA,low,18077,1.0091324963153376,7.9569203960834205
GE,pre-IDA,med,18236,1.0559852109819248,33.08696123053301
GE,pre-IDA,high,19227,0.9531125467081846,486.02600509699903
GE,3-sess,low,1352,1.0460469387394706,5.392622041420118
GE,3-sess,med,1360,1.080314292532459,19.31137867647059
GE,3-sess,high,1341,1.1124664899519028,58.293176733780754
GE,ISP15-win,low,861,0.9755659886368565,8.762195121951219
GE,ISP15-win,med,860,1.0675437630738742,29.998168604651163
GE,ISP15-win,high,869,1.095250993637404,191.0546892980437
GE,DA60/ID15,low,1526,1.0024197638704953,10.35183486238532
GE,DA60/ID15,med,1530,1.0013880826792518,33.08624183006536
GE,DA60/ID15,high,1548,1.0037397340633554,97.65198643410852
GE,DA15/ID15,low,727,1.0000000000000002,7.855364511691885
GE,DA15/ID15,med,724,0.9999999999999999,28.819371546961328
GE,DA15/ID15,high,733,0.9999999999999999,83.57104365620737
GN,pre-IDA,low,18017,1.0229029413243702,7.957621968141201
GN,pre-IDA,med,18216,1.0897852169139832,33.095097716293374
GN,pre-IDA,high,19266,0.9187443946931072,486.30185689816255
GN,3-sess,low,1311,1.015425811914952,5.4056826849733035
GN,3-sess,med,1313,1.0140869284081258,19.349028941355677
GN,3-sess,high,1303,1.0658818919575646,58.497486569455106
GN,ISP15-win,low,858,1.0261209613121225,8.757634032634034
GN,ISP15-win,med,860,0.9782539038301328,30.001627906976747
GN,ISP15-win,high,864,0.9823544239979836,187.35677083333334
GN,DA60/ID15,low,1526,0.9939582995922909,10.35183486238532
GN,DA60/ID15,med,1528,1.0094732495723473,33.079630235602096
GN,DA60/ID15,high,1547,0.9942308610726395,97.7263089851325
GN,DA15/ID15,low,727,1.0000000000000002,7.855364511691885
GN,DA15/ID15,med,724,0.9999999999999999,28.819371546961328
GN,DA15/ID15,high,732,0.9999999999999999,83.60703551912569
HC,pre-IDA,low,10659,1.0188179355702998,7.904810488788817
HC,pre-IDA,med,10070,1.0829968997722343,32.71896971201589
HC,pre-IDA,high,7183,0.9770360027682552,445.95782402895725
HC,3-sess,low,728,1.0390706448890434,5.433344780219779
HC,3-sess,med,717,1.0936980114749189,19.331903765690377
HC,3-sess,high,782,1.0932907833751235,58.681010230179034
HC,ISP15-win,low,694,1.0266856330014225,8.753314121037462
HC,ISP15-win,med,690,1.0692031255151495,30.07594202898551
HC,ISP15-win,high,660,1.0646226179162706,190.9688257575758
HC,DA60/ID15,low,1181,0.9974809446605181,10.294517358171042
HC,DA60/ID15,med,1190,1.0006472563522404,33.063529411764705
HC,DA60/ID15,high,1113,0.9934120390613613,85.35525606469002
HC,DA15/ID15,low,482,0.9817888474336998,8.050363070539419
HC,DA15/ID15,med,482,0.9931968339111663,29.053526970954355
HC,DA15/ID15,high,436,0.9781161350083944,73.20636467889909
