firm,regime,n_hours,opposite_share,indep_baseline,lift,z_vs_indep,mean_firm_imb,mean_abs_firm_imb,mean_sys_imb,share_firm_long,share_sys_long
IB,pre-IDA,49375,0.5490025316455697,0.536384209197244,1.0235247836009385,5.622611462568531,-185.79955118987343,285.5069942278481,56.70935189873418,0.2857518987341772,0.5849113924050633
IB,3-sess,3586,0.5331846068042387,0.5000970496592531,1.066162272238019,3.962778981441603,28.457334076965978,217.30245398773005,2.9965909090909086,0.49944227551589515,0.587005019520357
IB,ISP15-win,2172,0.5147329650092081,0.5084132047251304,1.0124303622040942,0.5891447346156071,72.03075506445671,281.58011049723757,8.439191988950277,0.6127992633517495,0.462707182320442
IB,DA60/ID15,4218,0.5547652916073968,0.49664615577619997,1.1170232270103118,7.54939591678237,-40.92678402086297,200.93549668089142,-11.204220009483166,0.4476055002370792,0.46799431009957326
IB,DA15/ID15,2174,0.5367985280588776,0.5276454443202216,1.0173470345232454,0.8548542101231005,-165.24066237350507,261.34270929162835,4.387626494940203,0.28380864765409386,0.5639374425022999
GE,pre-IDA,52800,0.5352272727272728,0.5355659471131773,0.9993676327112841,-0.15603815548391897,-150.59474564393938,205.70113920454546,59.19269270833333,0.2978598484848485,0.5879734848484849
GE,3-sess,4020,0.5196517412935323,0.47856686715675356,1.085849808995075,5.214640361730141,45.886791044776125,172.89037313432837,3.666436567164179,0.6121890547263682,0.5955223880597015
GE,ISP15-win,2572,0.5559875583203733,0.5011534070707633,1.109415900352978,5.561830622881467,-19.101594090202177,167.55968118195958,12.101623250388803,0.5136080870917574,0.45762052877138415
GE,DA60/ID15,4583,0.5260746236089897,0.4801038988541598,1.0957516172323238,6.229172858545818,-118.26278638446435,165.6279729434868,-11.90655138555531,0.2325987344534148,0.4627972943486799
GE,DA15/ID15,2184,0.5618131868131868,0.5210044076802318,1.0783271283915923,3.817626723132909,-83.47244734432235,161.11070283882785,4.459478021978022,0.33379120879120877,0.5631868131868132
GN,pre-IDA,55351,0.45957615941898067,0.46332892418199834,0.9919004306289682,-1.7705788689250124,182.88350562772126,317.42180773608425,59.94376976025726,0.7036909902260122,0.5900164405340463
GN,3-sess,3886,0.4696345856922285,0.4500729620748194,1.0434632276669782,2.451107158279026,427.92671127123003,533.3879567678847,3.5195831188883173,0.7709727225939269,0.5921255790015441
GN,ISP15-win,2572,0.5505443234836703,0.5225768474467226,1.0535183986309287,2.839631181034614,487.1471228615863,581.6651632970451,12.46978032659409,0.7818818040435459,0.4599533437013997
GN,DA60/ID15,4588,0.5396687009590235,0.5092250053017272,1.0597843690713062,4.12489598897278,238.9525664777681,486.36622166521363,-12.279631647776808,0.6216216216216216,0.46207497820401044
GN,DA15/ID15,2183,0.515803939532753,0.48241680969151324,1.0692080565405455,3.121796980464113,276.68961291800275,531.5566078790656,4.487734768666972,0.6385707741639945,0.5634448007329363
HC,pre-IDA,27912,0.4667526511894526,0.45079499332997675,1.0353989243349804,5.3580633205344395,171.5752257093723,196.6009064201777,47.38017877615363,0.7904843794783606,0.58469475494411
HC,3-sess,2227,0.46879209699146834,0.4353748107935249,1.076755212679935,3.1806765921094566,130.78078132016165,152.00951953300404,5.01686124831612,0.8248765154916928,0.5994611585092052
HC,ISP15-win,2044,0.5513698630136986,0.5237820780404486,1.052670349234667,2.497348164071463,122.79863013698632,147.67729941291586,9.574938845401174,0.8038160469667319,0.4608610567514677
HC,DA60/ID15,3484,0.5519517795637199,0.5119967810861791,1.0780375970192195,4.718079266369933,85.29276693455797,120.52629161882892,-6.5796713547646375,0.7322043628013777,0.47416762342135477
HC,DA15/ID15,1399,0.4453180843459614,0.4354846538500645,1.0225804294341045,0.7418047428539879,127.81013223731236,156.52746604717655,8.910757684060044,0.7998570407433881,0.6075768406004288
OTHER,pre-IDA,52423,0.5263147854949164,0.5255892200000781,1.001380480168216,0.332687939630855,-153.97813059153424,375.7473311332812,58.12555319230109,0.3591934837762051,0.5908666043530512
OTHER,3-sess,4031,0.605805011163483,0.5516251777575194,1.0982185650521188,6.916739435627859,-174.918332919871,305.1410071942446,3.912261225502357,0.23691391714214835,0.5981146117588688
OTHER,ISP15-win,2503,0.47862564922093487,0.470159579978257,1.018006799400045,0.8486274059633457,-369.52081502197365,415.0608869356772,12.536646024770276,0.14262884538553736,0.4582500998801438
OTHER,DA60/ID15,4565,0.4849945235487404,0.47479519991746333,1.0214815222079965,1.379984664590598,-303.49136911281494,389.679978094195,-12.288324205914567,0.1502738225629792,0.46396495071193866
OTHER,DA15/ID15,2247,0.5549621717846017,0.549594385749758,1.009766813806733,0.5114152695951578,-573.2651424121051,623.1829661771251,4.680117935024477,0.10057854917668002,0.562082777036048
