firm,regime,n_hours,opposite_share,indep_baseline,lift,z_vs_indep,share_firm_long,share_sys_long,mean_firm_imb,mean_abs_firm_imb
IB,pre-IDA,55654,0.5755381464045711,0.5491235506891943,1.0481031922273674,12.523575813828325,0.2271534840263054,0.5900204837028785,-1144.437682466669,1580.8867642936714
IB,3-sess,4053,0.5635331852948433,0.539501372421144,1.0445444888598718,3.069477035451089,0.2965704416481619,0.5970885763631878,-1312.4383172958303,2089.7681470515668
IB,ISP15-win,2592,0.4702932098765432,0.4689750514403292,1.0028107218756428,0.13447847621824616,0.12770061728395063,0.4583333333333333,-2789.3367283950615,3012.1764660493827
IB,DA60/ID15,4608,0.5149739583333334,0.48513209966965665,1.061512851208974,4.0532574574444595,0.3042534722222222,0.4620225694444444,-1826.2383029513887,2544.0770290798614
IB,DA15/ID15,2184,0.5604395604395604,0.533097854526426,1.051288343558282,2.5611529951173884,0.23809523809523808,0.5631868131868132,-1986.1260874542124,2541.1310096153848
GE,pre-IDA,55401,0.526723344343965,0.5252944746598135,1.00272013080868,0.6735004097880682,0.3588924387646432,0.5896283460587354,-159.05256728217904,257.01957293189656
GE,3-sess,4053,0.5151739452257587,0.4824890823287712,1.0677421813136816,4.164198908182564,0.5901801134961757,0.5970885763631878,24.394645941278064,288.6890944979028
GE,ISP15-win,2588,0.5208655332302936,0.49632204515430867,1.0494507312653305,2.497239326680204,0.4563369397217929,0.4578825347758887,-174.28647604327668,387.9928129829985
GE,DA60/ID15,4604,0.5430060816681147,0.4835951776908381,1.1228525566796654,8.066733188413938,0.28171155516941787,0.4624239791485665,-266.4799902258905,362.8209980451781
GE,DA15/ID15,2184,0.5741758241758241,0.5393470997866602,1.0645757146055677,3.265448259731363,0.18864468864468864,0.5631868131868132,-339.5428228021978,404.54094551282054
GN,pre-IDA,55648,0.5239182001150087,0.5173341045836128,1.0127269698113082,3.1082220879997777,0.40377012650948824,0.5900661299597469,-152.16608287809086,443.2519123778033
GN,3-sess,4052,0.5155478775913129,0.5086170016829586,1.0136269056783804,0.8825053398892849,0.45557749259624875,0.5969891411648569,-61.94550839091807,623.4805034550839
GN,ISP15-win,2591,0.4828251640293323,0.47945810699715985,1.0070226303049923,0.34306862540469596,0.2547279042840602,0.458124276341181,-594.4021227325356,887.6280586646084
GN,DA60/ID15,4605,0.4959826275787188,0.4900920375223551,1.0120193547443526,0.7996296643281986,0.3685124864277959,0.46232356134636265,-147.74181324647122,583.9175244299674
GN,DA15/ID15,2184,0.5297619047619048,0.5070014692267439,1.0448922476888953,2.127548474293212,0.44459706959706957,0.5631868131868132,-26.41839514652014,514.8648466117216
HC,pre-IDA,27912,0.4667526511894526,0.45079499332997675,1.0353989243349804,5.3580633205344395,0.7904843794783606,0.58469475494411,171.5752257093723,196.6009064201777
HC,3-sess,2227,0.46879209699146834,0.4353748107935249,1.076755212679935,3.1806765921094566,0.8248765154916928,0.5994611585092052,130.78078132016165,152.00951953300404
HC,ISP15-win,2044,0.5513698630136986,0.5237820780404486,1.052670349234667,2.497348164071463,0.8038160469667319,0.4608610567514677,122.79863013698632,147.67729941291586
HC,DA60/ID15,3484,0.5519517795637199,0.5119967810861791,1.0780375970192195,4.718079266369933,0.7322043628013777,0.47416762342135477,85.29276693455797,120.52629161882892
HC,DA15/ID15,1399,0.4453180843459614,0.4354846538500645,1.0225804294341045,0.7418047428539879,0.7998570407433881,0.6075768406004288,127.81013223731236,156.52746604717655
OTHER,pre-IDA,52423,0.5263147854949164,0.5255892200000781,1.001380480168216,0.332687939630855,0.3591934837762051,0.5908666043530512,-153.97813059153424,375.7473311332812
OTHER,3-sess,4031,0.605805011163483,0.5516251777575194,1.0982185650521188,6.916739435627859,0.23691391714214835,0.5981146117588688,-174.918332919871,305.1410071942446
OTHER,ISP15-win,2503,0.47862564922093487,0.470159579978257,1.018006799400045,0.8486274059633457,0.14262884538553736,0.4582500998801438,-369.52081502197365,415.0608869356772
OTHER,DA60/ID15,4565,0.4849945235487404,0.47479519991746333,1.0214815222079965,1.379984664590598,0.1502738225629792,0.46396495071193866,-303.49136911281494,389.67997809419495
OTHER,DA15/ID15,2247,0.5549621717846017,0.549594385749758,1.009766813806733,0.5114152695951578,0.10057854917668002,0.562082777036048,-573.2651424121051,623.1829661771251
