pivot,n_hours,mean_mp,sum_transfer_M,mean_q_ib,share_hours_pct,share_transfer_pct,concentration,_table,hour_of_day,n,share_pivotal,vre_qtl,median_mp,share_strong_pivotal,mean_vre_mw,res_dec,mean_reservoir_twh,category,mean_mp_IB,share_strong_pivotal_pct
non-pivotal,1314.0,-0.3902283105022829,-0.6484896079999998,631.5972792998477,10.062796752948385,-0.7641671738669626,-0.07593983985049313,pivotality_buckets,,,,,,,,,,,,
mildly,3527.0,2.5674482563084773,7.549316049749998,813.5783597958605,27.01026190840864,8.895962925539989,0.3293549302004569,pivotality_buckets,,,,,,,,,,,,
strongly,6462.0,11.470789229340761,46.015596233500005,642.3213246672857,49.48690457956808,54.22385755109427,1.0957213430860244,pivotality_buckets,,,,,,,,,,,,
extremely,1755.0,27.488866096866097,31.94584701875,652.2755270655271,13.440036759074896,37.644346697232706,2.8009109924356963,pivotality_buckets,,,,,,,,,,,,
,,7.81,3.7,,,,,by_hour_of_day,1.0,599.0,53.42,,,,,,,,,
,,7.92,2.8,,,,,by_hour_of_day,2.0,594.0,55.22,,,,,,,,,
,,8.02,2.43,,,,,by_hour_of_day,3.0,592.0,53.21,,,,,,,,,
,,8.61,2.33,,,,,by_hour_of_day,4.0,585.0,57.26,,,,,,,,,
,,8.85,2.57,,,,,by_hour_of_day,5.0,584.0,57.53,,,,,,,,,
,,8.94,2.85,,,,,by_hour_of_day,6.0,587.0,59.45,,,,,,,,,
,,10.01,4.33,,,,,by_hour_of_day,7.0,592.0,63.51,,,,,,,,,
,,10.56,6.13,,,,,by_hour_of_day,8.0,593.0,65.43,,,,,,,,,
,,10.6,4.96,,,,,by_hour_of_day,9.0,583.0,64.84,,,,,,,,,
,,11.76,2.34,,,,,by_hour_of_day,10.0,538.0,67.47,,,,,,,,,
,,11.39,0.97,,,,,by_hour_of_day,11.0,475.0,64.21,,,,,,,,,
,,10.79,0.57,,,,,by_hour_of_day,12.0,431.0,60.56,,,,,,,,,
,,10.81,0.5,,,,,by_hour_of_day,13.0,412.0,60.44,,,,,,,,,
,,10.76,0.5,,,,,by_hour_of_day,14.0,406.0,60.59,,,,,,,,,
,,10.48,0.52,,,,,by_hour_of_day,15.0,390.0,60.26,,,,,,,,,
,,10.38,0.64,,,,,by_hour_of_day,16.0,401.0,61.6,,,,,,,,,
,,11.81,1.08,,,,,by_hour_of_day,17.0,441.0,68.93,,,,,,,,,
,,11.6,1.9,,,,,by_hour_of_day,18.0,489.0,70.35,,,,,,,,,
,,11.89,3.44,,,,,by_hour_of_day,19.0,529.0,72.59,,,,,,,,,
,,11.36,5.87,,,,,by_hour_of_day,20.0,563.0,74.07,,,,,,,,,
,,10.59,8.6,,,,,by_hour_of_day,21.0,596.0,71.64,,,,,,,,,
,,10.62,9.65,,,,,by_hour_of_day,22.0,600.0,74.33,,,,,,,,,
,,10.85,8.86,,,,,by_hour_of_day,23.0,599.0,71.29,,,,,,,,,
,,11.23,7.29,,,,,by_hour_of_day,24.0,598.0,72.41,,,,,,,,,
,,0.16,0.02,,,,,by_hour_of_day,25.0,281.0,1.42,,,,,,,,,
,,7.88,23.93,,,,,by_vre_quintile,,2559.0,,Q1-low,6.29,57.09,14010.45,,,,,
,,9.79,22.09,,,,,by_vre_quintile,,2555.0,,Q2,8.75,70.61,26990.74,,,,,
,,11.86,18.23,,,,,by_vre_quintile,,2552.0,,Q3,11.01,73.51,40947.02,,,,,
,,11.21,14.36,,,,,by_vre_quintile,,2557.0,,Q4,9.4,65.19,59233.38,,,,,
,,10.47,6.23,,,,,by_vre_quintile,,2554.0,,Q5-high,7.01,55.01,87447.49,,,,,
,,8.27,13.55,,,,,by_reservoir_decile,,5482.0,,,,54.03,,1.0,9.6,,,
,,13.02,17.43,,,,,by_reservoir_decile,,3871.0,,,,83.26,,2.0,9.77,,,
,,8.96,11.33,,,,,by_reservoir_decile,,1331.0,,,,58.6,,3.0,11.45,,,
,,9.92,23.31,,,,,by_reservoir_decile,,1317.0,,,,52.32,,4.0,13.75,,,
,,9.65,19.25,,,,,by_reservoir_decile,,1057.0,,,,53.26,,5.0,15.14,,,
,,,,,,,,h1_drought_evening,,1845.0,,,,,,,,drought × evening (H1),10.9,76.75
,,,,,,,,h1_drought_evening,,8839.0,,,,,,,,drought × off-evening,9.9,62.78
,,,,,,,,h1_drought_evening,,0.0,,,,,,,,wet × evening,,
,,,,,,,,h1_drought_evening,,0.0,,,,,,,,wet × off-evening,,
,,,,,,,,h2_winter_morning,,640.0,,,,,,,,winter × morning (H2),11.81,78.91
,,,,,,,,h2_winter_morning,,3231.0,,,,,,,,winter × non-morning,13.25,84.12
,,,,,,,,h2_winter_morning,,1715.0,,,,,,,,summer × morning,9.36,57.49
,,,,,,,,h2_winter_morning,,7472.0,,,,,,,,summer × non-morning,8.63,53.64
,,,,,,,,h3_vre_doldrum_evening,,590.0,,,,,,,,VRE Q1 (low) × evening,8.77,71.53
,,,,,,,,h3_vre_doldrum_evening,,1969.0,,,,,,,,VRE Q1 × off-evening,7.61,52.77
,,,,,,,,h3_vre_doldrum_evening,,4.0,,,,,,,,VRE Q5 (high) × evening,9.07,25.0
,,,,,,,,h3_vre_doldrum_evening,,2550.0,,,,,,,,VRE Q5 × off-evening,10.48,55.06
