firm,era,Q4_share_ES_pct,Q4_share_FR_pct,gap_vs_Fringe_FR_pp
IB,pre-MTU15-IDA,56.77634637652474,46.38991460532187,9.592327944594253
IB,post-MTU15-IDA,62.448027706666785,51.89799671591653,15.104708854856938
GE,pre-MTU15-IDA,28.171328389009208,27.149621832776905,-9.647964827950712
GE,post-MTU15-IDA,26.661717037181866,25.91727490261338,-10.87601295844621
GN,pre-MTU15-IDA,75.65658646509065,57.12223822322662,20.324651562499
GN,post-MTU15-IDA,91.86327342994505,65.15267360284847,28.359385741788877
HC,pre-MTU15-IDA,88.79704237103067,71.18733516621964,34.38974850549202
HC,post-MTU15-IDA,53.63959735454903,51.7295408780613,14.936253017001711
Fringe,pre-MTU15-IDA,41.15074250107044,36.79758666072762,0.0
Fringe,post-MTU15-IDA,41.70562176723507,36.79328786105959,0.0
