market,tech_group,n_unit_days,n_with_sell,n_with_buy,n_with_both,pct_both_of_sellers
DA,Solar PV,944918,944918.0,0.0,0.0,0.0
DA,Wind,537764,537764.0,0.0,0.0,0.0
DA,Cogen,511140,511140.0,0.0,0.0,0.0
DA,Hydro_RES,311347,311347.0,0.0,0.0,0.0
DA,Biomass,149641,149641.0,0.0,0.0,0.0
DA,CCGT,137481,137481.0,0.0,0.0,0.0
DA,Hydro,119357,119357.0,0.0,0.0,0.0
DA,Nuclear,42769,42769.0,0.0,0.0,0.0
DA,Hydro_pump,21533,21533.0,0.0,0.0,0.0
DA,Coal,5320,5320.0,0.0,0.0,0.0
IDA,Wind,2389721,2346996.0,456164.0,413439.0,17.615667005823614
IDA,Solar PV,2214353,2021922.0,806834.0,614403.0,30.38707724630327
IDA,Hydro_RES,446228,421396.0,43274.0,18442.0,4.376406040873667
IDA,Hydro,347350,332658.0,35882.0,21190.0,6.369905428397934
IDA,Cogen,345407,315209.0,43845.0,13647.0,4.329508357946632
IDA,CCGT,271139,270144.0,12471.0,11476.0,4.248104714522625
IDA,Biomass,116343,107862.0,16279.0,7798.0,7.2296082030742985
IDA,Hydro_pump,54949,53534.0,4141.0,2726.0,5.092091007583965
IDA,Nuclear,13799,12259.0,2084.0,544.0,4.437556081246431
IDA,Coal,7119,7074.0,102.0,57.0,0.8057675996607294
