term,coef_Spec A,coef_Spec B,coef_Spec C,coef_Spec D
const,3381.3881122198454,5114.1812268789035,3813.7781847695205,5523.763487637803
Big4,4827.030320579261,4897.878121366253,5305.234047083348,5368.4481343419975
Big4×3-sess,-3460.597428784956,-3538.2671781172926,-3451.297461624609,-3534.2611277744554
Big4×ISP15-win,-4687.359512625667,-4787.908304689224,-4595.118983512182,-4701.928980279681
Big4×DA60/ID15,-2536.7094414993,-2615.1062756296824,-2501.3169474026777,-2588.383392881116
Big4×DA15/ID15,-1866.0171587689147,-1935.5108583358096,-1822.6905292761803,-1900.9976592240253
R_3-sess,1696.299232478607,2064.8452187828348,1646.9296427160577,2021.6324987521175
R_ISP15-win,2181.8895575248916,2939.861267702043,2148.606417344631,2923.3364989661723
R_DA60/ID15,316.1984888170245,1082.0395207293407,358.41484971810496,1141.3223135356484
R_DA15/ID15,330.44464897260565,1031.6725237532185,339.2186055969554,1052.692982608503
DOW1,-51.567921306669014,-22.85412117768081,-26.155500059608226,2.431964306079216
DOW2,-2.7213871255572966,27.015435873510896,23.457367425744376,52.70300634067925
DOW3,-26.777142385316203,-23.531151025359186,-6.390944711751444,-3.234976245309589
DOW4,-57.2338073030516,-53.0422290141899,-49.70883699583865,-45.20780689261116
DOW5,-442.5511008850045,-427.4299420519536,-534.0497048659613,-513.5892787735739
DOW6,-527.5365493949242,-509.25919154805297,-671.8182868603662,-646.0312642809216
M2,-190.4077319636363,-150.05265093764473,-223.26639476936813,-178.4820376361311
M3,90.91787357168171,53.84257369652734,40.816454651634515,6.246581118235127
M4,-34.1008610100898,-16.33183308930964,-153.53028062849938,-128.30285195346698
M5,-296.0296639182676,-313.10937014338157,-446.0827160150575,-457.4317094503364
M6,-485.9587272358361,-487.3719918562829,-519.751166113598,-521.8948363703861
M7,-337.1837701639597,-381.93476746427484,-262.6209260354521,-313.191591966425
M8,310.93504495077906,294.8714237251748,349.6810444681767,330.6281969422824
M9,-334.19592597852903,-280.9779539845147,-303.80571366242566,-251.59103386505123
M10,-365.40192257165296,-321.09716105097084,-403.36173329944074,-357.63994874312675
M11,275.57591377220564,269.2526331391005,255.61866893912648,249.50545737758043
M12,-33.699662669550285,-66.13114024528107,-58.20488395207106,-88.47497321753147
vre_GWh,-9.033454672924146,-6.40608305859861,-10.24822517673491,-7.495568829862106
