tech,regime,delta_did,se,p,n_units,n,n_clusters
Hydro,3-sess,-0.03875620355821971,1.2871567874346397,0.9759793795996228,25,629008,2924
Hydro,ISP15-win,5.482984830041113,1.1978756443630338,4.7111225871658825e-06,25,629008,2924
Hydro,DA60/ID15-pre-blackout,-5.854073750461675,2.0658286358624247,0.004600308765049773,25,629008,2924
Hydro,DA60/ID15-reforzada,0.8171524173232553,1.0271050729703566,0.42627157394386406,25,629008,2924
Hydro,DA15/ID15,5.955261591607113,1.5412519321994491,0.00011158550773261512,25,629008,2924
CCGT,3-sess,-1.4662385424011168,1.2741665099446735,0.24983786758945847,34,582800,2924
CCGT,ISP15-win,-2.451918121977563,2.481106010275204,0.323037112055394,34,582800,2924
CCGT,DA60/ID15-pre-blackout,-0.10206089947610275,1.4976279123376817,0.945667526992311,34,582800,2924
CCGT,DA60/ID15-reforzada,-4.539054012020202,0.786194670886408,7.766560461287496e-09,34,582800,2924
CCGT,DA15/ID15,5.425893785161406,1.0018028614015895,6.090308150709823e-08,34,582800,2924
Nuclear,3-sess,40.42415221339298,11.430376634887855,0.0004053825430139343,7,51882,1619
Nuclear,ISP15-win,-20.96159968595502,16.36010218030256,0.20010117365028368,7,51882,1619
Nuclear,DA60/ID15-pre-blackout,-59.51645540792984,21.441104945675427,0.00550642042603647,7,51882,1619
Nuclear,DA60/ID15-reforzada,-9.19569066183241,3.220584737399172,0.004299808295793807,7,51882,1619
Nuclear,DA15/ID15,-1.704195392822332,2.465515209788138,0.48943189218555816,7,51882,1619
