outcome,regime,months,delta_full,delta_same_cal,se_same_cal,pval_same_cal,magnitude_ratio_pct,n_pre_sc,n_post
q_1 (PDBCE auction),3-sess,"[6, 7, 8, 9, 10, 11]",-71.36135744475894,-82.76844532576395,20.372745228909828,4.8507403286229317e-05,115.98496481773806,106565,16142
q_1 (PDBCE auction),ISP15-win,"[1, 2, 3, 12]",142.66900973690937,100.84330444676233,32.8734436975516,0.002157692466373485,70.68339833067022,78500,10368
q_1 (PDBCE auction),DA60/ID15-prebo,"[3, 4]",-166.17279244055294,-82.68120897460051,24.61813259958095,0.0007835277855297861,49.7561651099888,40717,3374
q_1 (PDBCE auction),DA60/ID15-reforz,"[4, 5, 6, 7, 8, 9]",-252.2679216865232,-182.99338829841093,13.381848274867641,1.4370641976138504e-42,72.53930149938161,111963,14544
q_1 (PDBCE auction),DA15/ID15,"[1, 2, 3, 4, 5, 10, 11, 12]",64.84317143845692,43.59298632413369,21.725339329565706,0.04479756694472941,67.22833778342887,154170,10752
q_2 (PIBCIE IDA),3-sess,"[6, 7, 8, 9, 10, 11]",-13.60200394977756,-11.721843084243309,5.93172695767968,0.04814044693020202,86.17732451426764,105813,15208
q_2 (PIBCIE IDA),ISP15-win,"[1, 2, 3, 12]",-1.987039891293008,-11.10479851332612,7.678185289236498,0.14809894984391028,558.8613777703274,77677,9992
q_2 (PIBCIE IDA),DA60/ID15-prebo,"[3, 4]",-32.45594136658617,-29.15668992726195,11.803634543777253,0.013505826106135235,89.83467648631866,40580,3734
q_2 (PIBCIE IDA),DA60/ID15-reforz,"[4, 5, 6, 7, 8, 9]",-30.9699471496425,-22.38144910007888,4.347597938051308,2.632736785677485e-07,72.26828315829799,111586,14545
q_2 (PIBCIE IDA),DA15/ID15,"[1, 2, 3, 4, 5, 10, 11, 12]",79.34927315282829,76.48763464459164,6.774705744890568,1.4673898295863065e-29,96.39361723865437,153060,10591
