label,n,n_clusters,beta_3,se,p,beta_1_crit,beta_2_post,y_mean,y_mean_pre_flat,y_mean_pre_crit,y_mean_post_flat,y_mean_post_crit
all_firms,2308417,184,0.30195730271285415,0.13962395119079243,0.030568349468073075,-0.44802706702281214,-0.24950163938836764,-0.08015075915659953,0.2725181163570278,-0.22809121778338562,0.024464185252325195,-0.13392903705675083
treatment_only,177136,184,8.779893481134678,1.6500258414556643,1.0316196985549198e-07,-9.250585180302297,-15.05317874394525,3.0506726470056904,17.05766606461971,7.745589919816724,1.811672497734314,1.4047630436926717
placebo_only,315552,184,-4.1999013692067235,0.45615371848348346,0.0,4.467111370322089,-0.16499222072704306,0.9361749410556739,0.3447230320699708,4.856901335182937,0.24669982267538512,0.5736839195833697
treatment_CCGT,34644,184,16.82455146705178,4.659863867167209,0.00030557873508008093,-12.26390875554334,-35.576372060935206,12.98596726705923,43.05856832971801,29.81353123921298,6.285570222185783,9.994694351763584
treatment_Hydro,22913,184,-10.01258769142118,3.0564146257919926,0.0010531620617997284,12.249718519659158,-4.320419470492928,4.9121732204425435,4.894233473980309,17.223977591036416,1.3321018860587206,2.915356472061356
treatment_Hydro_pump,4670,180,36.14126659379736,14.594683562575145,0.013274047049303572,-36.09653258201846,-53.83286173820818,11.045529978586723,59.10958904109589,28.600117096018735,6.377868852459017,6.073090020728458
treatment_Coal,425,53,222.496536698164,33.72953321558122,4.2100545272205636e-11,-244.1366158257141,-107.63444674748985,36.72382352941177,148.1577777777778,-98.36666666666666,36.9567679558011,19.575274725274724
treatment_Nuclear,14001,118,123.4486885490419,36.7967548319647,0.0007939948378086203,-127.47842396929946,-72.9320554906273,0.4477965859581459,75.87269736842106,-50.63661417322835,3.7708968347010554,-0.5679567116759333
treatment_Wind,48605,184,2.182690644759473,1.9244266460390855,0.2567093689699509,-4.2207259430291675,-1.251116915830838,-0.920814216644378,2.5037274549098196,-1.7793220338983053,0.3468730314271715,-1.7548002066191937
treatment_Solar PV,2858,134,2344809737345.9736,35150846930210.0,0.9468149119065881,-10895235584.696768,-2344809737345.3755,-0.3522393282015396,,-0.788986784140969,,-0.26975873544093176
treatment_Biomass,0,0,,,,,,,,,,
placebo_CCGT,7835,177,6.119340902600335,17.769977511567205,0.7305725433986046,10.656786191614781,-113.32939696918062,58.16621250797703,137.99462365591398,193.4813203300825,16.359027777777776,32.233348708487085
placebo_Hydro,3077,184,11.649579358397943,6.0100980388552205,0.05258244658156963,-4.625422544179611,7.781828788760874,-6.2379428014299645,-15.346443514644351,-20.058792650918633,-7.526692139737991,-0.6421155094094744
placebo_Wind,179170,184,1.006328678896852,0.2469759935414416,4.609326683024939e-05,-0.9696324583012083,-1.305504813278689,0.410720823798627,1.4294648673801769,0.4666593647316538,0.3044226515802365,0.34626746841542877
placebo_Solar PV,5095,162,420241006420.2291,3101637654383.443,0.8922244394491026,22061187.817695778,-420241006420.2484,0.2075417075564279,,0.23185840707964606,,0.20307272304832716
firm_IB,51277,184,16.13000094040795,4.315482735614334,0.00018570773621440217,-16.762665432166273,-20.574786619181133,1.395653509370673,21.277144379328714,4.522572240644244,0.7178126612130592,0.08837435540510613
firm_GE,35858,184,15.939838798154893,2.9879255266453706,9.56757386649798e-08,-17.62538621170693,-25.006923676411812,5.079186652908696,28.759167809785094,11.101414392059553,3.760285445420326,2.0545890821835635
firm_GN,59637,184,1.033168036070617,1.978125729241854,0.6014639440408951,0.43010428492953273,-9.914608360241273,3.30003353622751,10.716113360323886,11.170798763624532,0.8132315894311324,2.2787917227044874
firm_HC,30364,184,7.7495166154768285,2.0023717651840633,0.00010876004737836453,-10.081205515992156,-8.8458571720538,2.9602637992359377,12.498862084660901,2.414844941535333,3.66194139608553,1.3354261400545668
firm_EDP-PT,0,0,,,,,,,,,,
