label,n,n_clusters,beta_3,se,p,y_mean_pre_flat,y_mean_pre_crit,y_mean_post_flat,y_mean_post_crit
P1_within2024__all_firms,253079,184,0.9416670614872579,0.4899984081920708,0.05463398014014054,4.554319899244332,4.858205700324088,4.991549351160048,6.278918134794145
P1_within2024__treatment_only,98092,184,-0.030483845711824553,1.2348117535386574,0.9803045934435759,15.806355884025013,11.044971460728355,15.383313313313312,10.684965467968564
P1_within2024__placebo_only,154987,184,1.9096732175260065,0.44025869839837656,1.4403645485661087e-05,-2.032146422628952,1.1181840272152923,-1.7321373056994818,3.332524843929163
P1_within2024__treatment_CCGT,18915,184,-1.9973159900510247,4.104616521985446,0.626540167446854,50.64748657881894,43.564376793114434,45.56175253854833,36.86120005042228
P1_within2024__treatment_Hydro,15837,184,5.840320490854999,3.727209424848537,0.11712828062943181,15.077481481481481,17.589418348312705,6.433108108108108,14.9042194092827
P1_within2024__treatment_Nuclear,814,50,-37.907609665757846,35.59774955229292,0.286926700670199,24.28301886792453,0.46615384615384686,38.650000000000006,-29.899378881987573
P1_within2024__treatment_Wind,23859,184,-2.5082934783588318,1.8487819696581276,0.17486778736140218,1.837055417700579,1.7149568337257541,3.2062182244818143,0.6908379327646765
P1_within2024__treatment_Solar PV,5606,184,0.23956462795695035,0.6749335811033877,0.7226304312950718,,-1.4439200826730965,,-0.8003699593044765
P2_within2025pre__all_firms,327300,182,-0.06365940072000971,0.40732037976798036,0.8758057956569087,2.6346123950668465,1.8460412988819341,3.5181031886773515,2.727426334338553
P2_within2025pre__treatment_only,146896,182,1.200126599511549,0.8942080589874061,0.17955996163638277,9.132227917373207,5.466623879484182,9.304169841511733,6.837833616573603
P2_within2025pre__placebo_only,180404,182,-1.1329598300974295,0.28035351753686755,5.3182267264695327e-05,-2.6430476428973892,-1.1281706756869623,-1.0118937541012945,-0.6216639192931558
P2_within2025pre__treatment_CCGT,23897,182,2.141354009484328,1.9026250369797229,0.2603884516755044,21.68332292967124,21.983701054673293,28.780634435657802,31.22329876708401
P2_within2025pre__treatment_Hydro,18177,182,-4.596125707463334,3.1394203277043378,0.14319269963926984,-5.80306479859895,-3.9099628184810435,13.14873287671233,9.9414644905161
P2_within2025pre__treatment_Nuclear,4139,179,83.27719907780161,23.870619206778866,0.00048539306855754916,166.44603174603174,71.86179702650291,18.138020833333332,1.6017745803357315
P2_within2025pre__treatment_Wind,34692,182,-4.708428106309107,1.290581070911132,0.00026398034122565583,2.187772690546728,7.077715739896688,0.4918748356560611,0.6804185697973164
P2_within2025pre__treatment_Solar PV,15745,182,9097529104491.264,8459689760586.934,0.28219680668318103,,-0.2919005510701012,,-0.9334802316796778
P3_shifted1y__all_firms,250320,184,-0.9157231512430257,0.535604396094246,0.08732125386602618,3.928821347272574,5.763455273587451,4.991549351160048,6.278918134794143
P3_shifted1y__treatment_only,99636,184,-2.7846273806420787,1.3406475973132057,0.037794515565339415,13.179674627176974,10.80848766648278,15.383313313313312,10.684965467968564
P3_shifted1y__placebo_only,150684,184,0.1989251767645728,0.43856587991034046,0.6501303880069056,-2.3477251821976934,2.4703732917231087,-1.7321373056994818,3.332524843929163
P3_shifted1y__treatment_CCGT,20669,184,-7.202798370911829,4.054053315893162,0.07561916166200122,47.376891105569406,45.478751140659625,45.561752538548326,36.86120005042229
P3_shifted1y__treatment_Hydro,18648,184,1.757919778211864,3.06716791779855,0.5665492085942985,4.085877240630093,10.610064500425946,6.433108108108108,14.9042194092827
P3_shifted1y__treatment_Nuclear,1409,73,6.927105855430266,35.255679999566354,0.8442329347005493,27.943014705882348,-62.83666191155492,38.650000000000006,-29.899378881987573
P3_shifted1y__treatment_Wind,23850,184,4.661312959096859,3.0446765195946663,0.12577643804695415,4.933305048790836,-2.3031434622673057,3.206218224481815,0.6908379327646766
P3_shifted1y__treatment_Solar PV,3933,184,-940955894350.2842,33387075513655.797,0.9775160060760246,,-1.0761788617886179,,-0.8003699593044764
