label,n,n_clusters,beta_3,se,p,y_mean_pre_flat,y_mean_pre_crit,y_mean_post_flat,y_mean_post_crit
all_firms,5500065,184,0.3740630411147937,0.4988590880020893,0.45335283429192286,26.842491410055672,25.69167644991595,7.525899315029804,6.220600923484622
treatment_only,285036,184,-33.55022610590713,5.141701612984313,6.794653728547928e-11,163.99043547249647,200.6344786220321,51.99148194258877,54.74589368896193
placebo_only,629666,184,-1.8236421242645753,0.29779172896074546,9.132115064147683e-10,14.903056638968966,16.526874562893394,4.068498119839778,4.369564762334149
treatment_CCGT,16903,142,-97.40277081144488,10.789046849299272,0.0,256.5081395348837,358.2850956696878,83.67276550998949,86.67413671101048
treatment_Hydro,73169,184,-109.67608191834213,7.647493259659339,0.0,113.55833604159896,249.8756281833616,39.444041754632885,63.88506139753532
treatment_Hydro_pump,13030,184,-70.66770768808846,8.277604446910052,0.0,58.53125000000001,183.6393914807302,31.678356481481483,76.4594864110778
treatment_Coal,132,7,5.93734824619194e-15,4.88660259626294e-15,0.2243562500323022,175.38484848484848,369.5262626262626,,
treatment_Nuclear,65076,184,10.549185440115675,5.686422744874335,0.06357435036653047,326.0999058971142,308.19155911740216,119.08260013892105,111.81362052742669
treatment_Wind,70379,184,-3.250007512972641,8.012312674358393,0.6850169476875849,113.67405812701828,112.83139877300614,21.245704897251134,17.649953322535655
treatment_Solar PV,9951,184,-853396927087.3341,171116493871445.47,0.9960207844708209,,14.452496904663638,,4.33192082890542
treatment_Biomass,0,0,,,,,,,
firm_IB,75758,184,-40.09483598623474,11.69648348169505,0.0006081813152942761,246.4837089758798,290.03966163774305,59.14359362549801,62.75229009184752
firm_GE,71191,184,6.9578727885642015,3.6968947229390547,0.059824377095711645,249.82981568485724,234.2366522230595,80.58736490388581,71.92628647098736
firm_GN,59552,184,-28.46558914922707,7.099078364241091,6.07809043300378e-05,68.0955175224124,93.01862609986217,34.29246144017523,30.66338672768879
firm_HC,47174,184,-3.1893841573184445,2.5404947817120855,0.20932687566306418,76.9885067114094,79.97216088328075,20.089596433062766,19.895964480393882
firm_EDP-PT,31361,184,-118.50956890293506,7.848826644016862,0.0,161.17694214876033,309.63375519082456,59.2788124626717,89.42513327686713
