label,n,n_clusters,beta_3,se,p
B5.1_canonical_demand_surge_vre_transition_h5_6_7_8_16_17_18_19_20_21_22,317686,184,5.685928620870066,1.0798997962700208,1.4000843884254266e-07
B5.1_supply_ramp_h7_8_16_17_18,184263,184,6.1950498712426,1.1894407497258006,1.9050472088721904e-07
B5.1_price_peak_h18_19_20_21_22,177113,184,8.201911098833083,1.4854465912259007,3.3609495853070825e-08
B5.1_demand_peak_h16_17_18_19_20,190324,184,7.849938347064509,1.3427196486829736,5.026351779235938e-09
B5.1_joint_h7_8_16_17_18_19_20_21_22,278385,184,6.982835767496637,1.2652004946044886,3.4063650566906745e-08
B5.2a_pivotality_treatment_set,317686,184,5.685928620870066,1.0798997962700208,1.4000843884254266e-07
B5.2b_admin_IB_GE_GN_HC,317686,184,5.685928620866883,1.0798997962700572,1.4000843884254266e-07
B5.3a_full_window_2024_2025,1059017,730,2.508884952764448,0.3454899575124885,3.8191672047105385e-13
B5.4a_drop_EDP-PT,317686,184,5.685928620870066,1.0798997962700208,1.4000843884254266e-07
B5.4b_drop_ABO2G,317686,184,5.685928620870066,1.0798997962700208,1.4000843884254266e-07
B5.5_full_window_drop_Apr_Sep_2025,605396,575,5.165912803165656,0.5776927982003403,0.0
B5.6a_samecal_drop_DST_days,314653,182,5.786130079695112,1.0864157363574434,1.004602350196393e-07
B5.6b_full_window_drop_DST_days,1053341,726,2.495550188969405,0.3461705959386894,5.635492072997295e-13
B5.7a_samecal_CEST_only,86039,50,0.5682805231236283,1.107010500904748,0.607708610270367
B5.7b_samecal_CET_only,228614,132,7.571050043081816,1.3534541852635718,2.220601502678221e-08
