yr,hour,sigma
2023,0,428.2453508347568
2023,1,365.2392975004064
2023,2,376.61188998561306
2023,3,386.92177815388453
2023,4,589.6166582393992
2023,5,694.2454699399728
2023,6,770.3335663141697
2023,7,915.1917664209416
2023,8,855.7910811219226
2023,9,657.1138277772733
2023,10,378.5614763518844
2023,11,452.2353978656475
2023,12,547.7704087590234
2023,13,531.2615228108266
2023,14,467.62930591873544
2023,15,652.975738938407
2023,16,973.7917873032882
2023,17,1146.1079451813382
2023,18,959.0281284211138
2023,19,529.6670170307701
2023,20,590.6999297720002
2023,21,728.0271189838464
2023,22,635.8832239546565
2023,23,536.9392912170524
2024,0,370.120191283992
2024,1,347.09782640854985
2024,2,365.7814613119613
2024,3,373.82296911555267
2024,4,566.3091809257497
2024,5,716.2831850229377
2024,6,932.0541164084799
2024,7,1074.0086481657781
2024,8,1044.5285144262568
2024,9,829.6293402788123
2024,10,528.0439980741111
2024,11,488.94047237265966
2024,12,533.8729015656041
2024,13,483.58617904120945
2024,14,425.4967165278695
2024,15,673.6350286150218
2024,16,1073.5886384908563
2024,17,1268.4593317626566
2024,18,1110.3076641856
2024,19,551.9771028503842
2024,20,601.0002993951452
2024,21,811.8547792371505
2024,22,668.82791481193
2024,23,452.7505502287221
2025,0,405.4094637343256
2025,1,353.09449007331216
2025,2,269.30858594677983
2025,3,324.6276707372408
2025,4,649.0184861915577
2025,5,765.5963950226579
2025,6,1008.9912371357163
2025,7,1259.1209938651887
2025,8,1116.268767876961
2025,9,782.5974975313324
2025,10,576.1885068020046
2025,11,471.4987770619263
2025,12,447.8162986625134
2025,13,452.9126552989428
2025,14,545.4708218799075
2025,15,747.3187648385976
2025,16,1241.0131800846427
2025,17,1361.7919133516332
2025,18,1185.241527377843
2025,19,557.345311932706
2025,20,613.7589590571671
2025,21,801.4978988162625
2025,22,693.6804701566463
2025,23,534.4032585267801
2026,0,509.10376015390256
2026,1,274.8940444031433
2026,2,321.3072209622636
2026,3,314.2414841926239
2026,4,451.1789487118052
2026,5,677.5757422584338
2026,6,1017.6945054430181
2026,7,1032.1791395334765
2026,8,1009.624526131714
2026,9,720.2338079592533
2026,10,545.0135558426133
2026,11,443.9164861035333
2026,12,430.7348341053365
2026,13,447.35093629781255
2026,14,365.859893001081
2026,15,541.5002944734265
2026,16,1233.259034518264
2026,17,1714.9984034765432
2026,18,880.3494546845392
2026,19,290.53034446209676
2026,20,814.4675352408908
2026,21,780.7809266651564
2026,22,644.479835197923
2026,23,527.2174855028672
