parent_group,total_share_critical_pct,ccgt_share_critical_pct,flex_share_critical_pct,flexible_strategic_pct,total_mwh,dominant_in_flex_segment
IB (Iberdrola),15.98,14.68,30.78,19.3,6571977.874999865,True
GE (Endesa),18.25,18.62,28.55,24.7,7946740.299999956,True
Repsol,6.4,17.53,17.03,45.6,2604043.8749999995,True
GN (Naturgy),6.93,31.81,14.34,26.6,2746547.8249999853,True
TotalEnergies,1.26,13.33,5.38,70.6,372863.3249999997,False
Other,15.68,1.52,1.46,1.2,9864996.375001796,False
GNERA,5.07,0.0,1.13,3.4,3231845.7499999255,False
HC (EDP-Spain),3.23,1.59,0.94,4.2,1452038.55,False
Engie,2.04,0.39,0.17,0.8,942147.1999999855,False
Alpiq,1.11,0.34,0.14,1.2,688741.4750000029,False
Ignis,5.03,0.16,0.06,0.1,3430473.049999963,False
Moeve (Cepsa),0.74,0.04,0.01,0.3,350300.02500000555,False
Shell,0.56,0.0,0.0,0.0,572280.9750000016,False
Acciona,6.66,0.0,0.0,0.0,3124325.7250000187,False
Enel-Green,2.07,0.0,0.0,0.0,1450349.5249999985,False
Axpo,7.39,0.0,0.0,0.0,3803082.9000000437,False
Galp,1.6,0.0,0.0,0.0,1012756.6249999858,False
