regime,tech,n_obs,share_q_below_zero,mean_q_at_mw,median_q_at_mw,mean_partial_frac,median_partial_frac,n_distinct_units
3-sess (Jun-Nov 2024),Direct_consumer,30,0.8666666666666667,6.093333333333334,0.95,0.37365560319814917,0.33333333333333337,27
3-sess (Jun-Nov 2024),Other,3,1.0,2.5,0.3,0.33816425120772947,0.33333333333333337,3
3-sess (Jun-Nov 2024),Pump_load,480,0.4166666666666667,136.48541666666668,138.0,0.49319693877510473,0.4902113821138211,12
3-sess (Jun-Nov 2024),Retailer,870,0.30919540229885056,32.620804597701145,11.2,0.49021671234698705,0.48643390472184245,85
ISP15-win (Dec24-Mar25),Direct_consumer,34,1.0,7.488235294117647,1.6,0.6005194162849472,0.5268014705882353,17
ISP15-win (Dec24-Mar25),Other,4,1.0,3.5,3.0,0.5333333333333333,0.4916666666666667,1
ISP15-win (Dec24-Mar25),Pump_load,279,0.35842293906810035,145.34767025089604,146.0,0.5124366008427101,0.5277777777777778,10
ISP15-win (Dec24-Mar25),Retailer,657,0.3729071537290715,25.28569254185693,10.8,0.5034182941426533,0.5,115
DA60/ID15 pre-blk (Mar19-Apr27),Pump_load,70,0.37142857142857144,118.95714285714286,138.0,0.556506602338932,0.6181159420289855,11
DA60/ID15 pre-blk (Mar19-Apr27),Retailer,252,0.25793650793650796,26.29126984126984,3.2,0.5218865057137978,0.5515377446411929,63
DA60/ID15 post-blk (Apr28-Sep),Direct_consumer,11,0.45454545454545453,6.318181818181819,2.0,0.5918765230167949,0.5833333333333328,4
DA60/ID15 post-blk (Apr28-Sep),Other,2,1.0,2.8,2.8,0.43333333333333335,0.43333333333333335,2
DA60/ID15 post-blk (Apr28-Sep),Pump_load,415,0.363855421686747,120.41204819277108,100.0,0.4965453764139432,0.5142857142857142,13
DA60/ID15 post-blk (Apr28-Sep),Retailer,2262,0.2550839964633068,14.034924845269673,3.9,0.5442445853348286,0.5434782608695653,109
DA15/ID15 (Oct-Dec 2025),Direct_consumer,16,0.25,2.525,2.2,0.4904189262627297,0.5,5
DA15/ID15 (Oct-Dec 2025),Pump_load,1353,0.35846267553584626,124.04065040650407,105.0,0.4991530302106404,0.5021052631578946,13
DA15/ID15 (Oct-Dec 2025),Retailer,7406,0.21239535511747232,11.98246016743181,3.2,0.49899038142733154,0.5,134
