regime,tech,n_obs,share_q_below_zero,mean_q_at_mw,median_q_at_mw,mean_partial_frac,median_partial_frac,n_distinct_units
3-sess (Jun-Nov 2024),Biomass,1070,0.8943925233644859,5.974392523364486,3.8,0.49889074849022647,0.5,23
3-sess (Jun-Nov 2024),CCGT,234,0.5,153.85811965811968,165.0,0.5289654867388184,0.5216870135129055,25
3-sess (Jun-Nov 2024),Coal,3,0.0,80.0,90.0,0.5938888888888889,0.48333333333333334,1
3-sess (Jun-Nov 2024),Cogen,2700,0.9692592592592593,8.642185185185186,6.2,0.49566861830289,0.52,86
3-sess (Jun-Nov 2024),Hybrid_RES,349,0.7593123209169055,29.80487106017192,18.5,0.4779254012015208,0.46176046176046176,6
3-sess (Jun-Nov 2024),Hydro,483,0.33747412008281574,132.51014492753623,89.3,0.5230132387104908,0.5397536394176934,20
3-sess (Jun-Nov 2024),Hydro_RES,2676,0.8247384155455905,4.47888639760837,1.85,0.5000572518773825,0.5,69
3-sess (Jun-Nov 2024),Hydro_pump,370,0.327027027027027,123.64081081081079,164.95,0.4861326147721705,0.45839631955399895,7
3-sess (Jun-Nov 2024),Import,15,0.9333333333333333,206.33333333333334,200.0,0.44734497932175354,0.39692307692307693,1
3-sess (Jun-Nov 2024),Nuclear,129,1.0,560.4046511627907,360.2,0.5687213997066201,0.5848527349228612,7
3-sess (Jun-Nov 2024),Solar PV,6880,0.7446220930232558,23.56084302325581,17.9,0.4852994483893554,0.5087719298245613,248
3-sess (Jun-Nov 2024),Solar Thermal,26,0.6538461538461539,34.400000000000006,40.0,0.5115439381476532,0.5839183673469386,9
3-sess (Jun-Nov 2024),Wind,6413,0.8573210665835023,35.591002650865434,4.8,0.49456987863295204,0.5,192
ISP15-win (Dec24-Mar25),Biomass,57,0.9122807017543859,5.819298245614035,3.0,0.7063423792957787,0.7499999999999999,16
ISP15-win (Dec24-Mar25),CCGT,171,0.42105263157894735,190.03391812865496,156.3,0.4691527458146868,0.45600000000000135,23
ISP15-win (Dec24-Mar25),Coal,4,0.0,45.0,53.0,0.4818448637316562,0.47924528301886804,2
ISP15-win (Dec24-Mar25),Cogen,162,0.9753086419753086,7.8999999999999995,4.9,0.6983755249367233,0.7835585585585585,48
ISP15-win (Dec24-Mar25),Hybrid_RES,63,1.0,24.682539682539684,24.5,0.6180323152150049,0.6,6
ISP15-win (Dec24-Mar25),Hydro,258,0.2558139534883721,122.03682170542636,87.6,0.49750940116212083,0.5091103768967203,13
ISP15-win (Dec24-Mar25),Hydro_RES,170,0.6411764705882353,8.005882352941176,2.1,0.6762820153291065,0.6666666666666667,34
ISP15-win (Dec24-Mar25),Hydro_pump,167,0.31736526946107785,120.82335329341318,150.0,0.524901482701363,0.543076923076923,8
ISP15-win (Dec24-Mar25),Import,7,0.8571428571428571,250.0,310.0,0.3862909077609538,0.14258064516129032,1
ISP15-win (Dec24-Mar25),Nuclear,8,1.0,890.175,866.7,0.46421466091920677,0.5568159203980099,3
ISP15-win (Dec24-Mar25),Solar PV,861,0.41231126596980255,23.953774680603946,10.0,0.5530098164283482,0.5675675675675677,153
ISP15-win (Dec24-Mar25),Solar Thermal,5,1.0,13.1,13.8,0.6906725594890892,0.5906432748538011,2
ISP15-win (Dec24-Mar25),Wind,673,0.5854383358098069,174.6303120356612,4.8,0.6272824432842191,0.6279411764705884,113
DA60/ID15 pre-blk (Mar19-Apr27),Biomass,518,0.9903474903474904,9.236100386100384,3.8,0.47017410559818373,0.49796747967479676,28
DA60/ID15 pre-blk (Mar19-Apr27),CCGT,3,0.3333333333333333,379.3,361.0,0.2636925932410224,0.2450980392156863,3
DA60/ID15 pre-blk (Mar19-Apr27),Cogen,1579,0.9949335022165928,7.806016466117796,5.0,0.4887334176422176,0.5,83
DA60/ID15 pre-blk (Mar19-Apr27),Hybrid_RES,180,0.9944444444444445,31.417222222222225,30.6,0.5077829072037208,0.5,7
DA60/ID15 pre-blk (Mar19-Apr27),Hydro,199,0.3316582914572864,88.39346733668343,19.7,0.4841230812219517,0.49056603773584934,26
DA60/ID15 pre-blk (Mar19-Apr27),Hydro_RES,1510,0.8364238410596027,4.0927814569536425,1.7,0.4787065302268249,0.5,76
DA60/ID15 pre-blk (Mar19-Apr27),Hydro_pump,74,0.3783783783783784,119.60945945945946,150.0,0.5231887121099608,0.49582001614205007,7
DA60/ID15 pre-blk (Mar19-Apr27),Import,3,0.3333333333333333,176.66666666666666,180.0,0.1924518518518518,0.09199999999999989,1
DA60/ID15 pre-blk (Mar19-Apr27),Nuclear,49,1.0,868.6632653061224,919.0,0.5813300396717394,0.6732604373757455,5
DA60/ID15 pre-blk (Mar19-Apr27),Other,4,1.0,0.6,0.6000000000000001,0.65625,0.6875,2
DA60/ID15 pre-blk (Mar19-Apr27),Solar PV,5866,0.9220934197067848,19.991425161950225,14.8,0.48218791557242574,0.5,404
DA60/ID15 pre-blk (Mar19-Apr27),Solar Thermal,102,0.9705882352941176,41.85686274509803,47.9,0.6501453430510097,0.6693230886461774,19
DA60/ID15 pre-blk (Mar19-Apr27),Wind,4365,0.8336769759450172,48.07452462772051,6.7,0.4807100405200446,0.49668874172185434,232
DA60/ID15 post-blk (Apr28-Sep),Biomass,694,0.920749279538905,7.389048991354467,2.0,0.5127130898692266,0.5,36
DA60/ID15 post-blk (Apr28-Sep),CCGT,178,0.6235955056179775,203.03539325842698,175.0,0.5097105216941386,0.5554634581105169,14
DA60/ID15 post-blk (Apr28-Sep),Cogen,2305,0.9718004338394793,7.523514099783081,5.0,0.5173524448643633,0.5,128
DA60/ID15 post-blk (Apr28-Sep),Hybrid_RES,317,1.0,33.74858044164038,26.9,0.498650483569032,0.5,8
DA60/ID15 post-blk (Apr28-Sep),Hydro,553,0.32730560578661844,88.73309222423146,48.7,0.5009380871153364,0.49980776624375234,28
DA60/ID15 post-blk (Apr28-Sep),Hydro_RES,2114,0.804162724692526,3.947161778618732,1.5,0.5125867355371508,0.5,84
DA60/ID15 post-blk (Apr28-Sep),Hydro_pump,326,0.3067484662576687,118.18711656441718,150.0,0.4968772396431834,0.4899038461538462,8
DA60/ID15 post-blk (Apr28-Sep),Import,5,1.0,176.0,200.0,0.4586764635603345,0.6,1
DA60/ID15 post-blk (Apr28-Sep),Nuclear,35,0.9714285714285714,957.84,1004.0,0.552128307363241,0.5333001988071571,2
DA60/ID15 post-blk (Apr28-Sep),Solar PV,13267,0.9320871334891083,23.66357126705359,19.8,0.511897791103865,0.5032894736842106,584
DA60/ID15 post-blk (Apr28-Sep),Solar Thermal,95,0.8736842105263158,32.41684210526316,40.7,0.3763992384232846,0.23949579831932774,25
DA60/ID15 post-blk (Apr28-Sep),Wind,6301,0.8305030947468656,28.967957467068715,3.8,0.5182127510259017,0.5,265
DA15/ID15 (Oct-Dec 2025),Biomass,678,0.915929203539823,5.88023598820059,1.8,0.5785577413985606,0.607024021149551,20
DA15/ID15 (Oct-Dec 2025),CCGT,140,0.3357142857142857,113.68928571428572,66.7,0.48708804187518606,0.47142243175090454,17
DA15/ID15 (Oct-Dec 2025),Cogen,1642,0.9738124238733252,6.266808769792935,4.9,0.5993246919424683,0.6530612244897959,60
DA15/ID15 (Oct-Dec 2025),Hybrid_RES,356,0.9971910112359551,32.9182584269663,22.65,0.5347710090131924,0.5441558441558441,6
DA15/ID15 (Oct-Dec 2025),Hydro,893,0.25755879059350506,108.0541993281075,81.7,0.5016208542799486,0.49939197405755975,15
DA15/ID15 (Oct-Dec 2025),Hydro_RES,1493,0.8164768921634293,6.331882116543872,1.3,0.5630881353892679,0.541666666666667,34
DA15/ID15 (Oct-Dec 2025),Hydro_pump,962,0.24220374220374222,112.61964656964658,100.0,0.5024248051210513,0.49630901937046,8
DA15/ID15 (Oct-Dec 2025),Import,22,0.8181818181818182,200.9090909090909,200.0,0.5469741883116884,0.5185,1
DA15/ID15 (Oct-Dec 2025),Nuclear,33,1.0,937.6575757575757,963.0,0.4469209564809277,0.4522540983606557,2
DA15/ID15 (Oct-Dec 2025),Solar PV,8829,0.9158455091176804,19.431192660550458,10.9,0.5595030391009407,0.5602409638554217,376
DA15/ID15 (Oct-Dec 2025),Solar Thermal,32,0.0625,21.90625,23.5,0.6597128620405335,0.6398327939590075,5
DA15/ID15 (Oct-Dec 2025),Wind,5710,0.7246935201401051,71.57653239929948,7.5,0.5541499977807681,0.5769230769230769,174
