regime,hour_class,tech,share_pct_q_at,share_pct_q_marg,share_pct_cells,n_obs
3-sess (Jun-Nov 2024),Critical,Biomass,0.8247865128972619,0.8246301943943072,4.483676614824156,320
3-sess (Jun-Nov 2024),Critical,CCGT,7.993915363622203,8.237671417605446,1.8495166036149642,132
3-sess (Jun-Nov 2024),Critical,Coal,0.025394976535041677,0.04788282400780065,0.014011489421325487,1
3-sess (Jun-Nov 2024),Critical,Cogen,2.992882634576446,3.053546606916869,11.433375367801597,816
3-sess (Jun-Nov 2024),Critical,Hybrid_RES,1.0996448089281965,0.9077819962241446,1.4291719209751996,102
3-sess (Jun-Nov 2024),Critical,Hydro,11.914264866219263,11.660421982946412,3.1105506515342585,222
3-sess (Jun-Nov 2024),Critical,Hydro_RES,1.9682799813092968,2.102528993174415,11.349306431273645,810
3-sess (Jun-Nov 2024),Critical,Hydro_pump,10.393571346340075,9.955146158793385,2.816309373686423,201
3-sess (Jun-Nov 2024),Critical,Import,0.7576167999620768,0.7426401941868425,0.1120919153706039,8
3-sess (Jun-Nov 2024),Critical,Nuclear,12.44586637501947,15.406485342627748,0.7426089393302509,53
3-sess (Jun-Nov 2024),Critical,Solar PV,17.943455545247076,16.656417916640734,26.257531175563965,1874
3-sess (Jun-Nov 2024),Critical,Solar Thermal,0.07614260464423331,0.06099458517458144,0.07005744710662744,5
3-sess (Jun-Nov 2024),Critical,Wind,28.226347118855262,27.178440281321965,27.88286394843772,1990
3-sess (Jun-Nov 2024),Critical,_unmapped_,3.3378310658440955,3.165411505985353,8.448928121059268,603
3-sess (Jun-Nov 2024),Flat,CCGT,8.921841328308194,9.191489361702128,6.031746031746032,19
3-sess (Jun-Nov 2024),Flat,Cogen,0.31517890200024684,0.3446387191910681,4.761904761904762,15
3-sess (Jun-Nov 2024),Flat,Hybrid_RES,0.5805177667865993,0.4878870865809985,2.2222222222222223,7
3-sess (Jun-Nov 2024),Flat,Hydro,36.086085610943925,35.21845376026965,30.793650793650794,97
3-sess (Jun-Nov 2024),Flat,Hydro_RES,0.8933233336814226,0.4904149989467031,6.984126984126984,22
3-sess (Jun-Nov 2024),Flat,Hydro_pump,13.337668625459242,10.412471034337477,16.19047619047619,51
3-sess (Jun-Nov 2024),Flat,Import,0.830667286898241,1.1893827680640405,0.6349206349206349,2
3-sess (Jun-Nov 2024),Flat,Nuclear,20.19304707747515,21.958289445965875,3.1746031746031744,10
3-sess (Jun-Nov 2024),Flat,Solar PV,0.019461347864473073,0.005477143459026754,0.6349206349206349,2
3-sess (Jun-Nov 2024),Flat,Solar Thermal,0.2605921945755053,0.33199915736254476,1.2698412698412698,4
3-sess (Jun-Nov 2024),Flat,Wind,17.947634734233937,19.765746787444705,22.53968253968254,71
3-sess (Jun-Nov 2024),Flat,_unmapped_,0.6139817917730714,0.603749736675795,4.761904761904762,15
3-sess (Jun-Nov 2024),Midday,Biomass,1.1880034327129814,1.17028358654554,4.730765300909369,463
3-sess (Jun-Nov 2024),Midday,CCGT,0.8389318515074805,0.9689006084139515,0.1123939920302442,11
3-sess (Jun-Nov 2024),Midday,Cogen,4.413751768097653,4.563197353464214,12.138551139266374,1188
3-sess (Jun-Nov 2024),Midday,Hybrid_RES,2.240403277863,2.31970567673767,1.5326453458669664,150
3-sess (Jun-Nov 2024),Midday,Hydro,1.3311210233456998,1.4804244989995752,0.4087054255645243,40
3-sess (Jun-Nov 2024),Midday,Hydro_RES,1.7565190567860898,1.7333585525644808,11.719628078062737,1147
