regime,hour,tech,share_pct_q_at,n_obs
3-sess (Jun-Nov 2024),0,Pump_load,65.1508241579256,6
3-sess (Jun-Nov 2024),0,Retailer,34.66675353443222,19
3-sess (Jun-Nov 2024),0,_unmapped_,0.18242230764219167,1
3-sess (Jun-Nov 2024),1,Pump_load,42.882986596497005,7
3-sess (Jun-Nov 2024),1,Retailer,54.63366499465504,35
3-sess (Jun-Nov 2024),1,_unmapped_,2.4833484088479567,9
3-sess (Jun-Nov 2024),2,Pump_load,31.56268568033274,13
3-sess (Jun-Nov 2024),2,Retailer,67.01128936423054,57
3-sess (Jun-Nov 2024),2,_unmapped_,1.4260249554367201,9
3-sess (Jun-Nov 2024),3,Pump_load,66.13439787092481,13
3-sess (Jun-Nov 2024),3,Retailer,32.22222222222222,44
3-sess (Jun-Nov 2024),3,_unmapped_,1.6433799068529609,8
3-sess (Jun-Nov 2024),4,Direct_consumer,0.027481587336484554,1
3-sess (Jun-Nov 2024),4,Pump_load,42.651423546224024,11
3-sess (Jun-Nov 2024),4,Retailer,55.45784324502583,48
3-sess (Jun-Nov 2024),4,_unmapped_,1.8632516214136523,10
3-sess (Jun-Nov 2024),5,Pump_load,71.07127440773938,20
3-sess (Jun-Nov 2024),5,Retailer,26.5799964451667,36
3-sess (Jun-Nov 2024),5,_unmapped_,2.3487291470939238,8
3-sess (Jun-Nov 2024),6,Pump_load,63.60105423775836,11
3-sess (Jun-Nov 2024),6,Retailer,35.996670828131506,30
3-sess (Jun-Nov 2024),6,_unmapped_,0.40227493411014015,3
3-sess (Jun-Nov 2024),7,Pump_load,42.04993429697765,5
3-sess (Jun-Nov 2024),7,Retailer,54.892685063512914,33
3-sess (Jun-Nov 2024),7,_unmapped_,3.0573806395094167,8
3-sess (Jun-Nov 2024),8,Pump_load,59.25823606602666,6
3-sess (Jun-Nov 2024),8,Retailer,38.84246149595966,37
3-sess (Jun-Nov 2024),8,_unmapped_,1.899302438013675,5
3-sess (Jun-Nov 2024),9,Pump_load,70.12524039589098,23
3-sess (Jun-Nov 2024),9,Retailer,29.44556498897697,36
3-sess (Jun-Nov 2024),9,_unmapped_,0.4291946151320418,5
3-sess (Jun-Nov 2024),10,Pump_load,78.4587597832631,26
3-sess (Jun-Nov 2024),10,Retailer,21.08609271523179,41
3-sess (Jun-Nov 2024),10,_unmapped_,0.4551475015051174,3
3-sess (Jun-Nov 2024),11,Pump_load,81.37212770798048,49
3-sess (Jun-Nov 2024),11,Retailer,18.627872292019518,23
3-sess (Jun-Nov 2024),12,Pump_load,82.44530855768947,46
3-sess (Jun-Nov 2024),12,Retailer,17.458220784232246,45
3-sess (Jun-Nov 2024),12,_unmapped_,0.0964706580783045,1
3-sess (Jun-Nov 2024),13,Direct_consumer,0.05544774050457444,1
3-sess (Jun-Nov 2024),13,Pump_load,87.8263026571141,42
3-sess (Jun-Nov 2024),13,Retailer,11.505406154699198,41
3-sess (Jun-Nov 2024),13,_unmapped_,0.6128434476821387,5
3-sess (Jun-Nov 2024),14,Pump_load,83.46789513677811,51
3-sess (Jun-Nov 2024),14,Retailer,16.257836246200608,40
3-sess (Jun-Nov 2024),14,_unmapped_,0.27426861702127664,4
