regime,hour_class,n_periods_total,frac_sell_only,frac_buy_only,frac_both,frac_neither
3-sess (Jun-Nov 2024),Critical,1870.0,0.5229946524064171,0.2106951871657754,0.11336898395721925,0.15294117647058825
3-sess (Jun-Nov 2024),Dropped,1021.0,0.5053868756121449,0.1939275220372184,0.15475024485798236,0.14593535749265427
3-sess (Jun-Nov 2024),Flat,510.0,0.5450980392156862,0.2235294117647059,0.11960784313725491,0.11176470588235295
3-sess (Jun-Nov 2024),Midday,680.0,0.25735294117647056,0.37941176470588234,0.20294117647058824,0.16029411764705884
ISP15-win (Dec24-Mar25),Critical,1188.0,0.4797979797979798,0.18855218855218855,0.1069023569023569,0.22474747474747475
ISP15-win (Dec24-Mar25),Dropped,648.0,0.45987654320987653,0.24691358024691357,0.0941358024691358,0.19907407407407407
ISP15-win (Dec24-Mar25),Flat,324.0,0.3549382716049383,0.3117283950617284,0.10185185185185185,0.23148148148148148
ISP15-win (Dec24-Mar25),Midday,432.0,0.33796296296296297,0.3611111111111111,0.12731481481481483,0.1736111111111111
DA60/ID15 pre-blk (Mar19-Apr27),Critical,440.0,0.47045454545454546,0.13863636363636364,0.22954545454545455,0.16136363636363638
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,239.0,0.4686192468619247,0.16736401673640167,0.24686192468619247,0.11715481171548117
DA60/ID15 pre-blk (Mar19-Apr27),Flat,120.0,0.55,0.23333333333333334,0.08333333333333333,0.13333333333333333
DA60/ID15 pre-blk (Mar19-Apr27),Midday,160.0,0.4,0.0375,0.5125,0.05
DA60/ID15 post-blk (Apr28-Sep),Critical,1716.0,0.5256410256410257,0.19172494172494173,0.14102564102564102,0.14160839160839161
DA60/ID15 post-blk (Apr28-Sep),Dropped,936.0,0.4807692307692308,0.21474358974358973,0.1752136752136752,0.12927350427350429
DA60/ID15 post-blk (Apr28-Sep),Flat,468.0,0.6047008547008547,0.17307692307692307,0.09401709401709402,0.1282051282051282
DA60/ID15 post-blk (Apr28-Sep),Midday,624.0,0.3317307692307692,0.21634615384615385,0.3333333333333333,0.11858974358974358
DA15/ID15 (Oct-Dec 2025),Critical,4048.0,0.5333498023715415,0.2467885375494071,0.11190711462450594,0.10795454545454546
DA15/ID15 (Oct-Dec 2025),Dropped,2212.0,0.4358047016274864,0.31600361663652804,0.12251356238698011,0.1256781193490054
DA15/ID15 (Oct-Dec 2025),Flat,1104.0,0.36231884057971014,0.421195652173913,0.09873188405797101,0.11775362318840579
DA15/ID15 (Oct-Dec 2025),Midday,1472.0,0.2751358695652174,0.3797554347826087,0.1793478260869565,0.16576086956521738
