regime,mcp_quintile,p_clear_min,p_clear_max,tech,share_pct_q_at,n_obs
3-sess (Jun-Nov 2024),"(-2.001, 0.0]",-2.0,0.0,Biomass,1.9145511103352646,1061
3-sess (Jun-Nov 2024),"(-2.001, 0.0]",-2.0,0.0,Cogen,6.785137221343895,2617
3-sess (Jun-Nov 2024),"(-2.001, 0.0]",-2.0,0.0,Hybrid_RES,2.236117472352221,258
3-sess (Jun-Nov 2024),"(-2.001, 0.0]",-2.0,0.0,Hydro,0.248110898853117,46
3-sess (Jun-Nov 2024),"(-2.001, 0.0]",-2.0,0.0,Hydro_RES,2.707084268023358,2560
3-sess (Jun-Nov 2024),"(-2.001, 0.0]",-2.0,0.0,Hydro_pump,0.10998823332862427,5
3-sess (Jun-Nov 2024),"(-2.001, 0.0]",-2.0,0.0,Nuclear,4.652439282266039,69
3-sess (Jun-Nov 2024),"(-2.001, 0.0]",-2.0,0.0,Solar PV,37.861777154301166,5583
3-sess (Jun-Nov 2024),"(-2.001, 0.0]",-2.0,0.0,Solar Thermal,0.09910038803320823,8
3-sess (Jun-Nov 2024),"(-2.001, 0.0]",-2.0,0.0,Wind,37.324853411509864,5806
3-sess (Jun-Nov 2024),"(-2.001, 0.0]",-2.0,0.0,_unmapped_,6.060840559653244,1672
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,Biomass,0.0026590846367046607,9
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,CCGT,10.077314985089531,234
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,Coal,0.06717687503253879,3
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,Cogen,0.19937536702365571,83
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,Hybrid_RES,0.8247920735765918,91
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,Hydro,17.682968814815183,437
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,Hydro_RES,0.8285427824325753,116
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,Hydro_pump,12.702139415527597,365
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,Import,0.8663017842737816,15
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,Nuclear,15.89320892176077,60
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,Solar PV,10.03950000251913,1297
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,Solar Thermal,0.15786565632646615,18
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,Wind,29.055202037250698,607
3-sess (Jun-Nov 2024),"(0.0, 178.61]",0.01,178.61,_unmapped_,1.6029521997347633,316
