unit_code,n_cells,mean_sd_p_p50,mean_sd_p_band,mean_sd_q_band,mean_mean_q_band,mean_range_p_band,share_sd_p50_zero,share_sd_q_band_zero,share_p_range_gt5,share_p_range_gt20,technology,firm,owner_agent
ARCOS3,2209,2.541244907197827,1.0897780256354346,15.393598066865902,394.1288539144472,6.1242372881355935,0.9624264373019465,0.942960615663196,0.05251244907197827,0.0425531914893617,Ciclo Combinado,IB,IBERDROLA ENERGÍA ESPAÑA S..A.
EGVD476,2209,0.0,0.0,0.0,13.372795216741405,0.0,1.0,1.0,0.0,0.0,RE Mercado Hidráulica,AXPO,"AXPO IBERIA, S.L."
HCGVD12,2209,0.0,0.6345120024312805,7.520922798116273,383.2465258855586,9.051226158038146,1.0,0.6985061113626075,0.2698053417836125,0.0,RE Mercado Eólica,HC,"EDP ESPAÑA, S.A.U. (GENERACIÓN)"
HCGVD14,2209,0.0,0.0,0.5814471829365407,42.66871026339691,0.0,1.0,0.7143503847894975,0.0,0.0,RE Mercado Eólica,HC,"EDP ESPAÑA, S.A.U. (GENERACIÓN)"
BES3,2185,3.5404065267496736,0.10730893601558139,0.122879058241655,350.0731922398589,0.19117063492063496,0.9729977116704805,0.9990846681922196,0.012814645308924484,0.0,Ciclo Combinado,GE,"ENDESA GENERACIÓN, S.A."
GSVD116,2173,0.8136869791389582,3.522164330264751,1.3577478333172008,21.772616270026443,23.42575361642557,0.7473538886332259,0.12701334560515418,0.8674643350207087,0.2834790612057064,RE Mercado Eólica,GST,"GESTERNOVA, S.A."
BES4,2082,26.32885641027711,1.7210860623404607,23.435487219001715,219.9105508870215,16.44112044817927,0.8847262247838616,0.8952929875120077,0.22958693563880883,0.20076849183477424,Ciclo Combinado,GN,GAS NATURAL COMERCIALIZADORA
ARCOS1,2010,1.0611820069836533,0.05685870269996132,4.676391982365313,422.0720705128205,1.5780384615384615,0.9835820895522388,0.9716417910447761,0.026865671641791045,0.011442786069651741,Ciclo Combinado,IB,IBERDROLA ENERGÍA ESPAÑA S..A.
ESC6,1993,0.6246020694854527,1.306700203075477,19.61741636851146,492.1597284784784,8.326951951951951,0.9668840943301555,0.9347717009533367,0.15805318615153036,0.09131961866532864,Ciclo Combinado,IB,IBERDROLA ENERGÍA ESPAÑA S..A.
PGR5,1705,3.6114273218934207,0.07554801780449291,0.0,370.7856540084388,0.13240506329113927,0.9712609970674487,1.0,0.005278592375366569,0.0,Ciclo Combinado,GE,"ENDESA GENERACIÓN, S.A."
ARCOS2,1633,0.4660266113764067,0.008716232099107945,1.734581757709372,386.1124051490515,0.6163089430894306,0.9914268218003675,0.9883649724433557,0.009185548071034905,0.0,Ciclo Combinado,IB,IBERDROLA ENERGÍA ESPAÑA S..A.
SROQ2,1585,3.4943800976614785,0.06808452355809098,0.0,371.64935064935065,0.12122943722943721,0.9785488958990536,1.0,0.006309148264984227,0.0,Ciclo Combinado,GE,"ENDESA GENERACIÓN, S.A."
NEXVD11,1325,0.0,0.0,0.0078030970470313364,0.43957023060796646,0.0,1.0,0.9713207547169811,0.0,0.0,RE Mercado Eólica,NEXUS,NEXUS ENERGÍA (ACT. COMERCIALIZACIÓN RE)
IBEVD11,1133,0.07715984495927197,0.07481109699746945,24.274033292905386,1377.411537276648,2.7063585951940854,0.8349514563106796,0.5551632833186231,0.0,0.0,RE Mercado Eólica,IB,IBERDROLA ENERGÍA ESPAÑA S..A.
BES5,901,2.562511683381239,0.8065344827417155,1.922200211475629,355.85425531914893,2.8809929078014185,0.9866814650388457,0.9822419533851277,0.03218645948945616,0.025527192008879023,Ciclo Combinado,GE,"ENDESA GENERACIÓN, S.A."
EGVD451,874,0.0,0.0,0.8472960122994558,21.151643990929706,0.0,1.0,0.5652173913043478,0.0,0.0,RE Mercado Solar Fotovoltáica,AXPO,"AXPO IBERIA, S.L."
