hour,n_all,n_matched,unmatched_share
0,92,57.0,0.3804347826086957
1,92,44.0,0.5217391304347826
2,92,49.0,0.46739130434782605
3,92,40.0,0.5652173913043479
4,92,44.0,0.5217391304347826
5,92,40.0,0.5652173913043479
6,92,44.0,0.5217391304347826
7,92,54.0,0.4130434782608695
8,92,58.0,0.3695652173913043
9,92,59.0,0.3586956521739131
10,92,51.0,0.44565217391304346
11,92,38.0,0.5869565217391304
12,92,34.0,0.6304347826086957
13,92,35.0,0.6195652173913043
14,92,37.0,0.5978260869565217
15,92,49.0,0.46739130434782605
16,92,58.0,0.3695652173913043
17,92,64.0,0.30434782608695654
18,92,60.0,0.34782608695652173
19,92,62.0,0.32608695652173914
20,92,63.0,0.3152173913043478
21,92,71.0,0.2282608695652174
22,92,67.0,0.2717391304347826
23,92,63.0,0.3152173913043478
