hour_class,CCGT,Coal,Cogen,Direct_consumer,Hydro,Hydro_RES,Hydro_pump,Nuclear,Other,Pump_load,Retailer,Solar PV,Solar Thermal,Wind,,window,Fuel/Gas
Critical,0.14140649838135763,0.001395569329049517,0.006400865950768675,0.00021849382307931501,0.06443561649929283,0.0037196283773322904,0.12935270441710775,0.026521050636924757,0.03638990637038148,0.0041221629056800106,0.10164280315799895,0.10453337613079276,0.004380343231554171,0.35458276620157864,0.020898214587101185,3-sess (Jun-Nov 2024),
Dropped,0.1055716907778806,0.0019850904437746036,0.009025290052253688,0.0002091979929208621,0.053382899514721735,0.007813621385226652,0.12040718785979765,0.03297616975271882,0.049335605498395135,0.008070156150268293,0.08139176218005686,0.17842832754603122,0.0017659669986348687,0.3186146511890692,0.031022382658249883,3-sess (Jun-Nov 2024),
Flat,0.29245942608928494,0.00029751721880903856,0.010549960578968507,0.000208262053166327,0.15909733275813337,0.00019338619222587506,0.23420852981866327,0.031513023816253365,0.030195022536929326,0.00902667241866623,0.0621691980423367,0.0002320634306710501,0.002906743227764307,0.15719322255775553,0.009749639260372193,3-sess (Jun-Nov 2024),
Midday,0.012612480659894286,0.0,0.013889421674170219,0.00035280072629289546,0.020965197690462987,0.013592999317647358,0.0,0.028126413091871166,0.07008645070844942,0.00907749875328244,0.0902983868811602,0.2709503765726368,0.002825311911877702,0.4239252364694819,0.04329742554277258,3-sess (Jun-Nov 2024),
Critical,0.16091801449140578,0.0,0.0015911800265478494,2.6209660373529934e-05,0.1844289253193774,0.0011988805938601757,0.17234880830592594,8.454729152751592e-05,0.05640995290715862,0.03154374899600092,0.10369048927517607,0.016654125485090085,0.003195887619740102,0.2478334756546074,0.020075754373208653,ISP15-win (Dec24-Mar25),
Dropped,0.1377066268300636,0.0008361227316687059,0.001134339839297211,0.0,0.10357470338546093,0.0006075825183459263,0.09453342958034999,0.0,0.09215605394663864,0.041714163082951734,0.09114155836554728,0.02629327283520857,0.00040691306274543684,0.3976042296661919,0.012291004155529976,ISP15-win (Dec24-Mar25),
Flat,0.1532245743290271,0.0025463866773049043,0.0009591389817848472,0.0,0.23421240260070958,0.0006620605360992751,0.022493082316193323,0.0,0.042253042932079383,0.0,0.12064355679291086,0.0008615274924881594,0.0006365966693262261,0.40225270341385577,0.019254927258220585,ISP15-win (Dec24-Mar25),
Midday,0.0818509134084904,0.0007868935018334618,0.0023239588087481575,0.0004494036221582215,0.02404921406825689,0.002421883333420766,0.023194123129597864,0.05582572232451838,0.05010413224007596,0.010233112828287597,0.10229965254280263,0.1441798733626058,0.004728355619905957,0.47976721941563544,0.017785541793662533,ISP15-win (Dec24-Mar25),
Critical,0.03051981293662554,0.00818444602682781,0.014043609630299646,5.77356093993572e-05,0.04400053886568772,0.0113052481668944,0.02526140759415715,0.00951836954639056,0.03524720463424491,0.0033643694309193426,0.05327903620022709,0.20272989357402665,0.0063481457246781225,0.5262776313003983,0.029862550759223255,DA60/ID15 pre-blk (Mar19-Apr27),
Dropped,0.010048253022845656,0.00775892756079569,0.020361149518323834,6.103653241438431e-05,0.03896522124718134,0.013728892576386199,0.02689524696223684,0.020317194105055263,0.03335532622318464,0.009380267390116593,0.03762241753406488,0.24952098848208754,0.003977167781911916,0.49056814763006307,0.03743976343333228,DA60/ID15 pre-blk (Mar19-Apr27),
Flat,0.028319436478875314,0.023835433792640304,0.005769522997210825,0.0,0.033619603633279906,0.004903114169889659,0.13027872139135208,0.13819772258251106,0.01133316666911761,0.003602888192820694,0.07469865639230795,6.617549741915561e-05,0.001629877991990314,0.5382335063700043,0.005512173840580776,DA60/ID15 pre-blk (Mar19-Apr27),
Midday,0.0011199456050815647,2.1345850160385605e-05,0.02289612810470054,0.00010473697145362536,0.0266783281417854,0.013894156175062726,0.0,0.005065512548727239,0.04386401441157958,0.01161313862692392,0.01923403405118479,0.34568693578470977,0.004525035622666276,0.4625143390748453,0.04278234903111898,DA60/ID15 pre-blk (Mar19-Apr27),
Critical,0.09726282784064952,0.0007881290409877577,0.009864187655472844,2.692036274834588e-05,0.05573737131690253,0.004718767663720746,0.062309924749616274,0.024542072674884285,0.03491447073105699,0.0030783080587434195,0.07321763067688684,0.22840493220009234,0.00874823235496411,0.377525765399488,0.01800440944915359,DA60/ID15 post-blk (Apr28-Sep),0.0008560498246324331
Dropped,0.07160439233240622,1.5770711517729117e-05,0.012882463410372207,2.665250246496221e-05,0.04946136711882348,0.006865463845013017,0.0473652818510021,0.012374646499501329,0.04091711103274819,0.004264084980163599,0.07399712468387608,0.29607019102116616,0.006517404241816736,0.3568066706324749,0.019727425330412177,DA60/ID15 post-blk (Apr28-Sep),0.0011039498062410382
Flat,0.23089421195961965,0.0,0.0037108146653811566,3.3974905379888516e-05,0.1559893605696308,0.001303881368690388,0.2614920117447473,0.013132433426172908,0.017552191117147738,0.003063026469471282,0.11809903609418446,0.00013740961731421576,0.0014428009817992655,0.187515052770578,0.005633794309882847,DA60/ID15 post-blk (Apr28-Sep),0.0
