hour_class,Biomass,CCGT,Coal,Cogen,Hybrid_RES,Hydro,Hydro_RES,Hydro_pump,Import,Nuclear,Solar PV,Solar Thermal,Wind,,window,Other
Critical,0.008272075600327198,0.08017380400440283,0.00025469519988691533,0.03001667829067259,0.011028726647103245,0.11949237548694538,0.01974057595923518,0.1042408024257171,0.007598406796626307,0.12482399500457814,0.1770662254213826,0.0007636611076609344,0.28305168996632507,0.033476288089136524,3-sess (Jun-Nov 2024),
Dropped,0.00945714992161157,0.06220753778811485,0.000978157206165651,0.033068778037110204,0.01337140900828445,0.09574420102217429,0.016092316303435238,0.08417966574194584,0.004646246729286842,0.10026002679063904,0.2109352541442619,0.0011406399865231676,0.33061659226331996,0.037302025057127104,3-sess (Jun-Nov 2024),
Flat,0.0,0.08921841328308194,0.0,0.0031517890200024696,0.005805177667865993,0.3608608561094393,0.008933233336814226,0.13337668625459245,0.008306672868982411,0.20193047077475154,0.00019461347864473076,0.0026059219457550535,0.1794763473423394,0.006139817917730713,3-sess (Jun-Nov 2024),
Midday,0.012019173061688286,0.008487574052883294,0.0,0.04465445544290359,0.022666428381537172,0.01346711087282598,0.01777091374345049,0.00035564944700956606,0.0004445618087619576,0.07081247227045717,0.3448914957993355,0.0017551300209922086,0.4141093248617635,0.048565710236391293,3-sess (Jun-Nov 2024),
Critical,0.00011172657279979343,0.17184291740426894,0.0015765860828415295,0.0009111922715005376,0.0024319150679421703,0.19611613604820627,0.004282851957325415,0.1704810946224759,0.004965625457768597,0.0419347069908558,0.014205413028311513,0.00012414063644421492,0.3777189902897194,0.013296703569539858,ISP15-win (Dec24-Mar25),
Dropped,0.0010060132897936858,0.197513942562827,0.0,0.0035633706979909035,0.00602631261944373,0.1326293410775737,0.004401715106152308,0.07286433796837406,0.00586027159103118,0.014108603855407567,0.07407220505741438,0.00013836752367712507,0.45822114711560685,0.02959437153470746,ISP15-win (Dec24-Mar25),
Flat,0.0,0.1112183744209401,0.0,0.0006381806990832226,0.0022611681622339563,0.10872072305549256,0.0002623991706890408,0.026894295247659464,0.03142311056399624,0.06511386828209531,0.0002656386666234734,0.0,0.6392205772781756,0.013981664453011113,ISP15-win (Dec24-Mar25),
Midday,0.004057296680294663,0.04800019905480072,0.000824211284230039,0.015050409073166635,0.014293067761053373,0.06506603798525439,0.011468977775842522,0.017701881223378364,0.000311023126124543,0.013478187170607071,0.23204502370773777,0.000730904346392676,0.5435828931060169,0.03338988770510031,ISP15-win (Dec24-Mar25),
Critical,0.009882218525799352,0.0076475628811936095,,0.02546230488767915,0.0105798343330477,0.02747248685249593,0.013083992808777324,0.022464841977922274,0.0028899306080615622,0.15592183745820523,0.20647008417762994,0.00811264008602584,0.475130802963859,0.03488146243930306,DA60/ID15 pre-blk (Mar19-Apr27),0.0
Dropped,0.00865609521515035,0.0,,0.021165034914624688,0.01120568802013875,0.04006313277421877,0.012434007470458683,0.025089017591052143,0.0009485092280462797,0.08286650870826323,0.24019573436429964,0.008192274202635718,0.5080253365784996,0.041158660932612216,DA60/ID15 pre-blk (Mar19-Apr27),0.0
