parent,year_month,hour_class,n_obs,da_mwh_mean,strategic_ida_mwh_mean,rt2_mwh_mean,phf_mwh_mean
EDP-PT,2024-01-01,critical_h18_22,775,15.87741935483871,0.0,0.0,15.87741935483871
EDP-PT,2024-01-01,flat_h3_5,465,6.752688172043011,0.0,0.0,6.752688172043011
EDP-PT,2024-01-01,other,2480,13.74108870967742,0.0,0.0,13.74108870967742
EDP-PT,2024-02-01,critical_h18_22,725,0.0,0.0,0.0,0.0
EDP-PT,2024-02-01,flat_h3_5,435,0.0,0.0,0.0,0.0
EDP-PT,2024-02-01,other,2320,0.0,0.0,0.0,0.0
EDP-PT,2024-03-01,critical_h18_22,775,0.0,0.0,0.0,0.0
EDP-PT,2024-03-01,flat_h3_5,465,0.0,0.0,0.0,0.0
EDP-PT,2024-03-01,other,2475,0.0,0.0,0.0,0.0
EDP-PT,2024-04-01,critical_h18_22,750,0.0,0.0,0.0,0.0
EDP-PT,2024-04-01,flat_h3_5,450,0.0,0.0,0.0,0.0
EDP-PT,2024-04-01,other,2400,0.0,0.0,0.0,0.0
EDP-PT,2024-05-01,critical_h18_22,775,0.0,0.0,0.0,0.0
EDP-PT,2024-05-01,flat_h3_5,465,0.0,0.0,0.0,0.0
EDP-PT,2024-05-01,other,2480,0.0,0.0,0.0,0.0
EDP-PT,2024-06-01,critical_h18_22,725,0.0,0.0,0.0,0.0
EDP-PT,2024-06-01,flat_h3_5,435,0.0,0.0,0.0,0.0
EDP-PT,2024-06-01,other,2320,0.0,0.0,0.0,0.0
EDP-PT,2024-07-01,critical_h18_22,775,10.265806451612903,0.0,0.0,10.265806451612903
EDP-PT,2024-07-01,flat_h3_5,465,7.255913978494624,0.0,0.0,7.255913978494624
EDP-PT,2024-07-01,other,2480,8.70483870967742,0.0,0.0,8.70483870967742
EDP-PT,2024-08-01,critical_h18_22,775,0.0,0.0,0.0,0.0
EDP-PT,2024-08-01,flat_h3_5,465,0.0,0.0,0.0,0.0
EDP-PT,2024-08-01,other,2480,0.04838709677419355,0.0,0.0,0.04838709677419355
EDP-PT,2024-09-01,critical_h18_22,750,3.8666666666666667,0.0,0.0,3.8666666666666667
EDP-PT,2024-09-01,flat_h3_5,450,3.3777777777777778,0.0,0.0,3.3777777777777778
EDP-PT,2024-09-01,other,2400,3.5337916666666667,0.0,0.0,3.5337916666666667
EDP-PT,2024-10-01,critical_h18_22,775,0.0,0.0,0.0,0.0
EDP-PT,2024-10-01,flat_h3_5,465,0.0,0.0,0.0,0.0
EDP-PT,2024-10-01,other,2480,0.04838709677419355,0.0,0.0,0.04838709677419355
EDP-PT,2024-11-01,critical_h18_22,750,8.813333333333333,0.0,0.0,8.813333333333333
EDP-PT,2024-11-01,flat_h3_5,450,4.811111111111111,0.0,0.0,4.811111111111111
EDP-PT,2024-11-01,other,2400,6.062916666666666,0.0,0.0,6.062916666666666
EDP-PT,2024-12-01,critical_h18_22,775,48.8298064516129,0.0,0.0,48.8298064516129
EDP-PT,2024-12-01,flat_h3_5,465,28.09247311827957,0.0,0.0,28.09247311827957
EDP-PT,2024-12-01,other,2480,39.58508064516129,0.0,0.0,39.58508064516129
EDP-PT,2025-01-01,critical_h18_22,775,16.787096774193547,0.0,0.0,16.787096774193547
EDP-PT,2025-01-01,flat_h3_5,465,12.193548387096774,0.0,0.0,12.193548387096774
EDP-PT,2025-01-01,other,2480,14.33266129032258,0.0,0.0,14.33266129032258
EDP-PT,2025-02-01,critical_h18_22,700,0.0,0.0,0.0,0.0
EDP-PT,2025-02-01,flat_h3_5,420,0.0,0.0,0.0,0.0
EDP-PT,2025-02-01,other,2240,0.0,0.0,0.0,0.0
EDP-PT,2025-03-01,critical_h18_22,1750,0.0,0.0,0.0,0.0
EDP-PT,2025-03-01,flat_h3_5,1050,0.0,0.0,0.0,0.0
EDP-PT,2025-03-01,other,5400,0.0,0.0,0.0,0.0
EDP-PT,2025-04-01,critical_h18_22,3000,0.0,0.0,0.0,0.0
EDP-PT,2025-04-01,flat_h3_5,1800,0.0,0.0,0.0,0.0
EDP-PT,2025-04-01,other,9150,0.0,0.0,0.0,0.0
EDP-PT,2025-05-01,critical_h18_22,3100,0.0,0.0,0.0,0.0
EDP-PT,2025-05-01,flat_h3_5,1860,0.0,0.0,0.0,0.0
EDP-PT,2025-05-01,other,9455,0.0,0.0,0.0,0.0
EDP-PT,2025-06-01,critical_h18_22,3000,0.0,0.0,0.0,0.0
EDP-PT,2025-06-01,flat_h3_5,1800,0.0,0.0,0.0,0.0
EDP-PT,2025-06-01,other,9150,0.0,0.0,0.0,0.0
EDP-PT,2025-07-01,critical_h18_22,3000,0.605,0.0,0.0,0.605
EDP-PT,2025-07-01,flat_h3_5,1800,0.55,0.0,0.0,0.55
EDP-PT,2025-07-01,other,9150,0.5306010928961749,0.0,0.0,0.5306010928961749
EDP-PT,2025-08-01,critical_h18_22,3100,0.0,0.0,0.0,0.0
EDP-PT,2025-08-01,flat_h3_5,1860,0.0,0.0,0.0,0.0
EDP-PT,2025-08-01,other,9455,0.0,0.0,0.0,0.0
EDP-PT,2025-09-01,critical_h18_22,3000,0.0,0.0,0.0,0.0
EDP-PT,2025-09-01,flat_h3_5,1800,0.0,0.0,0.0,0.0
