parent,year_month,critical_h18_22,flat_h3_5,other,crit_minus_flat
EDP-PT,2024-01-01,1230.5,523.3333333333334,709.9562499999998,707.1666666666666
EDP-PT,2024-07-01,397.8,281.1666666666667,224.875,116.63333333333333
EDP-PT,2024-08-01,,,7.5,
EDP-PT,2024-09-01,290.0,253.33333333333334,176.68958333333333,36.66666666666666
EDP-PT,2024-10-01,,,7.5,
EDP-PT,2024-11-01,330.5,240.55555555555554,113.6796875,89.94444444444446
EDP-PT,2024-12-01,582.2015384615386,395.8484848484849,360.9227941176471,186.3530536130537
EDP-PT,2025-01-01,520.4,378.0,277.6953125,142.39999999999998
EDP-PT,2025-07-01,363.0,330.0,303.4375,33.0
EDP-PT,2025-12-01,77.35499999999999,63.75,370.9375,13.60499999999999
Engie,2024-03-01,253.0,,,
Engie,2024-06-01,80.0,75.55555555555556,59.365625,4.444444444444443
Engie,2024-07-01,111.96000000000001,78.63859649122809,23.53097826086957,33.32140350877192
Engie,2024-08-01,53.59999999999999,44.800000000000004,25.23958333333334,8.799999999999983
Engie,2024-12-01,331.88,,181.125,
Engie,2025-01-01,387.8,19.333333333333332,243.6625,368.4666666666667
Engie,2025-05-01,262.5,,31.0,
Engie,2025-06-01,58.52,,,
Engie,2025-07-01,304.4,,23.75,
Engie,2025-08-01,195.6,,20.3125,
Engie,2025-10-01,80.0,,128.28125,
Engie,2025-12-01,84.15,,169.04375,
GE,2024-01-01,620.4133333333333,26.666666666666668,209.9279166666667,593.7466666666667
GE,2024-02-01,525.1533333333333,,95.0640625,
GE,2024-03-01,362.53999999999996,20.0,111.6234375,342.53999999999996
GE,2024-04-01,61.96,,36.75,
GE,2024-06-01,414.5,358.0,50.548611111111114,56.5
GE,2024-07-01,542.4875,751.2888888888889,375.0992647058824,-208.80138888888894
GE,2024-08-01,542.42,833.8206349206349,306.0290948275862,-291.40063492063496
GE,2024-09-01,514.5526315789474,530.6527777777778,234.49177631578948,-16.10014619883043
GE,2024-10-01,266.0466666666667,,52.815625,
GE,2024-11-01,649.7792592592592,170.93333333333334,247.41785714285717,478.8459259259259
GE,2024-12-01,1036.4069230769232,901.6333333333333,572.9200520833334,134.77358974358992
GE,2025-01-01,792.7929411764705,,301.33867187499993,
GE,2025-02-01,474.1107692307693,,82.21979166666667,
GE,2025-03-01,253.408,,12.9375,
GE,2025-04-01,103.02000000000001,,93.4375,
GE,2025-06-01,485.546,506.38333333333327,218.7266304347826,-20.837333333333277
GE,2025-07-01,605.6042105263157,621.25,294.9840909090909,-15.645789473684317
GE,2025-08-01,536.3333333333334,793.7410256410257,249.15875,-257.4076923076923
GE,2025-09-01,693.5111111111111,914.6666666666666,232.3068181818182,-221.15555555555557
GE,2025-10-01,171.35263157894738,182.20238095238096,497.2703125,-10.849749373433582
GE,2025-11-01,203.745,,280.26265625,
