hour_class,year_month,p_avg_sessions,p_final_session,n_cells
critical,2024-01-01,81.85216911045943,80.81134897360705,341
flat,2024-01-01,58.46573476702508,57.238709677419365,93
critical,2024-02-01,45.84810449320794,45.10564263322884,319
flat,2024-02-01,33.101609195402304,32.98195402298851,87
critical,2024-03-01,28.480735581622678,28.14398826979472,341
flat,2024-03-01,13.728655913978493,14.649569892473119,93
critical,2024-04-01,18.388917171717168,18.919090909090908,330
flat,2024-04-01,12.699925925925927,14.429666666666668,90
critical,2024-05-01,35.661971163245354,35.60586510263931,341
flat,2024-05-01,40.758566308243736,43.248709677419356,93
critical,2024-06-01,61.22897222222222,61.469121212121216,330
flat,2024-06-01,66.24638888888889,65.70722222222221,90
critical,2024-07-01,79.1083479960899,79.16615835777127,341
flat,2024-07-01,86.23854838709677,85.83806451612902,93
critical,2024-08-01,98.175826001955,97.52416422287394,341
flat,2024-08-01,102.13645161290323,101.3183870967742,93
critical,2024-09-01,84.0456515151515,83.07942424242424,330
flat,2024-09-01,80.96688888888889,80.96022222222221,90
critical,2024-10-01,81.29465298142718,79.78480938416422,341
flat,2024-10-01,60.114623655913974,60.295483870967736,93
critical,2024-11-01,117.63680303030304,118.16299999999998,330
flat,2024-11-01,91.5183888888889,91.48288888888888,90
critical,2024-12-01,125.05788856304984,125.52554252199415,341
flat,2024-12-01,96.0968817204301,96.08924731182798,93
critical,2025-01-01,111.0205083088954,110.35800586510264,341
flat,2025-01-01,78.92381720430109,78.12698924731183,93
critical,2025-02-01,128.4906601731602,127.40633116883117,308
flat,2025-02-01,101.14547619047619,101.30940476190476,84
critical,2025-03-01,66.7826441837732,64.50199413489736,341
flat,2025-03-01,41.01591397849462,40.818440860215055,93
critical,2025-04-01,35.08479885057471,33.14594827586207,319
flat,2025-04-01,22.435258620689652,21.690114942528734,87
critical,2025-05-01,24.630535190615827,25.352419354838712,341
flat,2025-05-01,19.63383064516129,20.76518817204301,93
critical,2025-06-01,84.29454671717173,84.53881060606061,330
flat,2025-06-01,95.57615277777778,95.6603888888889,90
critical,2025-07-01,77.47608679525221,76.7550890207715,337
flat,2025-07-01,88.17462499999999,88.29925000000001,90
critical,2025-08-01,79.83059384164224,80.00103372434018,341
flat,2025-08-01,89.45545698924731,89.5656989247312,93
critical,2025-09-01,74.91303409090911,74.67886363636366,330
flat,2025-09-01,72.74631944444445,72.17836111111113,90
critical,2025-10-01,89.70530791788858,89.45004398826981,341
flat,2025-10-01,77.42486559139786,78.48669354838711,93
critical,2025-11-01,76.3952398989899,75.62948484848485,330
flat,2025-11-01,54.64456944444444,55.43944444444445,90
critical,2025-12-01,86.45288856304985,86.41712609970676,341
flat,2025-12-01,65.92469086021505,65.27325268817205,93
