hour_class,year_month,p_da
critical,2024-01-01,84.0449560117302
flat,2024-01-01,60.28236559139784
critical,2024-02-01,47.09999999999999
flat,2024-02-01,33.23149425287357
critical,2024-03-01,29.68967741935483
flat,2024-03-01,16.026236559139786
critical,2024-04-01,18.604848484848485
flat,2024-04-01,13.071777777777779
critical,2024-05-01,35.76020527859237
flat,2024-05-01,41.20559139784946
critical,2024-06-01,62.36375757575759
flat,2024-06-01,67.94877777777778
critical,2024-07-01,79.42879765395894
flat,2024-07-01,87.54182795698927
critical,2024-08-01,100.15384164222876
flat,2024-08-01,104.67838709677422
critical,2024-09-01,84.59299999999999
flat,2024-09-01,81.81366666666666
critical,2024-10-01,82.51636363636362
flat,2024-10-01,58.60935483870968
critical,2024-11-01,118.9848787878788
flat,2024-11-01,94.50133333333335
critical,2024-12-01,125.52381231671554
flat,2024-12-01,98.62548387096774
critical,2025-01-01,111.65043988269798
flat,2025-01-01,79.02956989247312
critical,2025-02-01,129.81136363636367
flat,2025-02-01,100.49
critical,2025-03-01,69.59568914956013
flat,2025-03-01,44.953870967741935
critical,2025-04-01,37.53290909090909
flat,2025-04-01,27.44622222222222
critical,2025-05-01,24.462052785923753
flat,2025-05-01,20.22817204301075
critical,2025-06-01,85.56296969696972
flat,2025-06-01,98.09177777777778
critical,2025-07-01,80.11351906158357
flat,2025-07-01,89.14741935483872
critical,2025-08-01,81.51686217008799
flat,2025-08-01,91.15322580645162
critical,2025-09-01,76.50278787878791
flat,2025-09-01,74.88
critical,2025-10-01,92.64788123167158
flat,2025-10-01,79.06147849462364
critical,2025-11-01,79.07624242424242
flat,2025-11-01,52.34247222222223
critical,2025-12-01,88.7691495601173
flat,2025-12-01,66.09279569892473
