hour_class,year_month,p_avg_sessions,p_final_session
critical,2024-01-01,81.85216911045943,80.81134897360704
flat,2024-01-01,58.46573476702509,57.23870967741935
critical,2024-02-01,45.84810449320794,45.10564263322884
flat,2024-02-01,33.101609195402304,32.98195402298851
critical,2024-03-01,28.480735581622667,28.14398826979471
flat,2024-03-01,13.728655913978493,14.649569892473117
critical,2024-04-01,18.38891717171717,18.91909090909091
flat,2024-04-01,12.699925925925927,14.429666666666668
critical,2024-05-01,35.66197116324535,35.60586510263929
flat,2024-05-01,40.75856630824373,43.24870967741935
critical,2024-06-01,61.22897222222222,61.469121212121216
flat,2024-06-01,66.24638888888889,65.70722222222221
critical,2024-07-01,79.10834799608992,79.16615835777127
flat,2024-07-01,86.23854838709678,85.83806451612904
critical,2024-08-01,98.17582600195503,97.52416422287388
flat,2024-08-01,102.13645161290323,101.3183870967742
critical,2024-09-01,84.0456515151515,83.07942424242424
flat,2024-09-01,80.96688888888887,80.9602222222222
critical,2024-10-01,81.29465298142718,79.78480938416423
flat,2024-10-01,60.114623655913974,60.295483870967736
critical,2024-11-01,117.63680303030304,118.163
flat,2024-11-01,91.5183888888889,91.48288888888888
critical,2024-12-01,125.05788856304983,125.52554252199411
flat,2024-12-01,96.09688172043013,96.08924731182795
critical,2025-01-01,111.0205083088954,110.35800586510263
flat,2025-01-01,78.92381720430109,78.12698924731183
critical,2025-02-01,128.4906601731602,127.40633116883114
flat,2025-02-01,101.14547619047619,101.30940476190479
critical,2025-03-01,66.78264418377321,64.50199413489739
flat,2025-03-01,41.015913978494616,40.818440860215055
critical,2025-04-01,35.084798850574714,33.14594827586207
flat,2025-04-01,22.435258620689655,21.690114942528734
critical,2025-05-01,24.630535190615838,25.352419354838712
flat,2025-05-01,19.63383064516129,20.76518817204301
critical,2025-06-01,84.29454671717171,84.53881060606061
flat,2025-06-01,95.57615277777778,95.6603888888889
critical,2025-07-01,77.47608679525223,76.75508902077152
flat,2025-07-01,88.174625,88.29924999999999
critical,2025-08-01,79.83059384164224,80.00103372434018
flat,2025-08-01,89.4554569892473,89.56569892473117
critical,2025-09-01,74.91303409090908,74.67886363636364
flat,2025-09-01,72.74631944444444,72.17836111111112
critical,2025-10-01,89.70530791788856,89.45004398826981
flat,2025-10-01,77.42486559139785,78.4866935483871
critical,2025-11-01,76.39523989898989,75.62948484848485
flat,2025-11-01,54.64456944444444,55.43944444444445
critical,2025-12-01,86.45288856304985,86.41712609970673
flat,2025-12-01,65.92469086021505,65.27325268817204
critical,2026-01-01,80.28805718475071,79.42123167155425
flat,2026-01-01,57.828763440860214,57.312553763440874
critical,2026-02-01,26.677564935064932,26.34016233766234
flat,2026-02-01,4.7118005952380955,5.74705357142857
