firm,tech_group,hour_of_day,bilateral_mwh,auction_mwh,bilat_share
GE,Hydro,1.25,34749.32499999995,79848.40000000004,0.3032287508325314
GE,Nuclear,1.5,287721.3000000003,171062.99999999988,0.6271385049575589
GN,Hydro,1.5,27944.699999999993,1375.55,0.9530853249887024
IB,Nuclear,1.75,261335.3250000002,291580.3250000002,0.47264953524104447
IB,Hydro,2.25,146726.25,56900.599999999984,0.7205643558302848
IB,Nuclear,2.25,264996.9250000001,284521.3750000001,0.4822349410383603
GE,Nuclear,2.5,279367.42500000005,177622.99999999997,0.6113200840039482
GN,Hydro,2.5,25367.024999999998,596.9250000000001,0.9770094688982224
GE,Nuclear,3.25,276936.82500000007,180033.45,0.6060280944969562
GN,Hydro,3.25,23941.775,401.77500000000003,0.9834956282054178
IB,Nuclear,3.5,267394.6500000001,281707.6000000003,0.48696695378683996
IB,Hydro,3.5,126076.37500000003,45589.94999999998,0.7344269471604289
HC,Hydro,3.5,4743.3,949.7,0.8331810995959951
GE,Hydro,3.75,23297.874999999985,79959.90000000004,0.22562828803932664
IB,Hydro,4.0,114571.25,39691.624999999985,0.742701379058312
IB,Nuclear,4.0,272382.92500000005,275889.37500000023,0.49680227324998893
IB,Nuclear,4.25,271205.75000000023,277070.1000000003,0.49465200774391205
IB,Hydro,4.25,114560.52499999997,39438.874999999985,0.743902411308096
HC,Hydro,4.25,4567.55,905.6500000000001,0.834530073814222
GE,Hydro,5.0,20221.6,80026.04999999999,0.20171644921352272
GE,Nuclear,5.25,272430.07499999995,184160.65000000002,0.5966614302119255
GN,Hydro,5.25,23088.950000000004,272.875,0.9883196197214901
GE,Hydro,5.5,20185.800000000003,79895.5,0.20169402275949655
GE,Hydro,6.0,21544.57499999999,80965.14999999995,0.2101710349920459
GE,Hydro,6.75,22317.649999999994,81162.15000000001,0.21567156101963855
GE,Hydro,7.0,30253.97499999997,82463.52500000001,0.26840530529864465
IB,Nuclear,7.25,266331.80000000005,282767.2250000003,0.4850341885054337
GE,Hydro,7.5,31209.02499999997,82580.45000000001,0.27426987425682364
GE,Nuclear,7.75,287730.82500000007,171309.02500000002,0.6268101233476788
GN,Hydro,7.75,25671.749999999985,1317.2,0.9511948408515336
GE,Hydro,1.0,35518.67499999995,79508.72500000005,0.30878447222140076
IB,Hydro,1.75,167808.12499999988,78219.35000000002,0.6820706711719898
HC,Hydro,1.75,6204.3,1156.2499999999998,0.8429125540890287
HC,Hydro,2.25,5278.05,996.2750000000002,0.8412139951309503
HC,Hydro,4.0,4567.55,905.7500000000001,0.834514826521477
IB,Nuclear,6.25,265142.8500000001,283662.6500000002,0.4831271734703825
IB,Hydro,6.25,120403.17499999999,42176.34999999998,0.7405801868347199
HC,Hydro,6.25,4716.3,900.25,0.8397147715234441
GE,Hydro,6.5,21946.499999999993,81028.99999999999,0.21312350996110724
IB,Hydro,7.25,150954.47499999998,62264.89999999997,0.7079772886493079
HC,Hydro,7.25,6134.55,1037.1749999999997,0.855379981803541
GE,Hydro,8.0,41267.59999999994,80186.17500000002,0.3397802991302654
IB,Nuclear,8.25,275876.05,276603.60000000044,0.4993415594583435
IB,Hydro,8.25,183269.82499999998,95438.32500000003,0.6575689480196398
