unit_code,firm,description,phase,bilateral_mwh,auction_mwh,n_days,bilat_share
TRL1,IB,C.N. TRILLO,PRE-blackout,32064.000000000284,296716.80000000005,6,0.0975239430039718
ASC2,IB,C.N. ASCÓ 2,POST-blackout,1434614.0000000002,3392609.0,106,0.29719240233981326
ALZ1,GE,C.N. ALMARAZ 1,PRE-blackout,474200.3999999735,1226965.2000000002,29,0.27875028744995833
ALZ2,GE,C.N. ALMARAZ 2,PRE-blackout,516020.9999999892,1396920.6000000224,34,0.26975261555291913
COF1,IB,C.N. COFRENTES,PRE-blackout,301240.09999999986,367824.0,30,0.4502410157711345
VAN2,IB,C.N. VANDELLOS II,POST-blackout,1996409.2000000002,4951611.400000003,154,0.28733495695162437
ASC1,GE,C.N. ASCÓ 1,POST-blackout,167523.0,2670023.000000002,146,0.05903798563970413
VAN2,IB,C.N. VANDELLOS II,PRE-blackout,349170.0,809840.4,39,0.30126563143868257
ASC1,GE,C.N. ASCÓ 1,PRE-blackout,0.0,424060.5999999997,33,0.0
ALZ2,GE,C.N. ALMARAZ 2,POST-blackout,7259379.300000236,3122861.0999999098,152,0.6992112511669576
ALZ1,GE,C.N. ALMARAZ 1,POST-blackout,6439603.199999888,2867768.400000201,145,0.6918820346659229
COF1,IB,C.N. COFRENTES,POST-blackout,2794876.6000000047,462879.6999999982,137,0.8579145714490682
ASC2,IB,C.N. ASCÓ 2,PRE-blackout,424587.60000000003,1477492.9999999502,40,0.22322271727076715
TRL1,IB,C.N. TRILLO,POST-blackout,9504829.1999998,2118269.1999999788,125,0.8177534830127551
