tech,pdbc_gwh,pdbf_gwh,phf_gwh,ym,gap_vs_pdbc,gap_vs_pdbf
CCGT,432.47079999999994,644.4241000000005,1364.6451999999997,2024-01-01,932.1743999999998,720.2210999999992
Coal,5.643,5.643,27.694,2024-01-01,22.051,22.051
Cogen,126.4523000000004,147.92820000000043,141.82590000000036,2024-01-01,15.373599999999954,-6.102300000000071
Direct_consumer,0.0,-5.3423000000000025,-5.421599999999998,2024-01-01,-5.421599999999998,-0.07929999999999549
Generic,0.0,1.056932319443149e-15,0.4449000000000003,2024-01-01,0.4449000000000003,0.44489999999999924
Hybrid_RES_storage,5.557600000000001,5.557600000000001,5.5095,2024-01-01,-0.0481000000000007,-0.0481000000000007
Hydro,431.6273000000002,5238.443500000015,5278.810699999989,2024-01-01,4847.183399999989,40.36719999997422
Hydro_RES,7.293700000000015,74.84250000000034,73.52049999999998,2024-01-01,66.22679999999997,-1.322000000000358
Hydro_pump,224.0454000000001,224.0454000000001,260.31850000000014,2024-01-01,36.273100000000056,36.273100000000056
Nuclear,301.8707999999997,5236.070500000015,5184.738400000005,2024-01-01,4882.867600000005,-51.33210000001054
Other,0.0,30.042299999999997,30.43110000000001,2024-01-01,30.43110000000001,0.388800000000014
Pump_load,0.0,-541.1435,-735.1145,2024-01-01,-735.1145,-193.971
Retailer,0.0,-15502.59049999995,-15552.958199999966,2024-01-01,-15552.958199999966,-50.36770000001707
Solar PV,97.35779999999997,178.09649999999954,169.71109999999965,2024-01-01,72.35329999999968,-8.38539999999989
Storage_buy,0.0,-0.036899999999999995,-0.087,2024-01-01,-0.087,-0.0501
Storage_sell,0.0341,0.0341,0.06930000000000001,2024-01-01,0.035200000000000016,0.035200000000000016
Wind,994.4220000000003,1818.2169999999983,1772.1142000000002,2024-01-01,777.6922,-46.10279999999807
CCGT,36.9108,52.70369999999999,739.0234,2024-02-01,702.1126,686.3197
Coal,1.146,1.146,2.303,2024-02-01,1.157,1.157
Cogen,100.4427,123.8335,111.32440000000018,2024-02-01,10.88170000000018,-12.509099999999819
Direct_consumer,0.0,-4.515999999999993,-4.549100000000002,2024-02-01,-4.549100000000002,-0.03310000000000901
Generic,0.0,-25.355200000000025,-3.8536000000000015,2024-02-01,-3.8536000000000015,21.501600000000025
Hybrid_RES_storage,8.1592,10.083300000000001,10.579999999999998,2024-02-01,2.420799999999998,0.49669999999999703
Hydro,502.07730000000026,4245.441299999992,4293.687800000006,2024-02-01,3791.6105000000057,48.24650000001384
Hydro_RES,10.365099999999991,68.16870000000014,69.38719999999995,2024-02-01,59.02209999999996,1.218499999999807
Hydro_pump,286.1665000000001,288.26569999999987,327.00190000000003,2024-02-01,40.835399999999936,38.73620000000017
Nuclear,1463.9898000000012,4627.6694,4525.705200000006,2024-02-01,3061.7154000000046,-101.96419999999398
Other,0.0,29.140300000000018,29.8534,2024-02-01,29.8534,0.713099999999983
Pump_load,0.0,-901.4652999999998,-1044.7188999999998,2024-02-01,-1044.7188999999998,-143.2536
Retailer,0.0,-13836.652500000006,-13892.908200000003,2024-02-01,-13892.908200000003,-56.25569999999789
Solar PV,74.39800000000007,183.81139999999962,179.8568999999997,2024-02-01,105.45889999999964,-3.9544999999999106
Storage_buy,0.0,-0.09350000000000001,-0.1145,2024-02-01,-0.1145,-0.02099999999999999
Storage_sell,0.09,0.09,0.10180000000000002,2024-02-01,0.011800000000000019,0.011800000000000019
Wind,1512.7107,1977.2464000000004,1958.1803000000014,2024-02-01,445.46960000000126,-19.066099999999096
CCGT,80.5425,80.5425,776.5573000000002,2024-03-01,696.0148000000002,696.0148000000002
Cogen,57.46819999999994,114.75930000000007,100.84500000000008,2024-03-01,43.376800000000145,-13.914299999999983
Direct_consumer,0.0,-3.6827000000000014,-3.762400000000004,2024-03-01,-3.762400000000004,-0.07970000000000255
Generic,0.0,4.559019828320743e-15,4.1068999999999996,2024-03-01,4.1068999999999996,4.106899999999995
