parent,tech_group,ym,hc,q1_mean_mwh,n_cells,share_cleared
TotalEnergies,Retailer,2024-01-01,critical,-425.72214076246337,682,0.0
Engie,Wind,2024-01-01,critical,9.096960107403133,10428,0.47756041426927504
HC,Hydro_RES,2024-01-01,critical,1.2813895781637707,403,0.0
HC,Wind,2024-01-01,critical,146.81414956011733,1364,0.906891495601173
HC,Direct_consumer,2024-01-01,critical,-1.4450606585788561,577,0.0
Moeve,Hydro_RES,2024-01-01,critical,3.7723204994797093,961,0.30801248699271594
IB,Retailer,2024-01-01,critical,-245.76754966887415,453,0.0
Engie,Cogen,2024-01-01,flat,8.813235294117652,204,0.8823529411764706
GE,Nuclear,2024-01-01,critical,71.86399197592777,997,0.35807422266800404
Engie,Retailer,2024-01-01,flat,-26.689285714285717,84,0.0
IB,Solar PV,2024-01-01,critical,53.55322580645161,248,0.6169354838709677
GN,Wind,2024-01-01,flat,65.56102150537635,372,0.9327956989247311
IB,Hydro_RES,2024-01-01,flat,3.784234234234234,222,0.26126126126126126
Engie,Wind,2024-02-01,flat,12.291116844821234,2713,0.6162919277552524
Moeve,Direct_consumer,2024-02-01,critical,-6.258202716823393,1914,0.0
GE,Retailer,2024-02-01,critical,-2139.4028213166143,638,0.0
IB,Retailer,2024-02-01,critical,-793.0279816513761,436,0.0
HC,Hydro_RES,2024-02-01,critical,1.4055710306406695,359,0.0
GE,Hydro,2024-02-01,flat,83.907345971564,422,0.9218009478672986
Moeve,Retailer,2024-02-01,flat,-114.27413793103449,174,0.0
Repsol,Retailer,2024-02-01,critical,-215.23824451410653,319,0.0
GN,Generic,2024-02-01,flat,-625.1333333333333,87,0.0
HC,Wind,2024-02-01,flat,188.6522988505747,348,0.8994252873563219
IB,Pump_load,2024-02-01,flat,-578.5847328244275,131,0.0
GE,Nuclear,2024-02-01,critical,401.1926803013994,929,0.6523143164693218
Engie,Generic,2024-02-01,flat,-146.53809523809522,84,0.0
Moeve,Hydro_RES,2024-02-01,critical,2.894204685573366,811,0.19482120838471023
Engie,Retailer,2024-02-01,critical,-59.65297805642632,319,0.0
GE,Hydro_pump,2024-02-01,critical,114.92594859241132,817,0.996328029375765
IB,Hydro_pump,2024-03-01,flat,382.6166666666667,42,0.5
GN,Wind,2024-03-01,critical,67.54411764705884,1360,0.924264705882353
GE,Nuclear,2024-03-01,critical,682.9631751227497,611,1.0
IB,Hydro,2024-03-01,critical,104.03909205548543,793,0.3682219419924338
Engie,Wind,2024-03-01,flat,11.57138820204875,2831,0.6089720946661957
Engie,Generic,2024-03-01,flat,-123.1709677419355,93,0.0
HC,Direct_consumer,2024-03-01,critical,-1.2474999999999996,680,0.0
Moeve,Retailer,2024-03-01,critical,-103.6892961876833,682,0.0
Moeve,Biomass,2024-03-01,critical,1.401842374616174,977,0.0
IB,Retailer,2024-03-01,critical,-939.4555366269168,587,0.0
TotalEnergies,Retailer,2024-03-01,flat,-197.0953405017921,279,0.0
GE,Hydro,2024-03-01,flat,198.61233283803864,673,0.9197622585438335
IB,Cogen,2024-03-01,critical,36.041635687732345,538,0.9256505576208178
GN,Retailer,2024-03-01,critical,-39.2833718244804,433,0.0
GE,Hydro_pump,2024-04-01,flat,76.46397849462366,186,1.0
GN,Wind,2024-04-01,critical,43.437446808510636,1175,0.8731914893617021
Repsol,Retailer,2024-04-01,critical,-173.12545454545452,330,0.0
Moeve,Cogen,2024-04-01,critical,4.540090344438141,7084,0.3404856013551666
Moeve,Hydro_RES,2024-04-01,critical,7.084550264550262,945,0.35555555555555557
GE,Hydro,2024-04-01,critical,194.83096487686717,2477,0.8893823173193379
Repsol,Cogen,2024-04-01,critical,38.97689946277821,1303,0.9984650805832693
Moeve,Biomass,2024-04-01,flat,1.6377777777777778,270,0.03333333333333333
IB,Cogen,2024-04-01,flat,35.838135593220336,118,0.788135593220339
HC,Wind,2024-04-01,critical,141.74695071010862,1197,0.9214703425229741
Engie,Generic,2024-04-01,flat,-130.26896551724138,87,0.0
IB,Hydro_RES,2024-04-01,flat,11.511458333333332,96,0.2708333333333333
HC,Hybrid_RES,2024-04-01,critical,9.479931972789116,294,0.6496598639455783
GE,Retailer,2024-04-01,flat,-2319.0205555555553,180,0.0
HC,Direct_consumer,2024-04-01,flat,-1.3061111111111112,180,0.0
Moeve,Solar PV,2024-04-01,critical,0.7142857142857144,210,0.0
GN,Cogen,2024-04-01,critical,22.94492385786802,394,0.9974619289340102
GE,Nuclear,2024-04-01,critical,849.6610315186247,349,1.0
IB,Hydro_RES,2024-05-01,flat,12.374545454545453,55,0.2545454545454545
Moeve,Cogen,2024-05-01,flat,5.73241602590045,2471,0.40509915014164305
TotalEnergies,Retailer,2024-05-01,flat,-173.17741935483872,279,0.0
Engie,Wind,2024-05-01,critical,7.900551257253392,10340,0.48684719535783366
IB,Direct_consumer,2024-05-01,critical,-3.2479623824451407,319,0.0
Engie,Retailer,2024-05-01,critical,-42.387610619469044,339,0.0
GN,Retailer,2024-05-01,critical,-43.66591478696743,399,0.0
GE,Hydro_pump,2024-05-01,critical,108.49198998748436,799,1.0
GE,Retailer,2024-05-01,flat,-2298.051075268817,186,0.0
Moeve,Solar PV,2024-05-01,critical,1.0011834319526627,338,0.0
Moeve,Biomass,2024-05-01,critical,1.7398870056497187,885,0.010169491525423728
IB,Retailer,2024-05-01,critical,-706.373898858075,613,0.0
IB,Hydro,2024-05-01,flat,264.134375,64,0.75
Repsol,Retailer,2024-05-01,flat,-116.99784946236558,93,0.0
HC,Direct_consumer,2024-05-01,flat,-1.543169398907104,183,0.0
Engie,Wind,2024-06-01,critical,7.639531021006351,10235,0.4698583292623351
Moeve,Retailer,2024-06-01,critical,-136.5460606060606,660,0.0
Engie,Retailer,2024-06-01,critical,-51.56848484848484,330,0.0
Engie,Cogen,2024-06-01,critical,9.791414141414126,990,0.6808080808080809
Repsol,Direct_consumer,2024-06-01,critical,-143.80727272727276,660,0.0
IB,Hybrid_RES,2024-06-01,flat,21.95,50,0.68
GN,Solar PV,2024-06-01,critical,6.536649214659688,191,0.09424083769633508
GE,Retailer,2024-06-01,flat,-1644.7527777777777,216,0.0
IB,Cogen,2024-06-01,flat,12.827272727272726,77,0.6623376623376623
TotalEnergies,Retailer,2024-06-01,flat,-182.9351851851852,270,0.0
HC,Retailer,2024-06-01,critical,-883.3536363636364,330,0.0
Engie,Wind,2024-07-01,flat,8.038060479666317,2877,0.5099061522419187
HC,Wind,2024-07-01,flat,123.20135135135135,370,0.9297297297297298
Engie,Hydro_RES,2024-07-01,flat,10.935483870967742,93,0.967741935483871
Repsol,Cogen,2024-07-01,flat,47.73893557422969,357,0.9915966386554622
Moeve,Direct_consumer,2024-07-01,critical,-6.038172043010755,2046,0.0
Engie,Hydro,2024-07-01,critical,0.10000000000000005,124,0.0
Engie,Solar PV,2024-07-01,critical,6.303539823008848,2373,0.3548251158870628
GE,Hydro_pump,2024-07-01,critical,83.49259259259256,837,0.998805256869773
GE,Nuclear,2024-07-01,critical,977.3225,1000,1.0
GN,Generic,2024-07-01,critical,-1188.243988269795,341,0.0
IB,Pump_load,2024-07-01,critical,-571.9627819548872,266,0.0
Repsol,Direct_consumer,2024-07-01,flat,-133.38688524590162,183,0.0
HC,Hydro_RES,2024-07-01,critical,1.8639198218262796,449,0.12249443207126949
Moeve,Biomass,2024-07-01,critical,1.6166518254675004,1123,0.0
HC,Solar PV,2024-07-01,critical,2.77860465116279,215,0.26046511627906976
GE,Pump_load,2024-07-01,critical,-133.77288732394365,284,0.0
IB,Hydro_RES,2024-07-01,critical,27.79310344827586,29,1.0
HC,Hybrid_RES,2024-07-01,flat,10.955913978494625,93,0.7741935483870968
GE,Hydro,2024-07-01,flat,81.4311224489796,392,0.8367346938775511
IB,Hybrid_RES_storage,2024-07-01,critical,9.608045977011495,174,0.42528735632183906
HC,Hydro,2024-07-01,flat,0.6602150537634406,93,0.0
IB,CCGT,2024-07-01,critical,317.1528239202658,301,0.9966777408637874
GE,CCGT,2024-07-01,critical,317.2655172413793,290,1.0
Moeve,Biomass,2024-08-01,flat,1.5975409836065573,366,0.06557377049180328
GN,Wind,2024-08-01,flat,19.46827956989247,372,0.8655913978494624
Engie,Wind,2024-08-01,critical,6.251941406641932,9967,0.3934985451991572
Repsol,Cogen,2024-08-01,critical,47.34655425219938,1364,1.0
Moeve,Solar PV,2024-08-01,critical,1.281881533101045,287,0.0
GN,Solar PV,2024-08-01,critical,2.0101604278074867,187,0.026737967914438502
Moeve,Direct_consumer,2024-08-01,critical,-3.9597187343043747,1991,0.0
Repsol,Direct_consumer,2024-08-01,critical,-120.45219941348971,682,0.0
Repsol,Retailer,2024-08-01,critical,-231.48005865102635,341,0.0
IB,Hybrid_RES,2024-08-01,flat,18.306896551724137,29,0.6551724137931034
Engie,Cogen,2024-08-01,critical,13.501481481481477,540,0.8962962962962963
HC,Hydro,2024-08-01,critical,4.070858895705515,326,0.06748466257668712
Moeve,Hydro_RES,2024-08-01,flat,2.760215053763441,279,0.17204301075268819
TotalEnergies,Wind,2024-08-01,critical,8.112460063897764,313,0.5463258785942492
GE,Solar PV,2024-08-01,critical,0.4530434782608695,230,0.0
IB,Hydro_pump,2024-08-01,critical,860.9806451612902,124,1.0
GN,CCGT,2024-09-01,flat,359.70277777777784,36,1.0
Engie,Wind,2024-09-01,critical,7.264992899168192,9858,0.43588963278555487
Moeve,Direct_consumer,2024-09-01,critical,-5.994545454545454,1980,0.0
HC,Hydro_RES,2024-09-01,critical,1.4621686746987954,415,0.021686746987951807
GE,Hydro_pump,2024-09-01,critical,85.4694620253164,632,1.0
Engie,Retailer,2024-09-01,critical,-35.49725490196077,255,0.0
HC,Hybrid_RES,2024-09-01,critical,12.554848484848483,330,0.7666666666666667
TotalEnergies,Wind,2024-09-01,critical,12.316455696202532,316,0.6708860759493671
GE,Hydro,2024-10-01,flat,126.64825462012321,487,0.8049281314168378
GN,Wind,2024-10-01,critical,37.801914580265105,1358,0.9116347569955817
GN,Cogen,2024-10-01,critical,20.873279999999987,625,0.9984
IB,Direct_consumer,2024-10-01,flat,-12.908602150537634,93,0.0
IB,Pump_load,2024-10-01,critical,-370.1198924731183,186,0.0
GE,Retailer,2024-10-01,critical,-1538.3226783968719,1023,0.0
Repsol,Direct_consumer,2024-10-01,critical,-112.9136363636364,682,0.0
IB,Hydro,2024-10-01,critical,90.90625000000001,352,0.7926136363636364
Moeve,Biomass,2024-10-01,flat,1.579207920792079,303,0.0
GE,Hydro_pump,2024-10-01,flat,48.1020202020202,99,1.0
IB,Nuclear,2024-10-01,critical,79.22834224598925,748,1.0
HC,Hydro_RES,2024-10-01,critical,1.1711171662125348,367,0.0
IB,Hybrid_RES_storage,2024-10-01,flat,11.805263157894737,76,0.6052631578947368
Engie,Generic,2024-10-01,flat,-156.51935483870966,93,0.0
Repsol,Cogen,2024-10-01,flat,45.49060606060606,330,0.9090909090909091
GN,Generic,2024-10-01,critical,-958.7451612903221,341,0.0
TotalEnergies,Retailer,2024-11-01,flat,-166.30629629629635,270,0.0
GN,Hydro,2024-11-01,critical,113.71349693251533,326,0.9478527607361963
Moeve,Hydro_RES,2024-11-01,critical,6.9395127118644035,944,0.3961864406779661
IB,Direct_consumer,2024-11-01,flat,-15.33,90,0.0
GE,Nuclear,2024-11-01,flat,806.2731707317074,123,1.0
GE,Hydro,2024-11-01,critical,105.74917175239753,1147,0.918918918918919
Engie,Cogen,2024-11-01,critical,9.605073995771646,946,0.7706131078224101
Moeve,Cogen,2024-11-01,flat,5.856124807395999,2596,0.4210323574730354
GN,Wind,2024-11-01,flat,35.87175141242938,354,0.8813559322033898
Engie,Retailer,2024-11-01,critical,-52.64606060606061,330,0.0
GE,Retailer,2024-11-01,flat,-1087.0074906367042,267,0.0
TotalEnergies,CCGT,2024-11-01,critical,384.30454545454546,220,1.0
TotalEnergies,Wind,2024-11-01,flat,13.417241379310344,87,0.735632183908046
HC,Direct_consumer,2024-12-01,flat,-2.1493333333333333,150,0.0
Engie,Wind,2024-12-01,flat,9.002728904847398,2785,0.4660682226211849
GE,Nuclear,2024-12-01,critical,792.286877076412,602,1.0
Engie,Generic,2024-12-01,critical,-129.64780058651027,341,0.0
Moeve,Biomass,2024-12-01,critical,2.0435087719298237,855,0.0
GN,Wind,2024-12-01,critical,26.14416854778028,1329,0.7434161023325809
GN,Cogen,2024-12-01,flat,21.665999999999997,150,1.0
HC,Hybrid_RES,2024-12-01,critical,15.943171114599686,637,0.7017268445839875
HC,Hydro_RES,2024-12-01,critical,1.098014888337469,403,0.0
GE,Hydro_pump,2024-12-01,critical,76.79399999999993,650,1.0
Repsol,Direct_consumer,2024-12-01,critical,-128.13049853372434,682,0.0
GN,Generic,2024-12-01,critical,-1618.3832844574779,341,0.0
IB,Hydro,2024-12-01,flat,352.0164948453609,97,1.0
IB,Direct_consumer,2024-12-01,flat,-16.011827956989247,93,0.0
Engie,Hydro_RES,2024-12-01,critical,39.029393939393955,330,1.0
Moeve,Cogen,2025-01-01,flat,5.8692015209125525,2367,0.4828897338403042
Engie,Hydro_RES,2025-01-01,flat,40.4258064516129,93,0.967741935483871
GE,Hydro,2025-01-01,critical,82.14353288987434,1353,0.950480413895048
GN,Retailer,2025-01-01,critical,-64.46950146627566,341,0.0
GN,Cogen,2025-01-01,critical,21.607154471544707,615,1.0
Engie,Cogen,2025-01-01,critical,11.137856328392235,877,0.9179019384264538
GN,Generic,2025-01-01,flat,-1020.8365591397851,93,0.0
HC,Hybrid_RES,2025-01-01,critical,15.809495548961428,674,0.6913946587537092
TotalEnergies,Retailer,2025-01-01,flat,-200.66379928315416,279,0.0
GE,Solar PV,2025-01-01,critical,0.25522388059701495,67,0.0
GN,Wind,2025-01-01,critical,60.6589141599413,1363,0.9501100513573001
IB,Hybrid_RES_storage,2025-01-01,flat,15.909756097560974,82,0.7439024390243902
GE,Nuclear,2025-01-01,flat,883.7508960573475,279,1.0
HC,Hydro_RES,2025-01-01,critical,1.0656992084432726,379,0.0
GE,Pump_load,2025-01-01,critical,-141.85925925925926,189,0.0
Moeve,Cogen,2025-02-01,flat,5.7623567921440335,2444,0.44435351882160395
Engie,Wind,2025-02-01,critical,6.80647352223285,9423,0.40019102196752626
GN,Wind,2025-02-01,critical,28.081168831168824,1232,0.8969155844155844
IB,Hydro,2025-02-01,critical,287.97741935483873,961,0.9719042663891779
Engie,Solar PV,2025-02-01,critical,3.113216195569138,1309,0.15813598166539344
GE,Hydro,2025-02-01,critical,83.49678042498388,1553,0.8300064391500322
GN,Cogen,2025-02-01,critical,19.300509337860763,589,1.0
IB,Hybrid_RES_storage,2025-02-01,critical,10.46543209876543,567,0.6684303350970018
HC,Hydro,2025-02-01,critical,46.47337662337655,308,0.5584415584415584
IB,Cogen,2025-02-01,critical,61.21617647058824,476,0.9516806722689075
Moeve,Direct_consumer,2025-02-01,flat,-21.72157738095237,672,0.0
IB,Nuclear,2025-02-01,flat,45.89642857142856,252,1.0
HC,Solar PV,2025-02-01,critical,7.489285714285715,112,0.48214285714285715
IB,Solar PV,2025-02-01,critical,39.929706202393916,919,0.7573449401523396
GN,Retailer,2025-02-01,critical,-66.3762987012987,308,0.0
Repsol,Retailer,2025-02-01,critical,-231.93928571428572,308,0.0
GN,CCGT,2025-02-01,critical,298.7290849673202,306,0.9836601307189542
GN,Hydro,2025-02-01,critical,46.0264705882353,272,0.8897058823529411
Engie,Wind,2025-03-01,flat,11.521517671517682,2886,0.6562716562716563
IB,Direct_consumer,2025-03-01,flat,-11.202150537634411,93,0.0
Moeve,Biomass,2025-03-01,flat,1.5619999999999996,300,0.0
Moeve,Cogen,2025-03-01,critical,5.239154240447311,8584,0.412977632805219
GE,Hydro,2025-03-01,critical,147.94028815368188,1874,0.8745997865528282
IB,Retailer,2025-03-01,critical,-497.7248792270532,414,0.0
TotalEnergies,Retailer,2025-03-01,critical,-283.03079178885605,1023,0.0
Repsol,Retailer,2025-03-01,critical,-219.5885630498534,341,0.0
Moeve,Retailer,2025-03-01,critical,-64.48941877794336,671,0.0
IB,Nuclear,2025-03-01,critical,307.64127144298686,991,0.9989909182643795
GN,Retailer,2025-03-01,flat,-68.47291666666666,96,0.0
Engie,Solar PV,2025-03-01,critical,3.109895833333334,1728,0.16261574074074073
HC,Hydro,2025-03-01,flat,7.84470588235294,85,0.10588235294117647
HC,Wind,2025-04-01,flat,138.20777777777778,360,0.7555555555555555
Repsol,Cogen,2025-04-01,flat,38.81444444444444,540,0.8277777777777777
Engie,Solar PV,2025-04-01,critical,3.7434977578475315,2007,0.1878425510712506
Moeve,Biomass,2025-04-01,flat,1.8329411764705876,255,0.0
HC,Hybrid_RES,2025-04-01,flat,13.806666666666668,180,0.6388888888888888
Moeve,Hydro_RES,2025-04-01,critical,10.625044563279863,1122,0.2994652406417112
GN,Retailer,2025-04-01,critical,-71.07030303030304,330,0.0
IB,Retailer,2025-04-01,critical,-687.3701461377871,479,0.0
Engie,Retailer,2025-04-01,critical,-46.26748844375962,649,0.0
Moeve,Retailer,2025-04-01,flat,-47.33833333333333,180,0.0
GE,Nuclear,2025-04-01,flat,856.3740259740262,154,1.0
GE,Retailer,2025-04-01,critical,-1582.4589898989898,990,0.0
GN,Cogen,2025-04-01,critical,21.751141552511417,438,0.997716894977169
Moeve,Direct_consumer,2025-04-01,flat,-19.014166666666664,720,0.0
GN,Generic,2025-04-01,flat,-905.6177777777779,90,0.0
IB,Direct_consumer,2025-04-01,critical,-14.404242424242423,330,0.0
HC,Hydro,2025-04-01,critical,15.730379746835444,237,0.3628691983122363
Engie,Cogen,2025-05-01,critical,9.948777895855454,941,0.7375132837407014
IB,Wind,2025-05-01,critical,96.54364851957973,1047,0.664756446991404
TotalEnergies,Wind,2025-05-01,critical,9.447315436241608,298,0.6543624161073825
