tech,ym,q1_gwh
Cogen,2024-01-01,126.4523000000004
Cogen,2024-02-01,100.44269999999999
Hydro,2024-03-01,1165.0627999999995
Hydro_RES,2024-03-01,10.047299999999998
Solar PV,2024-04-01,81.98620000000004
Cogen,2024-05-01,40.976600000000026
Solar PV,2024-06-01,35.62730000000006
Cogen,2024-07-01,31.368099999999956
CCGT,2024-08-01,531.5898
Nuclear,2024-08-01,1996.6923999999947
Wind,2024-08-01,379.17080000000027
Hybrid_RES,2024-08-01,15.753299999999996
Hybrid_RES_storage,2024-08-01,5.313899999999999
Hydro_pump,2024-08-01,238.80940000000027
CCGT,2024-09-01,310.1378
Nuclear,2024-09-01,2106.5645999999997
Wind,2024-09-01,655.1553999999999
Hybrid_RES,2024-09-01,20.027900000000002
Hybrid_RES_storage,2024-09-01,12.836000000000002
Hydro_pump,2024-09-01,188.7550000000002
Nuclear,2024-10-01,2114.740700000001
CCGT,2024-10-01,112.29090000000001
Wind,2024-10-01,1008.1222000000002
Hydro_pump,2024-10-01,184.47750000000036
Hybrid_RES,2024-10-01,37.39779999999999
Hybrid_RES_storage,2024-10-01,12.176499999999997
Cogen,2024-11-01,30.253199999999982
Cogen,2024-12-01,30.456499999999927
Cogen,2025-01-01,40.49620000000007
Cogen,2025-02-01,75.0489
Hydro,2025-03-01,1079.3871999999994
Hydro_RES,2025-03-01,3.9902000000000033
Coal,2025-03-01,1.932
Cogen,2025-04-01,26.383200000000006
Hydro,2025-05-01,1237.6778000000018
Hydro_RES,2025-05-01,2.3868999999999976
Wind,2025-06-01,330.9626
Hydro_pump,2025-06-01,360.63810000000007
Hybrid_RES,2025-06-01,32.54550000000001
Nuclear,2025-06-01,1150.5821000000026
Hybrid_RES_storage,2025-06-01,1.4349999999999996
CCGT,2025-06-01,374.9331000000001
CCGT,2025-07-01,577.0463000000001
Nuclear,2025-07-01,1819.5552000000018
Wind,2025-07-01,587.1511
Hydro_pump,2025-07-01,387.1708999999999
Hybrid_RES,2025-07-01,48.83419999999998
Hybrid_RES_storage,2025-07-01,2.852300000000001
Nuclear,2025-08-01,2243.1171999999983
Wind,2025-08-01,449.4353000000003
Hybrid_RES,2025-08-01,40.984900000000025
Hybrid_RES_storage,2025-08-01,2.2997000000000005
Hydro_pump,2025-08-01,406.24429999999995
CCGT,2025-08-01,360.1828
Cogen,2025-09-01,27.585399999999947
Hydro_RES,2025-10-01,4.385800000000005
Hydro,2025-10-01,465.2814500000002
Hydro,2025-11-01,611.1839750000028
Hydro_RES,2025-11-01,2.8274499999999745
Cogen,2025-12-01,35.001375000000344
Nuclear,2026-01-01,739.4420249999995
Wind,2026-01-01,218.2335500000001
Hybrid_RES,2026-01-01,10.287600000000005
Hybrid_RES_storage,2026-01-01,0.151125
Hydro_pump,2026-01-01,63.10545000000006
CCGT,2026-01-01,18.103250000000006
Hydro_RES,2024-01-01,7.293700000000012
Hydro,2024-01-01,431.6273000000002
Hydro,2024-02-01,502.0772999999999
Coal,2024-02-01,1.146
Hydro_RES,2024-02-01,10.365099999999991
Cogen,2024-03-01,57.46819999999994
Hydro_pump,2024-04-01,333.47459999999995
Wind,2024-04-01,783.4987
Hybrid_RES,2024-04-01,16.1545
Hybrid_RES_storage,2024-04-01,7.046499999999999
Nuclear,2024-04-01,1019.2009999999979
Storage_sell,2024-04-01,0.027299999999999998
CCGT,2024-04-01,23.835300000000004
Hydro,2024-05-01,912.7421000000027
Hydro_RES,2024-05-01,6.6068000000000096
Nuclear,2024-06-01,1598.154200000001
Wind,2024-06-01,589.1891000000004
Hydro_pump,2024-06-01,280.6999
Hybrid_RES,2024-06-01,14.873499999999995
Hybrid_RES_storage,2024-06-01,6.151000000000001
CCGT,2024-06-01,46.3645
Storage_sell,2024-06-01,0.0858
Hydro,2024-07-01,641.6586000000012
Hydro_RES,2024-07-01,3.4905000000000017
Solar PV,2024-08-01,37.47070000000007
Solar PV,2024-09-01,98.73229999999994
Solar PV,2024-10-01,82.35969999999995
Hydro,2024-11-01,508.60110000000066
Hydro_RES,2024-11-01,1.412700000000001
Coal,2024-11-01,25.117800000000003
Hydro,2024-12-01,1016.0361000000049
Coal,2024-12-01,53.954100000000004
Hydro_RES,2024-12-01,2.3364
Hydro,2025-01-01,452.79990000000015
Hydro_RES,2025-01-01,2.5897
Coal,2025-01-01,55.48160000000001
Hydro_RES,2025-02-01,8.431700000000014
Hydro,2025-02-01,896.3431000000039
Cogen,2025-03-01,54.635299999999944
Hydro,2025-04-01,1134.4974
Hydro_RES,2025-04-01,1.2826999999999964
Cogen,2025-05-01,24.481799999999954
Solar PV,2025-06-01,77.39160000000014
Solar PV,2025-07-01,125.45489999999991
Solar PV,2025-08-01,136.02039999999985
Hydro,2025-09-01,302.29879999999906
Hydro_RES,2025-09-01,3.0195000000000034
Cogen,2025-10-01,32.14352500000014
Cogen,2025-11-01,29.004924999999982
Hydro_RES,2025-12-01,1.911625000000019
Hydro,2025-12-01,639.5543249999953
Solar PV,2026-01-01,7.3981499999999825
Coal,2024-01-01,5.643
Coal,2025-02-01,14.4903
Coal,2025-09-01,6.27
Solar PV,2024-01-01,97.35779999999995
Solar PV,2024-02-01,74.39800000000007
Wind,2024-03-01,1140.7931999999996
Hydro_pump,2024-03-01,326.1171999999996
Hybrid_RES,2024-03-01,15.262700000000004
Nuclear,2024-03-01,1866.7166999999993
Hybrid_RES_storage,2024-03-01,6.560299999999999
CCGT,2024-03-01,80.54249999999999
Cogen,2024-04-01,38.49339999999999
Solar PV,2024-05-01,150.2100999999996
Cogen,2024-06-01,36.42609999999996
Solar PV,2024-07-01,29.37430000000004
Hydro,2024-08-01,303.0077999999986
Hydro_RES,2024-08-01,4.822499999999998
Hydro,2024-09-01,343.1327
Hydro_RES,2024-09-01,3.4963999999999995
Coal,2024-09-01,1.2
Hydro,2024-10-01,495.95659999999884
Hydro_RES,2024-10-01,2.5203999999999978
Coal,2024-10-01,5.643
Solar PV,2024-11-01,37.391600000000054
Solar PV,2024-12-01,56.50110000000016
Solar PV,2025-01-01,75.37439999999998
Solar PV,2025-02-01,148.45579999999973
CCGT,2025-03-01,14.4172
Nuclear,2025-03-01,2076.938100000005
Wind,2025-03-01,1456.3582000000017
Hybrid_RES,2025-03-01,52.347100000000005
Hybrid_RES_storage,2025-03-01,16.0288
Hydro_pump,2025-03-01,184.26219999999998
Solar PV,2025-04-01,59.77180000000015
Wind,2025-05-01,457.98040000000026
Hydro_pump,2025-05-01,276.2964000000003
Hybrid_RES,2025-05-01,17.402800000000003
Hybrid_RES_storage,2025-05-01,2.6951000000000023
Nuclear,2025-05-01,2089.4711999999995
Hydro,2025-06-01,1192.6361999999983
Hydro_RES,2025-06-01,1.0239999999999971
Hydro,2025-07-01,613.7059000000006
Hydro_RES,2025-07-01,1.8550000000000022
Hydro,2025-08-01,424.2756999999996
Hydro_RES,2025-08-01,3.1632000000000025
Solar PV,2025-09-01,95.76660000000005
Wind,2025-10-01,544.0599
Hybrid_RES,2025-10-01,34.02254999999996
Hybrid_RES_storage,2025-10-01,2.217399999999998
Hydro_pump,2025-10-01,338.49272499999984
Nuclear,2025-10-01,1854.055725000001
CCGT,2025-10-01,1001.4023749999966
Storage_sell,2025-10-01,0.034800000000000005
Nuclear,2025-11-01,1909.4453500000063
Wind,2025-11-01,1081.3276250000038
Hybrid_RES,2025-11-01,49.64829999999999
Hybrid_RES_storage,2025-11-01,3.8862000000000028
Hydro_pump,2025-11-01,340.8856500000004
CCGT,2025-11-01,130.10235
Solar PV,2025-12-01,34.42499999999969
Hydro,2026-01-01,131.15659999999997
Hydro_RES,2026-01-01,0.288499999999999
Storage_sell,2024-03-01,0.004200000000000001
CCGT,2025-05-01,1.6622999999999999
Hydro_pump,2024-01-01,224.04540000000006
Wind,2024-01-01,994.4220000000001
