tech,q1_gwh,qfinal_gwh,ym
CCGT,432.4708,1364.6451999999997,2024-01-01
Coal,5.643,27.694,2024-01-01
Cogen,126.45230000000039,141.82590000000036,2024-01-01
Direct_consumer,0.0,-5.421599999999999,2024-01-01
Generic,0.0,0.44489999999999974,2024-01-01
Hybrid_RES_storage,5.5576,5.5095,2024-01-01
Hydro,431.6273000000002,5278.81069999999,2024-01-01
Hydro_RES,7.293700000000013,73.52049999999996,2024-01-01
Hydro_pump,224.04540000000006,260.31850000000014,2024-01-01
Nuclear,301.87079999999963,5184.738400000006,2024-01-01
Other,0.0,30.43110000000001,2024-01-01
Pump_load,0.0,-735.1144999999999,2024-01-01
Retailer,0.0,-15552.958199999966,2024-01-01
Solar PV,97.35779999999995,169.71109999999967,2024-01-01
Storage_buy,0.0,-0.087,2024-01-01
Storage_sell,0.0341,0.0693,2024-01-01
Wind,994.4220000000001,1772.1142000000007,2024-01-01
CCGT,36.9108,739.0233999999999,2024-02-01
Coal,1.146,2.303,2024-02-01
Cogen,100.4427,111.32440000000015,2024-02-01
Direct_consumer,0.0,-4.5491,2024-02-01
Generic,0.0,-3.8536000000000006,2024-02-01
Hybrid_RES_storage,8.159199999999998,10.579999999999997,2024-02-01
Hydro,502.0773000000004,4293.687800000005,2024-02-01
Hydro_RES,10.365099999999991,69.38719999999996,2024-02-01
Hydro_pump,286.16650000000004,327.0018999999999,2024-02-01
Nuclear,1463.9898000000012,4525.705200000006,2024-02-01
Other,0.0,29.853400000000008,2024-02-01
Pump_load,0.0,-1044.7189,2024-02-01
Retailer,0.0,-13892.908199999998,2024-02-01
Solar PV,74.39800000000007,179.8568999999997,2024-02-01
Storage_buy,0.0,-0.1145,2024-02-01
Storage_sell,0.09,0.1018,2024-02-01
Wind,1512.7107,1958.1803000000014,2024-02-01
CCGT,80.5425,776.5573000000003,2024-03-01
Cogen,57.46819999999994,100.84500000000011,2024-03-01
Direct_consumer,0.0,-3.762400000000004,2024-03-01
Generic,0.0,4.1068999999999996,2024-03-01
Hybrid_RES,15.262700000000006,15.191499999999996,2024-03-01
Hybrid_RES_storage,6.560299999999999,10.165700000000001,2024-03-01
Hydro,1165.0628,6155.309299999994,2024-03-01
Hydro_RES,10.047299999999996,95.84720000000033,2024-03-01
Hydro_pump,326.11719999999974,348.4505999999996,2024-03-01
Nuclear,1866.7166999999988,3492.2904000000003,2024-03-01
Other,0.0,34.6521,2024-03-01
Pump_load,0.0,-1447.8014999999998,2024-03-01
Retailer,0.0,-13973.507600000019,2024-03-01
Solar PV,124.91629999999972,225.23019999999954,2024-03-01
Storage_buy,0.0,-0.052199999999999996,2024-03-01
Storage_sell,0.004200000000000001,0.05330000000000001,2024-03-01
Wind,1140.7931999999996,1483.2458000000004,2024-03-01
CCGT,23.8353,609.6549000000001,2024-04-01
Cogen,38.49339999999999,72.63239999999999,2024-04-01
Direct_consumer,0.0,-4.559199999999996,2024-04-01
Generic,0.0,8.881599999999985,2024-04-01
Hybrid_RES,16.1545,15.227399999999996,2024-04-01
Hybrid_RES_storage,7.046499999999999,7.315600000000001,2024-04-01
Hydro,1625.5576000000003,5053.965799999995,2024-04-01
Hydro_RES,6.451700000000028,83.94190000000002,2024-04-01
Hydro_pump,333.4746000000001,359.9460999999996,2024-04-01
Nuclear,1019.2009999999977,3521.5412000000033,2024-04-01
Other,0.0,25.43550000000001,2024-04-01
Pump_load,0.0,-918.3609999999998,2024-04-01
Retailer,0.0,-12603.323500000019,2024-04-01
Solar PV,81.98620000000004,204.18429999999947,2024-04-01
