firm,q1_gwh,qfinal_gwh,ym
EDP-PT,0.0,46.650000000000006,2024-01-01
GE,96.9937,424.94410000000016,2024-01-01
GN,119.07419999999999,508.39550000000014,2024-01-01
HC,41.0712,83.70689999999999,2024-01-01
IB,175.33169999999996,300.9487000000001,2024-01-01
GE,13.9614,239.58459999999997,2024-02-01
GN,8.6983,322.0508000000001,2024-02-01
HC,0.45,21.2867,2024-02-01
IB,13.801099999999998,156.10129999999998,2024-02-01
GE,27.036699999999996,185.702,2024-03-01
GN,20.995,376.86879999999996,2024-03-01
HC,0.15,21.89,2024-03-01
IB,32.360800000000005,192.0965,2024-03-01
GE,1.7955999999999999,167.3688,2024-04-01
GN,0.0,275.0537,2024-04-01
HC,0.0,0.441,2024-04-01
IB,22.0397,166.79139999999998,2024-04-01
GE,0.0,208.1081,2024-05-01
GN,0.21830000000000002,382.50270000000023,2024-05-01
HC,0.0,1.69,2024-05-01
IB,5.9455,146.4327,2024-05-01
GE,12.498,203.03430000000003,2024-06-01
GN,5.636,330.69579999999996,2024-06-01
HC,0.45,16.808,2024-06-01
IB,27.7805,148.2599,2024-06-01
EDP-PT,0.0,38.282,2024-07-01
GE,179.234,441.72209999999995,2024-07-01
GN,78.207,523.1876,2024-07-01
HC,15.0504,65.2178,2024-07-01
IB,148.42399999999998,319.0915,2024-07-01
EDP-PT,0.0,14.901,2024-08-01
GE,248.77020000000002,480.0571000000003,2024-08-01
GN,131.11490000000003,522.1813,2024-08-01
HC,10.4822,73.4097,2024-08-01
IB,141.2225,353.1063,2024-08-01
EDP-PT,0.0,101.01610000000001,2024-09-01
GE,139.2715,395.187,2024-09-01
GN,81.08040000000001,449.37410000000006,2024-09-01
HC,1.2,35.0389,2024-09-01
IB,88.58590000000001,234.5699,2024-09-01
EDP-PT,0.0,75.74010000000001,2024-10-01
GE,28.404,400.11940000000004,2024-10-01
GN,43.71260000000001,410.94059999999996,2024-10-01
HC,3.846,37.7722,2024-10-01
IB,36.328300000000006,196.63719999999995,2024-10-01
EDP-PT,0.0,188.9809,2024-11-01
GE,173.4166,663.3951999999999,2024-11-01
GN,207.49499999999995,756.7680000000003,2024-11-01
HC,72.2644,132.9567,2024-11-01
IB,184.14699999999996,409.99980000000005,2024-11-01
EDP-PT,0.0,320.719,2024-12-01
GE,368.25870000000003,811.4884000000004,2024-12-01
GN,517.2144000000004,1088.3243000000002,2024-12-01
HC,146.2563,218.32540000000003,2024-12-01
IB,411.9671999999997,521.2025999999998,2024-12-01
EDP-PT,0.0,309.0655,2025-01-01
GE,144.5301,483.0627000000001,2025-01-01
GN,84.06780000000002,542.7429999999999,2025-01-01
HC,40.03,101.47319999999999,2025-01-01
IB,147.76420000000002,267.6588,2025-01-01
EDP-PT,0.0,232.5626,2025-02-01
GE,85.3137,284.68729999999994,2025-02-01
GN,102.1989,473.0666999999997,2025-02-01
HC,3.06,90.7965,2025-02-01
IB,55.59770000000001,178.13699999999994,2025-02-01
EDP-PT,0.0,248.85057500000002,2025-03-01
GE,6.5422,164.526125,2025-03-01
GN,1.3042,399.6429249999998,2025-03-01
HC,1.82,62.544,2025-03-01
IB,4.7508,99.254475,2025-03-01
EDP-PT,0.0,179.431,2025-04-01
GE,2.0101,218.96054999999998,2025-04-01
GN,8.441799999999999,587.2774999999992,2025-04-01
HC,0.0,57.627674999999996,2025-04-01
IB,7.1171,191.677825,2025-04-01
EDP-PT,0.0,326.855,2025-05-01
GE,0.0,376.79339999999996,2025-05-01
GN,0.0,1064.0222249999943,2025-05-01
HC,0.0,123.136875,2025-05-01
IB,1.6622999999999999,256.25267500000007,2025-05-01
EDP-PT,0.0,288.046925,2025-06-01
GE,153.35240000000002,618.3489,2025-06-01
GN,132.97529999999995,1172.391074999998,2025-06-01
HC,0.0,170.73355,2025-06-01
IB,88.60539999999999,367.33432500000015,2025-06-01
EDP-PT,0.0,265.63325,2025-07-01
GE,191.1868,614.0785999999996,2025-07-01
GN,243.1443,1055.5693999999933,2025-07-01
HC,6.572,60.82159999999999,2025-07-01
IB,136.14319999999998,334.0212250000001,2025-07-01
EDP-PT,0.0,257.832625,2025-08-01
GE,158.9567,624.376225,2025-08-01
GN,123.97020000000002,978.268974999995,2025-08-01
HC,0.0,93.16665,2025-08-01
IB,77.2559,395.6519750000001,2025-08-01
EDP-PT,0.0,258.41795,2025-09-01
GE,88.558,581.9790499999996,2025-09-01
GN,115.94439999999996,890.2002249999973,2025-09-01
HC,6.041600000000001,76.70864999999999,2025-09-01
IB,42.182399999999994,383.3263999999998,2025-09-01
EDP-PT,0.0,256.742,2025-10-01
GE,183.0575,602.8189250000012,2025-10-01
GN,563.3871,1640.8683249999901,2025-10-01
HC,18.47370000000002,124.65084999999995,2025-10-01
IB,236.48407500000067,477.1696500000003,2025-10-01
EDP-PT,0.0,255.6,2025-11-01
GE,55.029275,548.7837749999999,2025-11-01
GN,33.76852500000001,1250.7633999999905,2025-11-01
HC,0.0,66.383775,2025-11-01
IB,41.30454999999997,398.72122500000023,2025-11-01
EDP-PT,0.0,140.707925,2025-12-01
GE,96.78952499999998,743.4623749999997,2025-12-01
GN,76.06187500000001,1119.3640249999971,2025-12-01
HC,29.345475000000008,102.15089999999996,2025-12-01
IB,41.463024999999966,553.9401500000006,2025-12-01
EDP-PT,0.0,110.97835,2026-01-01
GE,7.54245,492.84314999999975,2026-01-01
GN,0.0,546.2313750000008,2026-01-01
HC,6.237499999999997,111.56577499999995,2026-01-01
IB,4.3233000000000015,414.0611000000003,2026-01-01
EDP-PT,0.0,289.1625,2026-02-01
GE,0.0,283.159475,2026-02-01
GN,0.0,245.76802500000014,2026-02-01
HC,0.0,0.529,2026-02-01
IB,0.0,210.515125,2026-02-01
