"","M1","","","M2","","","M3","",""
"","b","se","p","b","se","p","b","se","p"
"crit","0.0000",".",".","0.0000",".",".","0.0000",".","."
"post","11.8457","4.1118","0.0041","0.0000",".",".","","",""
"y25","-1.6624","4.0096","0.6786","-1.6623","2.9471","0.5729","","",""
"crit_post","28.0571","2.0732","0.0000","28.0571","2.0739","0.0000","28.0571","2.0730","0.0000"
"crit_y25","-3.5290","1.9511","0.0710","-3.5290","1.9517","0.0711","-3.5290","1.9509","0.0710"
"post_y25","-26.5234","5.9835","0.0000","-26.5230","5.3354","0.0000","","",""
"crit_post_y25","-0.2858","2.9150","0.9219","-0.2858","2.9159","0.9220","-0.2858","2.9147","0.9219"
"N","13888","","","13888","","","13888","",""
