"","M1","","","M2","","","M3","",""
"","b","se","p","b","se","p","b","se","p"
"crit","0.0000",".",".","0.0000",".",".","0.0000",".","."
"post","11.8695","4.0383","0.0034","0.0000",".",".","","",""
"y25","-3.1584","4.0751","0.4386","-3.2104","2.9607","0.2787","","",""
"crit_post","28.7031","1.9872","0.0000","28.7031","1.9877","0.0000","28.7031","1.9870","0.0000"
"crit_y25","-2.4208","1.9577","0.2168","-2.4208","1.9582","0.2169","-2.4208","1.9575","0.2167"
"post_y25","-27.4319","6.0299","0.0000","-26.8862","5.3127","0.0000","","",""
"crit_post_y25","-2.6741","2.8520","0.3489","-2.6741","2.8527","0.3490","-2.6741","2.8518","0.3488"
"N","19138","","","19138","","","19138","",""
