"","DDD","","","DDDD","",""
"","b","se","p","b","se","p"
"crit","0.0000",".",".","0.0000",".","."
"post","-3.1445","2.4729","0.2040","6.7730","9.4374","0.4962"
"y25","3.9800","2.7715","0.1515","7.6799","9.7533","0.4569"
"crit_post","22.3740","2.4295","0.0000","10.9453","9.1807","0.2720"
"crit_y25","-2.0050","1.3991","0.1524","-5.6783","7.1548","0.4535"
"post_y25","-12.0061","3.3684","0.0004","-27.9300","29.9795","0.3825"
"crit_post_y25","-16.2660","2.6879","0.0000","-0.5964","1.7740","0.7466"
"crit_piv","","","","-0.0717","2.2819","0.9758"
"post_piv","","","","-11.8066","10.4412","0.2954"
"y25_piv","","","","-4.4046","10.8061","0.6957"
"crit_post_piv","","","","13.6055","11.0413","0.2576"
"crit_y25_piv","","","","4.3730","7.8237","0.5936"
"post_y25_piv","","","","18.9571","30.2271","0.5505"
"crit_post_y25_piv","","","","-18.6542","7.3529","0.0388"
"_cons","11.1503","1.2948","0.0000","11.1976","2.3376","0.0020"
"N","408800","","","408800","",""
