"","DDD","","","DDDD","",""
"","b","se","p","b","se","p"
"crit","0.0000",".",".","0.0000",".","."
"post","-1.1113","0.9444","0.2403","1.3052","2.3464","0.5954"
"y25","7.1039","2.2831","0.0021","17.6481","17.8215","0.3550"
"crit_post","-6.9459","1.6136","0.0000","-1.1824","0.5595","0.0724"
"crit_y25","10.0049","3.0463","0.0012","6.7868","6.1227","0.3043"
"post_y25","-7.1836","2.4930","0.0043","-19.4803","17.6089","0.3052"
"crit_post_y25","-9.9636","3.1026","0.0015","-6.5956","6.1600","0.3198"
"crit_piv","","","","8.0086","3.5758","0.0601"
"post_piv","","","","-2.8768","2.3892","0.2677"
"y25_piv","","","","-12.5527","17.8933","0.5056"
"crit_post_piv","","","","-6.8612","3.0735","0.0608"
"crit_y25_piv","","","","3.8311","6.5359","0.5762"
"post_y25_piv","","","","14.6390","17.7154","0.4359"
"crit_post_y25_piv","","","","-4.0094","6.5510","0.5599"
"_cons","7.4129","1.5410","0.0000","2.1272","2.3584","0.3970"
"N","196700","","","196700","",""
