"","M1","","","M2","","","M3","",""
"","b","se","p","b","se","p","b","se","p"
"crit","0.0000",".",".","0.0000",".",".","0.0000",".","."
"post","-36.3036","4.3965","0.0000","-6.6297","5.9834","0.2688","","",""
"y25","45.1971","4.5853","0.0000","45.3159","4.2016","0.0000","","",""
"crit_post","-9.9325","1.6933","0.0000","-9.9325","1.6939","0.0000","-9.9325","1.6928","0.0000"
"crit_y25","3.2661","2.1547","0.1307","3.2661","2.1555","0.1308","3.2661","2.1541","0.1306"
"post_y25","-29.8313","6.5661","0.0000","-29.9751","6.3420","0.0000","","",""
"crit_post_y25","0.5040","3.6938","0.8916","0.5040","3.6951","0.8916","0.5040","3.6928","0.8915"
"N","5530","","","5530","","","5530","",""
